;Lower house;Upper house;Ratio;Total;
State;Legislative branch constitutional name;Name;Size;Term length (years);Term limit;Name;Size;Term length (years);Term limit;Filibuster possible;Lower to Upper house size;Total;
South Dakota;South Dakota State Legislature;South Dakota House of Representatives;70;2;Four terms;South Dakota Senate;35;4;Two terms;No;2;105;
Alaska;Alaska Legislature;Alaska House of Representatives;40;2;None;Alaska Senate;20;4;None;Yes;2;60;
North Dakota;North Dakota Legislative Assembly;North Dakota House of Representatives;94;4;None;North Dakota Senate;47;4;None;No;2;141;
Vermont;Vermont General Assembly;Vermont House of Representatives;150;2;None;Vermont Senate;30;2;None;Yes;5;180;
Wyoming;Wyoming Legislature;Wyoming House of Representatives;60;2;None;Wyoming Senate;30;4;None;No;2;90;
U.S. Virgin Islands;Legislature of the Virgin Islands;N/A;N/A;N/A;N/A;Unicameral;15;2;None;No;N/A;15;
District of Columbia;Council of the District of Columbia;N/A;N/A;N/A;N/A;Unicameral;13;4;None;N/A;N/A;13;
Puerto Rico;Legislative Assembly of Puerto Rico;House of Representatives of Puerto Rico;51;4;None;Senate of Puerto Rico;27;4;None;No;1.888889;78;
Guam;Legislature of Guam;N/A;N/A;N/A;N/A;Unicameral;15;2;None;No;N/A;15;
Northern Mariana Islands;Northern Mariana Islands Commonwealth Legislature;Northern Mariana Islands House of Representatives;20;2;None;Northern Mariana Islands Senate;9;4;None;No;2.222222;29;
American Samoa;American Samoa Fono;American Samoa House of Representatives;21;2;None;American Samoa Senate;18;4;None;No;1.166667;39;
