Title;Status;Graphics;Setting;Subscription Model;Initial release date;Discontinued date;Notes;
Granado Espada;;3D;Historical fantasy (Age of Exploration);Pay-to-play;2007;;;
Grand Chase;;2D;Fantasy;Free-to-play;2003;2015-04-15;Client download required;
Guild Wars;;3D;Fantasy;Buy-to-Play;2005;;;
Guild Wars 2;;3D;Fantasy;Free-to-play / Buy-to-play;2012;;Manual aim action combat (guided, optional); Sequel to Guild Wars;
Hello Kitty Online;;3D;Cartoon;Free-to-play;2009;;Client download required.;
Hero Online;;3D;Mythology (Chinese);Free-to-play;2006;;;
Identity;;3D;Fantasy;N/A;N/A;;;
Illyriad;;2D;Fantasy;Free-to-play;2011;;;
Infantry Online;;2D;Science Fiction;Free-to-play;1999;;;
Istaria: Chronicles of the Gifted;;3D;Fantasy;Free-to-play / Pay-to-play;2003;;Name changed from Horizons;
Jade Dynasty;;3D;Fantasy, martial arts;Freemium;2008;;Latest expansion in 2013;
Kal Online;;3D;Fantasy;Freemium;2004;;;
Knight Online;;3D;Fantasy;Free-to-play;2004;;;
LaTale;;2D (side-scrolling);Fantasy;Freemium;2009;2010;;
The Legend of Ares;;3D;Fantasy;Free-to-play;2007;2009-05;;
The Legend of Mir 2;;2D (sprite-based);Fantasy;Free-to-play;2001;;;
The Legend of Mir 3;;2D (sprite-based);Fantasy;Pay-to-play;2004;;Sequel to The Legend of Mir 2;
Lineage;;2D (sprite-based);Fantasy;Pay-to-play;1998;2011;North American servers shutdown on June 29, 2011;
Lineage II;;3D;Fantasy;Freemium;2003;;Sequel to Lineage, formerly pay-to-play until the 2011 expansion;
Lineage III;;3D;Fantasy;;;;Sequel to Lineage II;
Little Space Heroes;;2D;Kids;Freemium;2011;2015;;
The Lord of the Rings Online;;3D;Fantasy;Freemium;2007;;;
Love;;3D;Fantasy;Free-to-play;2010;;Builder;
Mabinogi;;3D;Fantasy, mythology (Welsh);Free-to-play;2004;;;
MapleStory;;2D (side-scrolling);Fantasy;Free-to-play;2003;;;
MapleStory 2;;3D;Fantasy;Free-to-play;2015;;Sequel to MapleStory;
Marvel Heroes;;3D;Superheroes;Free-to-play;2013;2017-11-27;;
Matrix Online;;3D;Science fiction;Pay-to-play;2005-03-22;2009-07-31;;
Meridian 59;;3D;Fantasy;Free-to-play;1995;;Formerly pay-to-play;
Metin 2;;3D;Fantasy;Freemium;2004;;;
Minions of Mirth;;3D;Fantasy;Freemium;2005;;;
MonsterMMORPG;;2D;Fantasy;Free-to-play;2009;;Browser-based;
Mortal Online;;3D;Fantasy;Free-to-play;2010;;Formerly pay-to-play;
MU Online;;3D;Medieval fantasy;Free-to-play;2003;;;
Myst Online;;3D;Ancient Fantasy;Free-to-play;2007;;Open source; formerly pay-to-play;
Mythos;;3D;Fantasy;Free-to-play;2011;2014-01-22;;
Neocron;;3D;Cyberpunk;Free-to-play;2002;;FPS-style gameplay, second installment run by the game's community;
Neverwinter;;3D;Fantasy;Freemium;2013;;Manual aim action combat;
Nexus: The Kingdom of the Winds;;2D (sprite-based; overhead);Mythology (Korean);Pay-to-play;1996;;;
Omerta;Active;Text;Mafia;Free-to-play;2003;;;
Pantheon: Rise of the Fallen;Under development;3D;Fantasy;;;;Spiritual successor to the original EverQuest;
Parallel Kingdom;;3D;Fantasy;Freemium;2008;;;
Pardus;;2D;Science fiction;Free-to-play;2004;;Browser-based, space war and trading game;
Perfect World;;3D;Fantasy (Chinese);Freemium;2005;;Latest expansion in 2013;
Perpetuum[3][4];;3D;Science fiction;Buy-to-play;2010;;Persistent sandbox MMORPG. Formerly a subscription[5];
Phantasy Star Online 2;;3D;Science Fiction;Freemium;2012;;;
Phoenix Dynasty Online;;2D;Fantasy;Free-to-play;2007;2010-12-08;;
Pirate101;;3D;Fantasy, kids;Freemium;2012;;Pirate game, kid-safe chat;
Pirates of the Burning Sea;;3D;Historical (maritime);Free-to-play;2008;;;
Pirates of the Caribbean Online;;3D;Adventure;;2007;2013-09-01;Free-to-play;
PlaneShift;;3D;Fantasy;Free-to-play;2000;;Open source;
Poptropica;;2D (side-scrolling);Cartoon, kids;Freemium;2007;;Browser-based, no downloadable client required;
Priston Tale;;3D;Fantasy;Freemium;2001;;;
Priston Tale 2;;3D;Fantasy;Freemium;2008;2013;;
Puppet Guardian;;2D (isometric; adventure);Fantasy;Free-to-play;2007;;;
Puzzle Pirates;;2D;Fantasy;Free-to-play;2003;;;
Ragnarok Online;;2D/3D[6];Fantasy, mythology (Norse/mixed);Freemium/Pay-to-play (Depending on the server);2002;;;
Ragnarok Online 2;;3D;Fantasy;Free-to-play;2012;;Sequel to Ragnarok Online;
Ran Online;;3D;Campus fantasy;Freemium;2004;;;
Realm of the Mad God;;2D;Fantasy;Free-to-play;2011;;Browser-based;
The Realm Online;;2D (sprite-based);Fantasy;Pay-to-play;1996;;;
Red Stone;;2D;Fantasy;Free-to-play;2004;;;
Regnum Online;;3D;Medieval fantasy;Freemium;2007;;;
Requiem: Memento Mori;;3D;Dark fantasy;Free-to-play;2008;;;
RF Online;;3D;Science fiction;Pay-to-play;2006;;;
Rift;;3D;Fantasy;Free-to-play;2011;;Formerly pay-to-play;
Rohan: Blood Feud;;3D;Fantasy;Freemium;2008;;;
ROSE Online;;3D;Fantasy;Freemium;2005;;;
Rubies of Eventide;;3D;Medieval fantasy;Free-to-play;2003;2009;;
Runes of Magic;;3D;Medieval fantasy;Freemium;2009;;;
RuneScape;;3D;Medieval fantasy;Freemium with subscription model;2001;;Browser-based, Java and HTML 5. Optional membership will unlock more skills and quests. Currently 2 separate games, RuneScape 3 ("current" game) and Oldschool RuneScape (game as it was circa 2007).;
Rusty Hearts;;3D;Fantasy;Free-to-play;2011;2014;Hack and slash;
Ryzom;;3D;Science fantasy;Freemium;2004;;Free-to-play (up to level 125), pay-to-play (to max level). Open source;
Salem;;3D;Historical (17th century) fantasy;Free-to-play;2012;;Crafting-based;
Sangokushi Online;;3D;Historical (Chinese);Pay-to-play;2008;2010-07-19;Part of the Romance of the Three Kingdoms series by Koei;
Scions of Fate or Yulgang;;3D;Fantasy;Free-to-play;2005;;;
Seal Online;;3D;Fantasy;Freemium;2003;;;
The Secret World;;3D;Modern;Buy-to-play;2012;;Formerly pay-to-play;
Shadowbane;;3D;Fantasy;Pay-to-play;2003-03-25;2009-07-01;Switched to "free-to-play" in March 15, 2006, supported by ads;
Shin Megami Tensei: Imagine;;3D;Fantasy;Free-to-play;2007;;;
Sho Online;;3D;Historical fantasy (China);Free-to-play;2008;;;
Shot-Online;;3D;Sports (golf);Freemium;2004;;;
Shroud of the Avatar: Forsaken Virtues;;3D;Fantasy;Buy-to-play;2018;;Spiritual successor to the Ultima series;
Silkroad Online;;3D;Fantasy;Free-to-play;2005;;;
Skyforge;;3D;Fantasy (Mythic/Sci-fi);Freemium;2015;;Russian-based developers. Manual aim action combat;
Soul of the Ultimate Nation;;3D;Fantasy;Pay-to-play;2007;2013-07-03;;
Spiral Knights;;3D;Fantasy;Freemium;2009;;Java;
StarQuest Online;;3D;Science fiction;Free-to-play;2007;2014;Downloadable client (Windows);
Star Trek Online;;3D;Science fiction;Freemium;2010;;Switched to "free-to-play" in January 17, 2012;
Star Wars Galaxies;;3D;Science fiction;Pay-to-play;2003-06-26;2011-12-15;The first Star Wars MMORPG used a "sandbox" approach with a totally player-driven economy;
Star Wars: The Old Republic;;3D;Science fiction;Freemium;2011;;Spiritual sequel of 2003's Game of the year Star Wars: Knights of the Old Republic, formerly pay-to-play;
Stellar Dawn;Development paused;3D;Science fiction;;;;Development started back in 2006 as Mechscape, which was scrapped in 2009. In 2010 Stellar Dawn was announced, though in March 2012 the development was paused so the developer, Jagex, could focus on their other games.;
Tabula Rasa;Closed;3D;Science Fiction;Pay-to-play;2007;2009;;
A Tale in the Desert;;3D;Mythology (Egyptian);Pay-to-play;2003;;Non-combat-oriented RPG;
Tales of Pirates;;3D;Fantasy (Maritime);Free-to-play;2007;2016-29-02;During 2010 server data was transferred to a revamped client called Tales of Pirates II;
TERA: Rising;;3D;Fantasy;Freemium;2011;;Manual aim action combat (True Action combat);
Terra;;3D;Science fiction;Free-to-play;1996;;;
Tibia;;2D (sprite-based; overhead);Fantasy;Free-to-play;1997;;Downloadable client (Windows, Linux).;
Toontown Online;;3D;Fantasy;Freemium;2003;2013-09-19;MMORPG designed for children;
Trove;;3D;Fantasy, Cartoon;Freemium;2013;;;
Twelve Sky;;3D;Fantasy;Free-to-play;2007;;;
Twelve Sky 2;;3D;Fantasy;Free-to-play;2008;;;
Ultima Online;;2D/3D;Medieval fantasy;Free-to-play;1997;;The term MMORPG was first coined by Ultima Online creator Richard Garriott in 1997.[7];
Uncharted Waters Online;;3D;Historical (maritime);Pay-to-play;2005;;;
Underlight;;3D;Fantasy (Dream);Free-to-play;1998;;Original servers were shutdown December 2006. Recently re-launched in September 2014 by KoiWare.;
Vanguard: Saga of Heroes;;3D;Fantasy;Pay-to-play;2007-01-30;2014-07-31;;
Vendetta Online;;3D;Science fiction;Pay-to-play;2004;;Space vehicle piloting and twitch-based interface;
Vindictus;;3D;Fantasy (Celtic);Free-to-play;2010;;Manual aim action combat;
Voyage Century Online;;3D;Historical (maritime);Free-to-play;2006;;;
Wakfu;;2D (isometric);Fantasy;Freemium;2012;;Downloadable client (Windows, Mac, Linux). Tactical combat.;
Warhammer Online: Age of Reckoning;;3D;Fantasy;Freemium;2008;2013-12-18;;
WildStar;;3D;Fantasy, Science fiction;Free-to-play;2014;2018-11-28;Manual aim action combat (telegraphed). Became Free-to-play on September 29, 2015;
With Your Destiny;;3D;Fantasy (Scandinavian);Free-to-play;2003;;;
Wizard101;;3D;Fantasy, kids;Freemium;2008;;Wizard game with cards, kid-safe chat;
Wizardry Online;;3D;Fantasy;Freemium;2013;2014;Based on Wizardry series;
WonderKing Online;;2D (side-scrolling);Fantasy;Free-to-play;2006;;;
Wonderland Online;;2D (special);Fantasy;Free-to-play;2008, March;;Anime/Manga based;
World of the Living Dead;;2D;Survival Strategy;Free-to-play;2014;2014;Map-Based Survival Game with PvP, Factions, Customization, Upgrades & Crafting. Defunct 2014;
World of Warcraft;;3D;Fantasy;Pay-to-play;2004;;Free-to-play until level 20;
Wurm Online;;3D;Medieval fantasy;Freemium;2006;;Sandbox game with hundreds of skills, multiple kingdoms, and a deep crafting system.;
Xsyon;;3D;Apocalyptic Fantasy;Buy-to-play[8][9];2011;;Apocalyptic Fantasy Sandbox MMORPG - Currently in the Prelude phase.;
Zhengtu;;2D;Mythology (Chinese);Freemium;2008;;;
Zu Online;;3D;Mythology (Chinese);Free-to-play;2007;2012;;
