Name;Author;First public release;Stable version;Cost;Software license;Based framework;Written in;
AIMP;AIMP DevTeam;August 8, 2006;Windows: v4.51, build 2080 (July 7, 2018; 5 months ago (2018-07-07)[1]) [±] Android: v2.80, build 627 (September 25, 2018; 2 months ago (2018-09-25)[2]) [±];Free;Proprietary;BASS audio library (decoder);Delphi;
Sonique;Media Science;November 1, 1998;1.96 (March 2002);Free;Proprietary;;;
Spotify;Android;Android Wear;iOS;Windows 10 (Microsoft Store);macOS;Linux;Spotify LTD;2008;Android 8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[11] Android Wear 8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[12] iOS 8.4.79 / 13 November 2018; 33 days ago (2018-11-13)[13] Windows 10 (Microsoft Store) 1.0.95.289.0 / 12 December 2018; 4 days ago (2018-12-12)[14] macOS 1.0.95.289.g342899da / 9 December 2018; 7 days ago (2018-12-09)[15] Linux 1.0.94.262 / 3 December 2018; 13 days ago (2018-12-03)[16];Android;Android Wear;iOS;Windows 10 (Microsoft Store);macOS;Linux;8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[11];8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[12];8.4.79 / 13 November 2018; 33 days ago (2018-11-13)[13];1.0.95.289.0 / 12 December 2018; 4 days ago (2018-12-12)[14];1.0.95.289.g342899da / 9 December 2018; 7 days ago (2018-12-09)[15];1.0.94.262 / 3 December 2018; 13 days ago (2018-12-03)[16];Non-free;Proprietary;;;
Android;8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[11];
Android Wear;8.4.84.874 / 14 December 2018; 2 days ago (2018-12-14)[12];
iOS;8.4.79 / 13 November 2018; 33 days ago (2018-11-13)[13];
Windows 10 (Microsoft Store);1.0.95.289.0 / 12 December 2018; 4 days ago (2018-12-12)[14];
macOS;1.0.95.289.g342899da / 9 December 2018; 7 days ago (2018-12-09)[15];
Linux;1.0.94.262 / 3 December 2018; 13 days ago (2018-12-03)[16];
Style Jukebox;Digital Geek LTD;July 1, 2009;2.2.1 (October 8, 2016; 2 years ago (2016-10-08)) [±];Free;Proprietary;;C#;
Winamp;Nullsoft;April 21, 1997;5.8.3660 (October 19, 2018; 58 days ago (2018-10-19)) [±];Free;Proprietary;Wasabi;C/C++;
XMMS;XMMS Team;November 1, 1997;1.2.11 (November 16, 2007; 11 years ago (2007-11-16)) [±];Free;GPL;original;C;
XMPlay;Un4seen Developments;1998;3.8 (December 23, 2013);Free;Proprietary;original (based on the BASS audio library);;
Name;Author;First public release date;Stable version;Cost;Software license;Based framework;Written in;
