IDE;Developer;Latest stable release version;Latest stable release date;Platform;Written in;Widget toolkit;License;Python2x support;Python3x support;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static program analysis;GUI based design;Class browser;Code refactoring;Version control system support;Web framework support;
PyDev / LiClipse (plug-in for Eclipse and Aptana);Appcelerator;5.5.0;2017-01-19;Windows, Linux, macOS, FreeBSD, JVM, Solaris;Unknown;SWT;EPL;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Yes;Yes;Yes;Unknown;
PyScripter;Kiriakos Vlahos;3.0.1;2017-10-24;Windows;Object Pascal;JVCL;MIT License;Yes;Yes up to v3.4;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Python Tools for Visual Studio;Microsoft;2.2.6[42];2017-01-13;Windows;Unknown;Windows Forms;Apache License 2.0;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
PythonAnywhere;PythonAnywhere LLP;N/A;N/A;Web-based;Python;HTML;Proprietary;Yes;Yes;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
SlickEdit;SlickEdit;21;October 2016;Windows, Linux, macOS, Solaris, AIX, HP-UX;C++;Qt;Proprietary;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;
SourceLair;SourceLair, Limited.;N/A;N/A;Web-based;Python;HTML;Proprietary;Yes;No;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Spyder;Carlos Cordoba and Contributors;3.3.2;2018-11-24;Cross-platform;Python;PyQt, PySide;MIT License;Yes 2.7;Yes 3.4 - 3.7;Yes;No;Yes;Yes;No;Yes;Yes;Unknown;Beta;Planned;Partial;No;
Stani's Python Editor;Stani Michiels;0.8.4h;2008-02-14;Cross-platform;Python;wxPython;GPLv2;Unknown;Unknown;Yes (with winpdb);Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Thonny;Aivar Annamaa and contributors;3.0.8;2018-11-16;Windows, Linux, macOS;Python;Tkinter;MIT License;No;Yes;Yes;No;No;No;No;Yes;No;Unknown;Yes;No;No;No;
Understand;SciTools;4.0;2015-04-01;Windows, Linux, macOS, Solaris, other Unix;Unknown;HTML;Proprietary;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Visual Studio Code;Microsoft;1.26.1;2018-08-16;Linux, Microsoft Windows, macOS;JavaScript;HTML;MIT License;Yes;Yes;Yes;No;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Yes;
Wing;Wingware;6.1.2;2018-11-08;Windows, Linux, macOS;Python;Qt5 with PyQt;Proprietary;Yes;Yes;Yes (also remote, multi-threaded, and multi-process debugging);No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
