Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Clock rate;Core config;Fillrate;Memory;TDP (Watts);API support (version);Release Price (USD);
Core (MHz);Memory (MHz);MOperations/s;MPixels/s;MVertices/s;MTexels/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Max.;Direct3D;OpenGL;
Radeon X1800 XT;Oct. 5, 2005;R520;90;321;288;PCI-E x16;625;750;16:8:16:16;10000;10000;1250;10000;256 512;48.0;GDDR3;256;113;9.0c;2.0;$549;
Radeon X1900 CrossFire Edition;Jan. 24, 2006;R580;90;384;352;PCI-E x16;625;725;48:8:16:16;30000;10000;1250;10000;512;46.4;GDDR3;256;100;9.0c;2.0;$599;
Radeon X1900 GT;May 5, 2006;R580;90;384;352;PCI-E x16;575;600;36:8:12:12;20700;6900;1150;6900;256;38.4;GDDR3;256;75;9.0c;2.0;$;
Radeon X1900 GT Rev. 2;Sept. 7, 2006;R580;90;384;352;PCI-E x16;512;660;36:8:12:12;18432;6144;1024;6144;256;42.64;GDDR3;256;;9.0c;2.0;$;
Radeon X1900 XT;Jan. 24, 2006;R580;90;384;352;PCI-E x16;625;725;48:8:16:16;30000;10000;1250;10000;256 512;46.4;GDDR3;256;100;9.0c;2.0;$549;
Radeon X1900 XTX;Jan. 24, 2006;R580;90;384;352;PCI-E x16;650;775;48:8:16:16;31200;10400;1300;10400;512;49.6;GDDR3;256;135;9.0c;2.0;$649;
Radeon X1950 CrossFire Edition;Aug. 23, 2006;R580+;80;384;352;PCI-E x16;650;1000;48:8:16:16;31200;10400;1300;10400;512;64;GDDR4;256;;9.0c;2.0;$449;
Radeon X1950 GT;Jan. 29, 2007 (PCI-E) Feb. 10, 2007 (AGP);RV570;80;330;230;AGP 8x PCI-E x16;500;600;36:8:12:12;18000;6000;1000;6000;256 512;38.4;GDDR3;256;57;9.0c;2.0;$140;
Radeon X1950 PRO;Oct. 17, 2006 (PCI-E) Oct. 25, 2006 (AGP);RV570;80;330;230;AGP 8x PCI-E x16;575;690;36:8:12:12;20700;6900;1150;6900;256 512;44.16;GDDR3;256;66;9.0c;2.0;$;
Radeon X1950 XT;Oct. 17, 2006 (PCI-E) Feb. 18, 2007 (AGP);R580+;80;384;352;AGP 8x PCI-E 1.0 x16;625;700 (AGP) 900 (PCI-E);48:8:16:16;30000;10000;1250;10000;256 512;44.8 (AGP) 57.6 (PCI-E);GDDR3;256;96;9.0c;2.0;$;
Radeon X1950 XTX;Oct. 17, 2006;R580+;80;384;352;PCI-E 1.0 x16;650;1000;48:8:16:16;31200;10400;1300;10400;512;64;GDDR4;256;125;9.0c;2.0;$449;
Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Core (MHz);Memory (MHz);Core config;MOperations/s;MPixels/s;MVertices/s;MTexels/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Max.;Direct3D;OpenGL;Release Price (USD);
Clock rate;Fillrate;Memory;TDP (Watts);API support (version);
