 ;Selection editing;Layers;Histogram;Scripting;HDR;Retouching;Resizing;Noise removal;Lens correction;Sized Printing;Sharpening;Color correction;Image library;Plug-in support[15];Non-destructive editing;
Side Effects Houdini;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;?;Yes;Yes;No;Yes;?;
Tux Paint;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;?;
TVPaint;Yes;Yes;Yes;Yes;No;Yes;Yes;?;?;?;?;Yes;?;Yes;?;
Ulead PhotoImpact*;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
Ultimate Paint*;Yes;No;Yes;No;No;?;?;?;?;?;?;?;?;?;?;
WinImages;Yes;Yes;?;Yes;?;?;?;?;?;?;?;?;?;?;?;
Xara Photo & Graphic Designer;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;
XnView;No;Partial;Partial;Yes;No;No;Yes;Yes;?;?;Yes;Yes;Yes;Yes;No;
XPaint;Yes;Partial;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Partial;Yes;No;
Zoner Photo Studio;Yes;Partial[25];Yes;No[26];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
