Name;Creator-maintainer;Based on;Standardized?;Specification;Binary?;Human-readable?;Supports references?e;Schema-IDL?;Standard APIs;Supports Zero-copy operations;
GVariant;GLib;D-Bus MP;Yes;GVariant Serialization;Yes;No;No;Yes (Type strings);No;N/A;
Fast Infoset;ISO, IEC, ITU-T;XML;Yes;ITU-T X.891 and ISO/IEC 24824-1:2007;Yes;Yes (XML);Yes (XPointer, XPath);Yes (XML schema);Yes (DOM, SAX, XQuery, XPath);N/A;
FHIR[2];Health_Level_7;REST basics;Yes;Fast_Healthcare_Interoperability_Resources[5];Yes;Yes;Yes;Yes;Hapi for FHIR[3] JSON, XML, Turtle;No;
HOCON;Typesafe Inc.;JSON;No;"HOCON (Human-Optimized Config Object Notation)";No;Yes;Yes;?;Yes (native Java API for all JVM languages);No;
Ion;Amazon;JSON;No;The Amazon Ion Specification;Yes;Yes;No;No;No;N/A;
Java serialization;Oracle Corporation;N/A;Yes;Java Object Serialization;Yes;No;Yes;No;Yes;N/A;
JSON;Douglas Crockford;JavaScript syntax;Yes;STD 90/RFC 8259 (ancillary: RFC 6901, RFC 6902);No, but see BSON, Smile, UBJSON;Yes;Yes (JSON Pointer (RFC 6901); alternately: JSONPath, JPath, JSPON,[dead link] json:select()), JSON-LD;Partial (JSON Schema Proposal, ASN.1 with JER, Kwalify, Rx, Itemscript Schema), JSON-LD;Partial (Clarinet, JSONQuery, JSONPath), JSON-LD;No;
KMIP;OASIS;n/a;Yes;Oasis;Yes (Tag, Type, Length, Value);Yes;No;No;No;N/A;
MessagePack;Sadayuki Furuhashi;JSON (loosely);Yes;MessagePack format specification;Yes;No;No;No;No;Yes;
Named Binary Tag;Mojang;?;No;Named Binary Tag specification;Yes;No;No;No;?;No;
Netstrings;Dan Bernstein;N/A;Yes;netstrings.txt;Yes;Yes;No;No;No;Yes;
OGDL;Rolf Veen;?;Yes;Specification;Yes (Binary Specification);Yes;Yes (Path Specification);Yes (Schema WD);;N/A;
OPC-UA Binary;OPC Foundation;N/A;Yes;opcfoundation.org;Yes;No;Yes;No;No;N/A;
OpenDDL;Eric Lengyel;C, PHP;Yes;OpenDDL.org;No;Yes;Yes;No;Yes (OpenDDL Library);N/A;
PHP's serialize() & unserialize();PHP Group;N/A;Yes;No;Yes;Yes;Yes;No;Yes;N/A;
Pickle (Python);Guido van Rossum;Python;Yes;[6] PEP 3154 -- Pickle protocol version 4;Yes;No;No;No;Yes ([7]);No;
Data::Dumper format (Core Perl Module);Gurusamy Sarathy (ActiveState developer);Perl data types;Yes;No;No;Yes;No;?;Yes;N/A;
Property list;NeXT (creator) Apple (maintainer);?;Partial;Public DTD for XML format;Yesa;Yesb;No;?;Cocoa, CoreFoundation, OpenStep, GnuStep;No;
Protocol Buffers (protobuf);Google;N/A;No;Developer Guide: Encoding;Yes;Partiald;No;Yes (built-in);C++, C#, Java, Python, Javascript, Go;No;
S-expressions;John McCarthy (original) Ron Rivest (internet draft);Lisp, Netstrings;Partial (largely de facto);"S-Expressions" Internet Draft;Yes ("Canonical representation");Yes ("Advanced transport representation");No;No;;N/A;
SCaViS;jWork.ORG;N/A;Yes;No;Yes;Yes (XML, Java Serialization, ProtocolBuffers);Yes;Yes (Java object persistency, XML, ProtocolBuffers);Yes (Native Java API, bindings for Jython, JRuby, Groovy and others);N/A;
Simple Binary Encoding;Real Logic;N/A;No;SBE github page;Yes;No;?;Yes (XML);C++, Java, C#, Go;Yes;
Smile;Tatu Saloranta;JSON;Yes;Smile Format Specification;Yes;No;No;Partial (JSON Schema Proposal, other JSON schemas/IDLs);Partial (via JSON APIs implemented with Smile backend, on Jackson, Python);N/A;
SOAP;W3C;XML;Yes;W3C Recommendations: SOAP/1.1 SOAP/1.2;Partial (Efficient XML Interchange, Binary XML, Fast Infoset, MTOM, XSD base64 data);Yes;Yes (built-in id/ref, XPointer, XPath);Yes (WSDL, XML schema);Yes (DOM, SAX, XQuery, XPath);N/A;
Structured Data eXchange Formats;Max Wildgrube;N/A;Yes;RFC 3072;Yes;No;No;No;;N/A;
Thrift;Facebook (creator) Apache (maintainer);N/A;No;Original whitepaper;Yes;Partialc;No;Yes (built-in);;N/A;
transit;Cognitect;JSON MessagePack;No;Transit Format;Yes;Yes;No;No;Yes Clojure, Java, Python, Javascript, Ruby, Scala;Yes;
UBJSON;The Buzz Media, LLC;JSON, BSON;No;[8];Yes;No;No;No;No;N/A;
VelocyPack (VPack);ArangoDB;N/A;No;VelocyPack (VPack) Version 1 Specification;Yes;No;Partialg;No;Yes (C++ API reference implementation);Yes;
eXternal Data Representation (XDR);Sun Microsystems (creator) IETF (maintainer);N/A;Yes;STD 67/RFC 4506;Yes;No;Yes;Yes;Yes;N/A;
XML;W3C;SGML;Yes;W3C Recommendations: 1.0 (Fifth Edition) 1.1 (Second Edition);Partial (Efficient XML Interchange, Binary XML, Fast Infoset, XSD base64 data);Yes;Yes (XPointer, XPath);Yes (XML schema, RELAX NG);Yes (DOM, SAX, XQuery, XPath);N/A;
XML-RPC;Dave Winer[4];XML;Yes;XML-RPC Specification;No;Yes;No;No;No;N/A;
YAML;Clark Evans, Ingy döt Net, and Oren Ben-Kiki;C, Java, Perl, Python, Ruby, Email, HTML, MIME, URI, XML, SAX, SOAP, JSON[5];Yes;Version 1.2;No;Yes;Yes;Partial (Kwalify, Rx, built-in language type-defs);No;N/A;
Name;Creator-maintainer;Based on;Standardized?;Specification;Binary?;Human-readable?;Supports references?e;Schema-IDL?;Standard APIs;Supports Zero-copy operations;
