S No.;Name;Operator;Manufacturer;Max range;Missile mass;Warhead/payload;Status;First flight;MIRV;Mobility;Accuracy (CEP);
25;Trident;US;Lockheed Martin Space Systems;7,400 km;33,142 kg;8 x 100 kt;Inactive;1977;Yes;Ohio-class submarine;380 m <;
26;Atlas;US;Consolidated Vultee Aircraft (Convair);14,500 km;;;Inactive;1959;No;;;
27;Titan I;US;Glenn L. Martin Company;10,200 km;105,140 kg;3.75 Mt;Inactive;1959;No;Silo;;
28;Titan II;US;Glenn L. Martin Company;15,000 km;154,000 kg;9 Mt;Inactive;1962;No;Silo;;
29;Minuteman I;US;Boeing;;;1.2 Mt;Inactive;1961;No;Silo;200 m;
30;Minuteman II;US;Boeing;;;1.2 Mt;Inactive;1965;No;Silo;;
31;LGM-118 Peacekeeper;US;Boeing, Martin Marietta, TRW,;9,600 km;96,750 kg;10 x 300 kt;Inactive;1983;Yes;Silo;120 m;
32;Midgetman;US;Martin Marietta;11,000 km;13,600 kg;475 kT;Inactive;1992;No;Small ICBM Hard Mobile Launcher[5];90 m;
33;Trident II;United Kingdom and United States;Lockheed Martin Space Systems;11,300 km+;58,500 kg;8 x 475 kt or 12 c 100 kt;Active;1987;Yes;Ohio-class and Vanguard-class submarines;90–120 m;
34;M4;France;EADS SPACE Transportation;5,000 km;36,000 kg;6 x 150 kt;Inactive;1985;Yes;Le Redoutable class submarine;;
35;M45;France;Aérospatiale/EADS SPACE Transportation;6,000 km;35,000 kg;6 x 110 kt TNT;Active;1986;Yes;Triomphant class submarine;350 m;
36;M51.1;France;EADS Astrium Space Transportation;10,000 km (or more);52,000 kg;6 to 10 x 100 kt of TNT;Active;2006;Yes;Triomphant class submarine;;
37;M51.2;France;EADS Astrium Space Transportation;10,000 km (or more);52,000 kg;6 to 10 x 150kt of TNT (new Tête nucléaire océanique);Under Development;;Yes;Triomphant class submarine;;
38;DF-5;China;China Academy of Launch Vehicle Technology;12,000 km;183,000 kg;5 Mt;Active;1971;No;;1,000 m;
39;DF-5A;China;China Academy of Launch Vehicle Technology;15,000 km;183,000 kg;4 Mt;Active;1983;Yes (Speculated);Silo;1,000 m;
40;DF-5B;China;China Academy of Launch Vehicle Technology;15,000 km;183,000 kg;3 to 8;Active;2015;Yes;Silo;;
41;DF-4;China;Factory 211 (Capital Astronautics Co.);7,000 km;82,000 kg;3.3 Mt;Active;1975;Yes (Speculated);Silo;1,500 m;
42;DF-31;China;Academy of Rocket Motors Technology (ARMT);8,000 km;42,000 kg;1 Mt;Active;1999 (Reported);No;Road-mobile TEL;;
43;DF-31A;China;Academy of Rocket Motors Technology (ARMT);12,000 km;42,000 kg;3;Active;;Yes;Road-mobile TEL;;
44;DF-41;China;China Academy of Launch Vehicle Technology;12,000-15,000 km;;10;Under development;2012[6];Yes;Road-mobile TEL;;
45;JL-2;China;Factory 307 (Nanjing Dawn Group);12,000 km;42,000 kg;3-6;Active;2001 (Believed);Yes;Type 094 Jin class submarine;;
46;Agni-V;India;Defence Research and Development Organization;5,500  – 8,000 km;50,000 kg;3-6;Active;2012;Yes;Road mobile TEL, Rail Mobile;<10 m (single digit accuracy) [7];
47;Agni-VI;India;Defence Research and Development Organization;10,000  – 12,000 km;55,000  - 70,000 kg;10;Under Development;2017;Yes;Road mobile TEL, Rail Mobile;<10 m (single digit accuracy) [8];
48;Surya;India;Defence Research and Development Organization;12,000  – 16,000 km;55,000  - 70,000 kg;10-15;Under Development;2022;Yes;Road mobile TEL, Rail Mobile;<15 m (single digit accuracy) [9];
49;KN-08;North Korea;;1,500 – 12,000 km (Speculated)[10];;;Inactive (Reportedly)[11];2012;No;Silo;;
50;Hwasong-14;North Korea;;6,700 – 10,000 km [12][13][14][15][16][17][18][19];33,800kg[20];500kg[21];Under development;2017;No;Road-mobile TEL;N/A;
51;Hwasong-15;North Korea;;13,000 km [22];72,000kg[23];1,000kg[24];Under development;2017;Maybe[25][26][27][28];Road-mobile TEL;N/A;
52;Jericho III;Israel;Israel Aerospace Industries;4,800 – 11,500 km (Speculated);30,000 kg;750 kg single or MIRVed (Suspected)[29];Active (Suspected);2008;Yes;Road-mobile TEL;N/A [Note 3];
53;Ground Based Strategic Deterrent;United States;Either Boeing or Northrop Grumman;;;;Under Development;;Yes;Silo;
