Client;Toolkits or SDKs;File transfer;Editing sent messages;Proxy server;Graphical emoticons;Unicode (UTF-8);Built-in games;Themes, skins;Plugin system;Third party add-ons;Scripting;Message logging;Voice messaging;Voice mail;Webcam;Offline;Cloud backup;Remote desktop assistance;Whiteboard;RTL texting;
Kadu;Qt;Yes;?;Yes;Yes;Yes;No;Partial;Yes;Yes;Partial;Yes;Yes;No;No;Yes;;No;?;
Kopete;Qt/KDE;Yes;?;No;Yes;Yes;No;Yes;Yes;Yes;With plugin;Yes;Yes;No;Yes;Yes;;No;Yes;
Line;Line SDK;?;No;?;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;?;Yes;;Yes;?;
Messages;Cocoa;Yes;?;?;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;?;Yes;Yes;;Partial[c];?;
MCabber;Curses;No;?;?;No;Yes;No;?;?;No;?;Yes;No;No;No;Yes;;No;?;
Miranda IM;W32;Yes;?;Yes, socks4/5, http(s);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial[c];No;Partial[c];Yes;;Yes;Yes;
Palringo;?;No;?;?;Yes;?;No;Yes;No;No;No;No;Yes;No;Partial (picture capture only);?;;No;?;
Paltalk;N/A;Yes;?;?;Yes;No;Yes;Yes;No;No;No;Yes;Yes;?;Yes;Yes;No;No;?;
Pidgin;GTK2;Partial;No;Yes, http, socks4/5;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Partial (XMPP in Linux);No;Yes (XMPP in Linux);Yes;;Partial;Yes;
Psi;Qt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Partial (Linux & Unix);No;Partial (Linux & Unix);Yes;;Yes;Yes;
QIP;W32, VCL;Yes;?;Yes, http(s), socks4/4A/5;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;;No;?;
QuteCom;Qt;Yes;?;?;Yes;Yes;No;Yes;No;No;?;?;?;?;Yes;?;;?;?;
Ring;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;;?;?;
Riot.im;?;Yes;Partial;?;Yes;Yes;?;Yes;?;?;?;Yes;Yes;?;Yes;Yes;;No;No;
Skype;Qt/KDE, W32;Yes;Yes;Yes;Yes;Partial;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;;Yes/No[c][a];Yes;
Surespot;?;Yes;?;?;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;;?;?;
Tencent QQ;W32;Yes;?;?;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;;Yes;?;
Telegram;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Partial;Yes;Only un-encrypted messages;Yes;Yes;
Tkabber;Tcl/Tk;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;;Yes;No;
Tox;Many [d];Yes;?;Yes;Yes;Yes;Up to clients [d];Up to clients [d];Up to clients [d];Up to clients [d];Up to clients [d];Yes;Yes;No;Yes;Partial [97];;No;Yes;
Trillian;W32, Cocoa;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;?;Yes;Yes;;?;Yes;
WhatsApp;No;Yes;No;No;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;?;Yes;;No;Yes;
Wickr;No;Yes;?;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;;No;?;
Windows Live Messenger;W32;Yes;?;Yes, http, socks4/5,;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;
Wire;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No[98];No;Yes;
Xfire;W32;Yes;?;?;No;Yes;No;Yes;Partial;Yes;No;Yes;Yes;No;No;No;;No;?;
Yahoo! Messenger;W32, Cocoa, GTK;Yes;?;?;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;;Partial;Yes;
Yuilop;?;Yes;?;No;Yes;?;No;No;No;No;?;Yes;Yes;No;No;Yes;;Partial;?;
Client;Toolkits or SDKs;File transfer;Editing sent messages;Proxy server;Graphical emoticons;Unicode (UTF-8);Built-in games;Themes, skins;Plugin system;Third party add-ons;Scripting;Message logging;Voice messaging;Voice mail;Webcam support;Offline messaging;Cloud backup;Remote desktop assistance;Whiteboard;RTL texting;
