Name;License;Cost;OS X;Unix-like;Windows;Audio;Images;Video;Transcoding;Web Interface;DLNA support;Multilingual[1];Implementation;Subtitles[2];Still Supported;
Mezzmo;Prop.;Free;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;C++;Yes;Yes;
myiHome;Prop.;Free;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown;Java;Unknown;Unknown;
MythTV with uPnP;GPL;Free;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;C++;Unknown;Unknown;
Nullriver Medialink;Prop.;Non-free;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;Unknown;Unknown;Yes;Unknown;
PlayOn;Prop.;Non-free;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;C#;Partial[19];Unknown;
Plex;Prop.;Non-free[20];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;C++ / Python;Yes;Yes;
PS3 Media Server;GPL;Free;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[21];Yes;Yes;Java;Yes;No;
PyMedS;MIT;Free;Partial[3];Partial[3];No;Unknown;Unknown;Unknown;Yes[22];No;Unknown;Unknown;Python;Unknown;No;
Rygel;LGPLv2;Free;No;Yes;No [23];Yes;Yes;Yes;Yes;No;Yes;Yes;Vala;Unknown;Yes;
Rivet[24];Prop.;Free;Yes;No;No;Yes;Yes;Yes;No;No;Unknown;Unknown;Unknown;Unknown;No[24];
Serviio;Prop.;Non-free[25];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[26];Yes;Yes;Java;Partial[27];Unknown;
SimpleCenter Premium;Prop.;Non-free;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;
Skifta;Prop.;Free;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Unknown;Java;Unknown;Unknown;
Songbird;GPLv2;Free;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;C++;No;No[28];
TVble;Prop.;Free;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;C#/C++;Unknown;Yes;
TVersity;Prop.;Non-free[29];No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;Yes;Yes;
TVMOBiLi;Prop.;[30];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;C++;Yes;Yes;
TVShare;Prop.;Non-free;No;No;Yes;Yes;Yes;Yes;Yes;No;Unknown;Unknown;Java;Unknown;Unknown;
TwonkyMedia server;Prop.;Non-free;Yes;Yes;Yes;Yes;Yes;Yes;Partial[31];Yes;Yes;Yes;Unknown;Unknown;Yes;
Universal Media Server;GPL;Free;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Java;Yes;Yes;
Windows Media Connect;Prop.;Free [32];No;No;Yes;Yes;Yes;Yes;Yes [33];No;Yes;Yes;Unknown;Unknown;Yes;
Wild Media Server;Prop.;Trialware;Yes[34];Yes[35];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Delphi;Yes;Yes;
xupnpd;GPLv2;Free;No;Yes;No;Yes;Unknown;Yes;No;Yes;Yes;Unknown;C++;Unknown;Unknown;
Yazsoft Playback;Prop.;Non-free;Yes;No;No;Yes;Yes;Yes;No;No;Unknown;Unknown;Unknown;Unknown;No;
Name;License;Cost;OS X;Unix-like;Windows;Audio;Images;Video;Transcoding;Web Interface;DLNA support;Multilingual[1];Implementation;Subtitles[2];Still Supported;
