;Creator;Development started;First public release;Latest stable version;Stable release date;Cost (USD);License;Notes;
PSPP;Ben Pfaff;1990s;1990s;0.8.5;20 June 2015;Free;GPL v.3 or later;FOSS alternative to IBM SPSS. Analysis of sampled data, frequencies, cross-tabs comparison of means (t-tests and one-way ANOVA); linear regression, logistic regression, reliability (Cronbach's Alpha, not failure or Weibull), and re-ordering data, non-parametric tests, factor analysis, cluster analysis, principal components analysis, chi-square analysis and more;
R;R Foundation;1997;1997;3.3.2;31 October 2016;Free;GPL;Primarily for statistics, but there are many interfaces to open-source numerical software;
SageMath;William Stein;;2005;8.4 (17 October 2018; 56 days ago (2018-10-17)) [±][8];17 October 2018;Free;GPL;Programmable, includes computer algebra, 2D+3D plotting. Interfaces to many open-source and proprietary software. Web based interface HTTP or HTTPS;
SAS;Anthony Barr and James Goodnight;1966;1972;9.4;10 July 2014;Not free;Proprietary;;
SequenceL;Texas Multicore Technologies;1989;2012;2.4;10 February 2016;Free (Community Edition), $2495 (Professional Edition);Proprietary;Functional programming language and tools. Delivers high performance on multicore hardware with ease of programming, and code clarity/readability. Designed to work with other languages, including C, C++, C#, Java, Fortran, Python, etc. Can be compiled to multithreaded C++ (and optionally OpenCL) code with no explicit indications from the programmer of how or what to parallelize. A platform-specific runtime manages the threads safely.;
S-Lang;John E. Davis;;1992;2.3.0;18 September 2014;Free;GPL, Artistic License (1.x only);Available as a standalone (slsh) and embedded interpreter (jed, slrn, ...);
Scilab;Scilab Enterprises Was:Inria;1990;1994;6.0.1;15 February 2018;Free;CeCILL license;Programmable, direct support of 2D+3D plotting. Interfaces to many other software packages. Interfacing to external modules written in C, Java, Python or other languages. Language syntax similar to MATLAB. Used for numerical computing in engineering and physics.;
SPSS;Normal H. Nie, Dale H. Bent, and C. Hadlai Hull;;1968;23.0;3 March 2015;Not free;Proprietary;;
Sysquake;Calerga;;1998;5.0;2013;free / $2500 (Pro, commercial) / $1000 (Pro, academic);Proprietary;interactive graphics;
TK Solver;Universal Technical Systems, Inc.;late 1970s;1982;5.0.141;2011;$399 commercial / $49 (student);Proprietary;Numerical computation and rule-based application development;
VisSim;Visual Solutions;;1989;10.1;January 2011;$495-$2800 (commercial) free view only version $50-$250/free v3.0 (academic);Proprietary;Visual Language for simulation and Model Based Design. Used in business, science and engineering. Performs complex scalar or matrix based ODE solving with parametric optimization. Has 2D and 3D plotting, 3D animation, and state transition built in.;
Yorick;n/a;n/a;n/a;9;January 2015;Free;GPL;Programmable, callable 2D+3D plotting. Language syntax similar to C. Interfacing to other software packages via C calls.;
