Family;Country;Manufac.;Payload (kg);Cost (US$, millions);Launches reaching…;Status;Date of flight;Refs;Notes;
LEO;GTO;TLI;Total;Space;Any orbit;Target orbit;First;Last;
BFR; USA;SpaceX;7005100000000000000?100,000+;--;7005100000000000000?100,000+[a];--;5000000000000000000?0;--;--;--;Devel.;2020;--;[29][30][31][32];Fully reusable. Expected as early as 2020, with suborbital spaceship tests beginning in the first half of 2019.;
Black Arrow; UK;RAE Westland;7002132000000000000?132;--;--;--;7000400000000000000?4;7000300000000000000?3;;;Retired;1969;1971;[33];;
Delta; USA;Douglas;7003384800000000000?3,848;7003131200000000000?1,312;--;--;7002186000000000000?186;;--;--;Retired;1960;1989;[34][35];Launched Pioneer & Explorer probes. Variants : A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00;
Delta II; USA;ULA;7003600000000000000?6,000;7003217100000000000?2,171;7003150800000000000?1,508;7001510000000000000?51;7002153000000000000?153;7002152000000000000?152;7002152000000000000?152;7002151000000000000?151;Retired;1989;2018;[34][36][37];Launched Mars probes MGS to Phoenix Variants : 6000, 7000 and Heavy.;
Delta III; USA;Boeing;7003829000000000000?8,290;7003381000000000000?3,810;--;--;7000300000000000000?3;7000200000000000000?2;7000200000000000000?2;;Retired;1998;2000;[38][39];;
Delta IV; USA;ULA;7004230400000000000?23,040;7004131300000000000?13,130;7003900000000000000?9,000;--;7001350000000000000?35;7001350000000000000?35;7001350000000000000?35;7001340000000000000?34;Active;2002;--;[40];Variants : M, M+ and Heavy.;
Diamant; France;SEREB;;--;--;--;7001120000000000000?12;;;7000900000000000000?9;Retired;1965;1975;[citation needed];;
R-36M Dnepr; Ukraine Russia;Yuzhmash;7003360000000000000?3,600;--;7002750000000000000?750;7001140000000000000?14;7001170000000000000?17;;;;Retired;1999;2015;[41][42] [full citation needed][43];;
Electron; NZ USA;Rocket Lab;7002225000000000000?225;;;7000600000000000000?6;7000200000000000000?2;7000200000000000000?2;7000100000000000000?1;7000100000000000000?1;Active;2017;--;[44];;
Energia; Soviet Union;NPO Energia;7005100000000000000?100,000;;;7002240000000000000?240;7000200000000000000?2;7000200000000000000?2;7000100000000000000?1;7000100000000000000?1;Retired;1987;1988;[45][citation needed];1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle.;
Epsilon; Japan;IHI Corporation;7003120000000000000?1,200;--;--;--;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;Active;2013;--;[46][47];;
Falcon 1; USA;SpaceX;7002420000000000000?420[48];--;--;7000790000000000000?7.9[48];7000500000000000000?5[49];7000400000000000000?4[48];7000200000000000000?2[48];7000200000000000000?2[49];Retired[48];2006;2009;;;
Falcon 9 v1.0, v1.1, FT, B5; USA;SpaceX;7004228000000000000?22,800;7003830000000000000?8,300;--;7001612000000000000?61.2;7001570000000000000?57;7001560000000000000?56;7001560000000000000?56;7001560000000000000?56;Active;2010;--;[50][51];upgrade to version 1.1 in 2013; upgrade to version FT in 2015 Launcher of Dragon capsule * notes: One flight put primary but not secondary payload into correct orbit,[52] one rocket and payload were destroyed before launch in preparation for static fire[53] and thus is not counted. Falcon 9 Block 5 first launched 11th May 2018 with Bangabandhu 1, the first fully sized Bangladesh satellite.;
Falcon Heavy; USA;SpaceX;7004638000000000000?63,800;7004267000000000000?26,700;--;7001900000000000000?90-150;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;--;Active;2018;--;[54][55][56];First test launch 2018-02-06;
GSLV Mk.I; India;ISRO;7003500000000000000?5,000;7003250000000000000?2,500;--;--;7000600000000000000?6;7000400000000000000?4;7000200000000000000?2;7000200000000000000?2;Retired;2001;2010;[57][58][59];;
GSLV Mk.II; India;ISRO;7003500000000000000?5,000;7003270000000000000?2,700;--;--;7000600000000000000?6;7000500000000000000?5;7000500000000000000?5;7000500000000000000?5;Active;2010;--;[57][60][59];;
GSLV Mk.III (LVM3); India;ISRO;7004100000000000000?10,000;7003400000000000000?4,000;--;--;7000200000000000000?2;7000200000000000000?2;7000200000000000000?2;7000200000000000000?2;Active;2014;--;[61][62];;
H-I; Japan;Mitsubishi;7003320000000000000?3,200;;--;--;7000900000000000000?9;7000900000000000000?9;;;Retired;1986;1992;[63];license-built version of the Thor-ELT;
H-II, IIA & IIB; Japan;Mitsubishi;7004190000000000000?19,000;7003800000000000000?8,000;--;7002112000000000000?(190), 90,112;7001280000000000000?28;7001260000000000000?26;;;Active;1994;--;[64];Var:. A202,A2022,A2024,A204,B;
Haas; Romania;ARCA;7002400000000000000?400;;--;--;5000000000000000000?0;--;--;--;Devel.;2018;--;[65][66];Launch from balloon;
J-I; Japan;IHI Corporation Nissan Motors;7002880000000000000?880;--;--;--;7000100000000000000?1;;;;Retired;1996;1996;[citation needed];Partial demo flight only;
R-12 & R-14 Kosmos; Soviet Union;Yuzhnoye Polyot;7003150000000000000?1,500;--;--;7001120000000000000?12;7002610000000000000?610;--;--;7002559000000000000?559;Retired;1967;2010;[13][67][68];Var: 1, 2, 3, 3M;
Kaituozhe; China;CALT;;--;--;--;7000300000000000000?3;;;5000000000000000000?0;Active;2002;;[citation needed];Var: 1, 2;
Lambda 4S; Japan;Nissan ISAS;;--;--;--;7000500000000000000?5;;;7000100000000000000?1;Retired;1966;1970;[citation needed];;
Long March 1; China;CALT;7002740000000000000?740;7002440000000000000?440;--;--;7000600000000000000?6;;--;--;Retired;1970;2002;[69][70][71];Var: 1, 1D;
DF-5 Long March 2-3-4; China;CALT;7004120000000000000?12,000;7003550000000000000?5,500;7003330000000000000?3,300;--;7002167000000000000?167;7002158000000000000?158;--;--;Active;1971;--;[72];Var: 2A,2C,2D,2E,3,3A,3B,3C,4,4B Launcher of Shenzhou;
Long March 5; China;CALT;7004250000000000000?25,000;7004140000000000000?14,000;7003800000000000000?8,000;--;7000200000000000000?2;7000200000000000000?2;7000100000000000000?1;7000100000000000000?1;Active;2016;--;[73][74];Var: 5, 5B;
Long March 6; China;CALT;7003150000000000000?1,500;--;--;--;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;Active;2015;--;[75];;
Long March 7; China;CALT;7004200000000000000?20,000;--;--;--;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;7000100000000000000?1;Active;2016;--;[76];;
Minotaur I; USA;Orbital ATK;7002580000000000000?580;--;--;--;7001110000000000000?11;7001110000000000000?11;7001110000000000000?11;7001110000000000000?11;Active;2000;--;[77][78];Derived from the Minuteman II;
Minotaur IV & V; USA;Orbital ATK;7003173500000000000?1,735;7002640000000000000?640;7002447000000000000?447;7001500000000000000?50;7000400000000000000?4;7000400000000000000?4;7000400000000000000?4;7000400000000000000?4;Active;2010;--;[77][79];Also 2 suborbital launches (HTV-2a). Variants: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile;
Mu 1-3-4; Japan;Nissan Motor IHI;7002770000000000000?770;--;--;--;7001270000000000000?27;;--;--;Retired;1966;1995;[80];Var: 1, 3D, 4S, 3C, 3H, 3S, 3SII;
Mu 5; Japan;Nissan Motor IHI;7003180000000000000?1,800;--;--;--;7000700000000000000?7;;;7000600000000000000?6;Retired;1997;2006;[citation needed];Var: M-V, M-V KM;
N1; Soviet Union;NPO Energia;7004900000000000000?90,000;--;7004235000000000000?23,500;--;7000400000000000000?4;5000000000000000000?0;5000000000000000000?0;5000000000000000000?0;Retired;1969;1972;[81];Designed for Soviet Manned Lunar Mission;
N-I & II; Japan;Mitsubishi;7003200000000000000?2,000;7002730000000000000?730;--;--;7001150000000000000?15;;--;--;Retired;1975;1987;[82];Derived from the American Delta rocket;
Naro; South Korea;Khrunichev KARI;7002100000000000000?100;--;--;--;7000300000000000000?3;7000200000000000000?2;7000100000000000000?1;7000100000000000000?1;Retired;2009;2013;[83];First stage uses the Russian RD-151 engine;
Pegasus; USA;Orbital ATK;7002450000000000000?450;--;--;--;7001430000000000000?43;7001420000000000000?42;7001410000000000000?41;7001380000000000000?38;Active;1990;--;[84];;
UR-500 Proton; Soviet Union  Russia;Khrunichev;7004230000000000000?23,000;7003692000000000000?6,920;7003568000000000000?5,680;7001650000000000000?65 (Proton-M);7002399000000000000?399;;7002353000000000000?353;--;Active;1965;--;[85][86][87];Var: K, M. Medium in development.;
PSLV; India;ISRO;7003380000000000000?3,800;7003130000000000000?1,300;--;--;7001400000000000000?40;7001400000000000000?40;7001390000000000000?39;7001380000000000000?38;Active;1993;;[88][89];Var: CA, XL, HP, 3S Launched moon probe Chandrayaan I, Mars probe Mangalyaan I;
UR-100N Rokot Strela; Russia;Eurockot Khrunichev;7003210000000000000?2,100;--;--;--;7001250000000000000?25;7001230000000000000?23;7001230000000000000?23;;Active;1994;--;[90][91][92][93];23 launches of Rokot; 2 launches of Strela;
Safir; Iran;ISA;7001500000000000000?50;--;--;--;7000700000000000000?7;7000500000000000000?5;7000400000000000000?4;7000400000000000000?4;Active;2007;--;[94];;
Saturn I & IB; USA;Chrysler Douglas;7004186000000000000?18,600;--;--;7001190000000000000?19;7001130000000000000?13;7001130000000000000?13;7001130000000000000?13;7001130000000000000?13;Retired;1961;1975;[95][96];Saturn 1 family also included 6 suborbital test launches;
Saturn V; USA;Boeing North American Douglas;7005118000000000000?118,000;--;7004470000000000000?47,000;7002185000000000000?185;7001130000000000000?13;7001130000000000000?13;7001130000000000000?13;;Retired;1967;1973;[95][97][98];Var: Apollo, Skylab;
Scout; USA;US Air Force NASA;7002210000000000000?210;--;--;--;7002125000000000000?125;7002104000000000000?104;--;--;Retired;1960;1994;[99];Var: X1, X2, A, D, G;
Shavit; Israel;IAI;7002225000000000000?225;--;--;7001150000000000000?15;7001100000000000000?10;7000800000000000000?8;7000800000000000000?8;7000800000000000000?8;Active;1988;--;[100];Var: Shavit, -1, -2;
R-29 Shtil Volna; Russia;Makeyev;7002430000000000000?430;--;--;--;7000800000000000000?8;;--;--;Retired;1995;2006;[101];Var: Volna, Shtil, 2.1, 2R, 3;
R-7 Semyorka Soyuz; Soviet Union  Russia;RSC Energia TsSKB-Progress;7003820000000000000?8,200;7003240000000000000?2,400;7003120000000000000?1,200;--;7003185400000000000?1,854;;--;--;Active;1957;--;[102] [103];Var: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v;
Simorgh; Iran;ISA;7002350000000000000?350;--;--;--;7000200000000000000?2;5000000000000000000?0;5000000000000000000?0;5000000000000000000?0;Active;2016;--;[104];;
SLS; USA;Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne;7004700000000000000?70,000 to 130,000;--;--;--;5000000000000000000?0;--;--;--;Devel.;2020;--;[105][106];Expected 2020;
SLV; India;ISRO;7001400000000000000?40;--;--;--;7000400000000000000?4;7000300000000000000?3;7000300000000000000?3;7000200000000000000?2;Retired;1979;1983;[107];Launched Rohini satellite series;
SS-520; Japan;IHI Aerospace;7000400000000000000?4;--;--;--;7000400000000000000?4;7000300000000000000?3;7000100000000000000?1;7000100000000000000?1;;2017;--;[108];Two successful suborbital flights, one failed and one successful attempt to reach orbit. A test how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes.;
STS Space Shuttle; USA;Alliant Martin Marietta Rockwell;7004244000000000000?24,400;7003381000000000000?3,810;--;7002450000000000000?450;7002135000000000000?135;7002134000000000000?134;7002134000000000000?134;7002133000000000000?133;Retired;1981;2011;[109];Orbiter mass: 68585 kg.;
RT-2PM Start-1; Russia;MITT;7002532000000000000?532;--;--;--;7000700000000000000?7;7000600000000000000?6;;;Active;1993;--;[110];;
Taurus / Minotaur-C; USA;Orbital Sciences;7003145000000000000?1,450;--;--;--;7000900000000000000?9;7000900000000000000?9;7000600000000000000?6;7000600000000000000?6;Active;1989;--;[111];Var:2110, 3110, 3210;
Thor; USA;Douglas;7003127000000000000?1,270;--;7001380000000000000?38;--;7002357000000000000?357;;--;--;Retired;1957;1980;[35];Launched Pioneer & Explorer probes;
LGM-25C Titan I-II-III-IV; USA;Martin Marietta;7004219000000000000?21,900;7003577300000000000?5,773;7003860000000000000?8,600;7002350000000000000?350;7002369000000000000?369;;--;--;Retired;1959;2005;[112][113];Var: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVB Gemini launcher;
R-36 Tsyklon; Soviet Union  Ukraine;Yuzhmash;7003410000000000000?4,100;--;--;--;7002259000000000000?259;;--;--;Retired;1967;2009;[114];Var: 1, 2, 3.;
Unified Launch Vehicle; India;ISRO;7004150000000000000?15,000;7003620000000000000?6,200;--;--;5000000000000000000?0;--;--;--;Devel.;--;--;[115];Var: 6S12, 2S60, 2S138, 2S200;
Unha-3; North Korea;KCST;7002200000000000000?200;--;--;--;7000400000000000000?4;7000300000000000000?3;7000200000000000000?2;?;Active;2006;--;[116][117];Variants: Paektusan based on Taepodong-1 missile; Unha based on Taepodong-2 missile.;
Vanguard; USA;Martin;7001230000000000000?23;--;--;--;7001120000000000000?12;--;7000300000000000000?3;;Retired;1957;1959;[118];;
Vega; Europe;Avio;7003230000000000000?2,300;--;--;7001230000000000000?23;7001130000000000000?13;7001130000000000000?13;7001130000000000000?13;7001130000000000000?13;Active;2012;--;[119];Vega-C and Vega-E in development.;
VLM; Brazil;CTA;7002380000000000000?380;--;--;--;;;;;Devel.;2019;--;[120];;
Vulcan; USA;ULA;17,800 to 34,900;7,400 to 16,300;--;7001990000000000000?99;5000000000000000000?0;--;--;;Devel.;2021;;[121][122][123][124];;
Zenit; Soviet Union  Ukraine  Russia;Yuzhnoye;7004137400000000000?13,740;7003616000000000000?6,160;7003409800000000000?4,098;--;7001820000000000000?82;;7001710000000000000?71;7001690000000000000?69;Active;1985;--;[125];Var: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF;
