English;Malaysian;Indonesian;
cavalry;pasukan berkuda;pasukan berkuda, kavaleri;
cement;simen;semen;
censor;tapisan (means "filter" in Indonesian);sensor;
census;banci (means "transvestite" in Indonesian);sensus, cacah, banci (virtually never used in Indonesia, listed by KBBI);;
centipede;lipan;kelabang, lipan;
central;pusat;pusat, sentral, tengah;
chaos (theory);teori kekacauan;teori kekacauan;
chilli;cili, lada ('pepper' in Indonesian), cabai (used in the northern states of Malaysia);cabai, lombok;
China;China;Tionghoa (standard term for Chinese people), Tiongkok (Republik Rakyat Tiongkok: official name of the People's Republic of China), Cina (standard, still in common use but discouraged due to possible racist connotations. See Shina for further information.), China (nonstandard);
Christmas;Krismas, Natal;Natal from Portuguese;
cinema;panggung wayang bergambar (more popularly abbreviated as pawagam), panggung wayang;bioskop from Dutch bioscoop;
circuit;litar;sirkuit;
city;bandar, bandaraya big city, kota;kota , bandar (a city in the sea shore or port city in Indonesian);
civil;awam (In Indonesian, it means "not expert"), sivil;sipil;
claim;tuntutan (means "sue" in Indonesian);klaim;
clarification;penjernihan (to make something, e.g. water, clear in Indonesian);klarifikasi, penjelasan;
clause (legal);fasal (equivalent term in Indonesian is pasal);ayat, klausul;
club (association);kelab;klub, perkumpulan infrequent;
coach (carriage);koc;gerbong;
coat;kot;jas from Dutch jas;
cockroach;lipas;lipas, kecoa from the Chinese Min Nan ka chuah;
college;kolej, maktab;kampus, kolese, kolegium;
Cologne;Cologne;Köln, Koeln;
Colombia;Colombia;Kolombia;
comment;ulasan, komen;ulasan (can be including review, interpretation and comment), komentar (from Dutch commentaar);
commission;suruhanjaya;komisi (from Dutch commissie);
commissioner;pesuruhjaya;komisaris (from Dutch commissaris), komisioner;
committee;jawatankuasa;komite panitia;
commonwealth;komanwel;persemakmuran;
Comoros;Comoros;Komoro;
company;syarikat;perusahaan, firma, maskapai (from Dutch maatschappij – almost exclusively used to refer to airline companies, i.e. maskapai penerbangan);
compiler;penyusun;penyusun, kompilator;
complaint;aduan;aduan, keluhan, komplain;
conclusion;kesimpulan; konklusi (rare);kesimpulan, konklusi (from Dutch conclusie);
condensation;pemeluwapan, pengembunan, pencecairan;kondensasi (from Dutch condensatie), pengembunan;
conference;persidangan;konferensi (from Dutch conferentie), sidang;
confirmation;pengesahan;konfirmasi, pengesahan of a document, kepastian of a decision;
conflict;pertikaian;konflik, pertentangan, pertikaian;
Congo;Congo;Kongo;
conservation (movement);pemuliharaan; konservasi (rare);konservasi, pelestarian (of animals and plants);
constitution of a country;perlembagaan;undang-undang dasar (influenced by Dutch grondwet ("basic law")), konstitusi (from Dutch constitutie);
construction;pembinaan;pembangunan (of building), pembinaan (of moral), konstruksi (from Dutch constructie);
consumption;perbelanjaan;konsumsi (from Dutch consumptie), pemakaian, penggunaan;
contamination;pencemaran;pencemaran, kontaminasi;
continuous;selanjar;berkesinambungan, berlanjut, kontinu;
conversion;penukaran (mean "exchange" in Indonesia);konversi (from Dutch conversie), perubahan;
corporation;perbadanan;korporasi (from Dutch corporatie), badan usaha, perusahaan;
corruption;rasuah; korupsi (rare);korupsi (from Dutch corruptie), rasuah (non-standard);
Costa Rica;Costa Rica;Kosta Rika;
counter;kaunter;loket from Dutch, konter/kaunter non-standard;
country;negara;negara, negeri in Malaysia, negeri usually refers to a state within a federation;
court;mahkamah;pengadilan, mahkamah;
cracker;keropok;kerupuk;
criminal;jenayah;penjahat, kriminal, ahli pidana (ahli pidana is criminal law expert);
Croatia;Croatia;Kroasia;
crucial;genting;krusial, penting, genting;
Cuba;Cuba;Kuba;
cupboard;almari (from Portuguese armário);lemari also from armário;
current (adjective, of time);semasa;saat ini, kini, terkini, aktual (from Dutch actueel);
current affairs;hal ehwal semasa;aktualitas, peristiwa terkini;
curtain;langsir (In Indonesian, langsir is train wagon arrangement.), tirai;tirai, gorden (from Dutch gordijn);
customs (authority);kastam;pabean refers to the administrative institution, bea dan cukai (bea-cukai) lit. tariff-and-tax, duty;
cute;comel;imut, menggemaskan, lucu;
Cyprus;Cyprus;Siprus;
Czech Republic;Republik Czech;(Republik) Ceko;
dandruff;kelemumur;ketombe;
December;Disember;Desember (influenced by Dutch december);
decimal;perpuluhan (In Indonesian, perpuluhan means tithe.);desimal (from Dutch decimale), persepuluhan (rare);
decree;dekri;surat keputusan, dekrit (from Dutch decreet);
degree (of temperature);darjah;derajat;
delicious, tasty;lazat, sedap, enak;lezat, enak, sedap;
democratic;demokratik;demokratis (from Dutch demokratisch note: "democratic republic" (in country names) translates as republik demokratik, such as in Republik Demokratik Kongo (Democratic Republic of the Congo));
department;jabatan ('occupation' in Indonesian);departemen, jurusan (for department in university);
departure;pelepasan;keberangkatan, kepergian;
depression (psychological);kemurungan (In Indonesian, kemurungan means "sadness".);depresi (from Dutch depressie);
deputy;timbalan;wakil, deputi, timbalan (rare);
design;reka bentuk;desain, kerangka bentuk, rancangan;
detail;terperinci;detail, detil (nonstandard), perincian, rinci (nonstandard);
dialect;loghat;dialek, logat;
detection;pengesana;pelacakan, deteksi;
different – difference;beza, berbeza – perbezaan;beda, berbeda – perbedaan;
diocese;kawasan uskup, keuskupan;keuskupan;
director;pengarah;direktur from Dutch (and French) directeur, sutradara (of a film) from Sanskrit (through Javanese), pengarah (for an event);
discount;diskaun, rebat, potongan harga;diskon, rabat, potongan harga, korting from Dutch, less frequent;
discussion;perbincangan, diskusi;pembicaraan, perbincangan, diskusi (from Dutch discussie);
disinfectant;penyahjangkit;disinfektan, sucihama;
domestic;dalam negara;dalam negeri, domestik;
driver;pemandu means guide in Indonesian;sopir from French chauffeur through Dutch, pengemudi formal;
driver's license (U.S.) driving licence (UK);lesen memandu;surat izin mengemudi (SIM);
drugs (illegal);dadah (colloquial use in Indonesia means "goodbye".);narkoba (an acronym for NARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)), NAPZA (less frequent – an acronym for NArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances));
Dutch East Indies;Hindia Timur Belanda;Hindia-Belanda;
duty (economics);duti, cukai;bea, cukai;
e-mail;e-mel;surel (standard, shortened of surat elektronik (electronic mail)), email (rarely used in everyday spelling, often used on online spelling (e.g. website-based registration or social account));
Easter;Easter, Paskah strictly used for Jewish Passover;Paskah from Portuguese Pascoa;
Ecuador;Ecuador;Ekuador;
editor;penyunting;editor, penyunting, redaktur (from French rédacteur through Dutch – refers to editors of mass printed media);
editorial (board);kakitangan editorial;redaksi (from Dutch redactie),editorial;
effectiveness;keberkesanan;keampuhan, keefektifan, efektivitas (from Dutch effectiviteit);
efficiency;kecekapan;efisiensi, kedayagunaan, kemangkusan;
Eid ul-Fitr;Hari Raya Aidilfitri;Hari Raya Idulfitri – Idul Fitri nonstandard spelling, but common, Lebaran colloquial – from Javanese;
eight;lapan used as colloquial abbreviation in Indonesian;delapan used in Malaysia before the spelling reform;
elasticity (economy);keanjalan;bingkas, elastisitas;
electricity;tenaga elektrik lit. electric energy;listrik, kelistrikan, setrum (from Dutch stroom);
embargo (political);sekatan (In Indonesian, it means "obstacle" or "room which separated with partition");boikot, embargo;
emergency;kecemasan (used for anxiety or "too anxious" (condition) in Indonesian.);darurat (from Arabic – also used in Malaysia to express a state of emergency), kegawatan;
emperor;maharaja;kaisar (from Dutch keizer), maharaja (from Sanskrit);
empire;empayar;kekaisaran, imperium;
enamel;enamel;email (from Dutch emaille);
energy;tenaga;energi, tenaga (for "power");
engine;enjin;mesin, motor;
England;negeri Inggeris;Inggris;
eraser;getah pemadam;penghapus;
erosion;hakisan;pengikisan, erosi (from Dutch erosie);
escalator;tangga gerak;tangga berjalan, eskalator;
estimation;jangkaan, anggaran;perkiraan, dugaan, estimasi;
Ethiopia;Habsyah from Arabic ?????? al-habsha (Abyssinia);Etiopia;
Europe;Eropah;Eropa, Europa (nonstandard);
evacuation;pemindahan (In Indonesian, it means "translocation" or "relocation".);pengungsian, evakuasi (from Dutch evacuatie);
evaluation;penilaian;penilaian, evaluasi (from Dutch evaluatie);
evening;teja;sore petang;
excess;lebihan;kelebihan, berlebihan, ekses;
excretion;perkumuhan;ekskresi, pembuangan kotoran;
execution (death sentence);hukuman mati;eksekusi (from Dutch executie), (peng)hukuman mati;
exhaust (pipe);ekzos;knalpot (from Dutch, in which it also means "muffler");
exploration;penjelajahan, eksplorasi;eksplorasi, penjelajahan;
export;eksport;ekspor;
expose;pendedahan;paparan, ekspos, pendedahan (virtually never used in Indonesia, listed by KBBI);
extinct;pupus;padam (of flame or light), punah (of species), pupus (loss of hope);
faculty;fakulti;fakultas, fakulteit (obsolete, from Dutch);
facility;kemudahan, fasiliti;kemudahan, fasilitas;
faction (politics);puak;faksi, fraksi from Dutch fractie;
factory;kilang ('refinery' in Indonesian);pabrik from Dutch fabriek;
fan (fanatic);peminat;penggemar, fans informal, from English; Indonesians always use the plural form.;
federal;persekutuan;federal;
federation;persekutuan (related to "alliance" in Indonesian);federasi from Dutch federatie, serikat;
fermentation;fermentasi, peragian;fermentasi, peragian, penapaian;
financial;kewangan;keuangan, finansial from Dutch financieel;
Finland;Finland;Finlandia;
firefighter squad;bomba;pemadam kebakaran (lit. fire extinguisher), branwir (from Dutch brandweer (fire defense));
flash drive;pemacu kilat;penggerak kilat;
floor, level (storey);tingkat may be used in Indonesian to express the number of storeys/levels a building has, e.g. a 5-storey building = gedung bertingkat 5, or to emphasize British floor numbering, e.g. tingkat satu means first floor (UK), second floor (US) in both languages, aras (used to emphasize American floor numbering, e.g. aras dua = tingkat satu;lantai also refers to floor as ground surface in both languages, emphasizes American floor numbering, tingkat emphasizes British floor numbering, e.g. lantai dua = tingkat satu;
football;bola sepak;sepakbola;
force (physics);daya;gaya;
form (document);borang;formulir from Dutch formulier, borang(nonstandard);
free (of charge);percuma in Indonesian means "worthless";gratis from Dutch, cuma-cuma, cecuma (nonstandard);
fungus;kulat, fungus;fungi (commonly has got misconception as: jamur);
furniture;perabot rumah, perkakas rumah (In Indonesian, perkakas means equipment.);mebel from Dutch meubelen, perabot rumah tangga, furnitur;
fusion;pelakuran;fusi, penggabungan, peleburan;
gangster;samseng;geng, preman from Dutch vrijman (lit. free-man), gangster from English;
garage;garaj;garasi influenced by Dutch pronunciation;
garrison;garrison;garnisun from Dutch garnizoen;
gear;gear;roda gigi influenced by Dutch tandwiel, literally "tooth wheel";
gearbox;kotak gear;persneling from Dutch versnelling, girboks, transmisi;
general (military);jeneral;jenderal from Dutch generaal;
ginger;halia;jahe;
Global Positioning System;Sistem Kedudukan Sejagat;Sistem Pemosisian Global;
goal keeper;penjaga gol/penjaga gawang;kiper, penjaga gawang;
golf club (stick);kayu golf;stik golf, pemukul golf, tongkat golf;
government;kerajaan derived from raja (king) – used in Malaysia and Brunei – in Indonesian means "kingdom";pemerintah derived from perintah (order/instruction) – also used in Singapore, which, like Indonesia, is a republic;
governor;gabenor, Yang di-Pertua Negeri (in Malaysian states);gubernur from Dutch gouverneur;
gradation;pemeringkatan;gradasi, pemberian tingkat (pemeringkatan);
graduate;siswazah, sarjana;lulusan, sarjana;
grandfather;datuk;kakek;
Greece;Greece of recent use, Yunani;Yunani from Arabic Y?n?n ???????;
gross financial;kasar;bruto from Dutch, kasar;
group;sekumpulan, kumpulan;kelompok, grup from Dutch pronunciation of groep, (per)kumpulan, (per)himpunan;
guarantee;jaminan;jaminan, garansi from Dutch pronunciation of garantie;
half past one;pukul satu setengah (one thirty);pukul setengah dua (thirty to two);
hammer;tukul;palu, martil from Portugue martelo;
head office;ibu pejabat "ibu" also means "mother" or "ma'am" in both languages.;kantor pusat "kantor" – from Dutch kantoor (office);
headscarf, hijab;tudung;kerudung, jilbab though these words have different meaning;
healthy;sihat;sehat;
herb;herba;jamu often understood as traditional potion made from rhizomes, also means "guest" ("tamu") and "treat the guest" ("menjamu")., herbal;
hexadecimal;perenambelasan;heksadesimal;
hospital;hospital;rumah sakit influenced by Dutch ziekenhuis ("house of the sick") – This term is still used in Brunei, but in Malaysia, "hospital" has replaced the term completely since the 1960s.;
Hungary;Hungary;Hungaria, Hongaria substandard, influenced by Dutch Hongarije;
hybrid (biology);kacukan hibrid;hibrida;
I;saya, aku;saya, aku, gue/gua (slang; from Chinese dialects "ua");
ice;ais;es;
Iceland;Iceland;Islandia;
image;citra, imej (of reputation), gambar (pictorial image);citra (of reputation), gambar (pictorial image);
imagination;imaginasi;imajinasi, khayalan;
immigration;imigresen;imigrasi from Dutch immigratie;
import;import;impor;
impotence;mati pucuk, impotensi, lemah syahwat;impotensi from Dutch impotentie, lemah syahwat colloquial;
impotent;kemandulan;impotensi, kemandulan;
incineration;penunuan;insinerasi;
Indian Ocean;Lautan Hindi;Samudra Hindia;
inductor;peraruh, induktor (rare);induktor;
information;maklumat;informasi, from Dutch informatie, penerangan rare;
injection (noun);suntikan;suntikan, injeksi;
ink;dakwat from Arabic;tinta from Dutch tinte, dawat (archaic);
installment (payment);ansuran;angsuran, cicilan;
instant;segera (means "soon" in Indonesia);seketika, instan;
insurance;insurans;asuransi from Dutch assurantie;
intelligence (spying);risikan (means 'secret investigation' in Indonesia);intelijen, tilik sandi;
international;antarabangsa;internasional, mancanegara from Javanese meaning: foreign land);
internet café;kafe internet, kafe cyber;warnet an acronym for "WARung interNET" (literally: internet shop);
intervention;campur tangan, intervensi;campur tangan, intervensi;
introspection;kaji diri, introspeksi (rare);introspeksi, mawas diri;
invasion;penyerangan, penjajahan (means colonialism in Indonesian), invasi;invasi;
investment;pelaburan;investasi, penanaman modal;
Iraq;Iraq;Irak;
Ireland;Ireland;Irlandia;
irrigation;pengairan;irigasi, pengairan;
Italy;Itali;Italia from Italian;
Japan;Jepun from Chinese dialect;Jepang, Jepun (archaic);
Jordan (country);Jordan;Yordania from Dutch Jordanië;
journalist;wartawan;wartawan, jurnalis;
July;Julai;Juli from Dutch juli;
June;Jun;Juni from Dutch juni;
ketchup;kicap (Indonesian equivalent, kecap, means soy sauce.);saus tomat from French sauce tomate;
lane;lorong (mean alley in Indonesian);lajur;
lawyer;peguam;advokat from Dutch advocaat, pengacara (means 'master of ceremony' in Malay.);
Lebanon;Lubnan from Arabic;Lebanon, Libanon influenced by Dutch;
legislative;perundangan (In Indonesian, it means legislation.), legislatif;legislatif;
liability;liabiliti;kewajiban;
licence;lesen;izin, lisensi from Dutch licentie;
lieutenant;leftenan (influenced by British English pronunciation);letnan;
lift, elevator;lif;lift;
liquidity (economy);kecairan;likuiditas;
Lisbon;Lisbon;Lisboa from Portuguese, Lisabon influenced by Dutch Lissabon;
list;senarai;daftar, senarailess common;
local;tempatan;lokal, setempat;
Luxembourg;Luxembourg;Luksemburg influenced by Dutch/German Luxemburg;
Macau;Macau;Makau;
Macedonia, Republic of;Republik Macedonia;Republik Makedonia;
magistrate;majistret;hakim from Arabic ????? – used in Malaysian to refer to judges, magistrat less common;
Maldives;Maldives;Maladewa;
male;lelaki, laki-laki, jantan (for animals, depending on the context, it can mean masculine or used as a derogatory term on men);laki-laki, pria, lelaki, jantan (on animals, used on men to describe masculinity);
malfunction;kerosakan, malfungsi, pincang tugas;kerusakan, malafungsi;
malpractice;penyelewengan (mean "misappropriation" in Indonesian);malapraktik;
management;pengurusan;manajemen, pengurusan (rare);
manager;pengurus;manajer, pengurus;
manufacturing;pengilangan;manufaktur;
March (month);Mac;Maret influenced by Dutch maart;
mass;jisim;massa;
mathematics;matematik, ilmu hisab;matematika, ilmu hitung, ilmu hisab only used in Islamic text book;
matter;jirim;materi;
mattress;tilam;kasur, matras, tilam;
mean (verb);bererti;berarti;
mediation;pengantaraan (In Indonesian, it means "broking");mediasi;
medicine;ubat;obat;
memory card;kad ingatan/kad memori;kartu memori;
mental arithmetic;congak;aritmetika cepat, congak;
Mexico;Mexico;Meksiko;
mile;batu (mean "stone" in Indonesian);mil;
military;tentera, ketenteraan, militari;militer (from French militaire through Dutch militair), kemiliteran, ketentaraan;
minibus;bas mini;bis mini, minibus;
minute;minit;menit;
mobile phone, cellphone;telefon bimbit;telepon seluler (ponsel), telepon genggam;
Monaco;Monaco;Monako;
Monday;Isnin;Senin;
money;wang, duit;uang, duit (colloquial);
Morocco;Maghribi from Arabic;Maroko;
mortgage;gadai janji;hipotek from Dutch hypotheek, gadai;
Moscow;Moscow;Moskwa, Moskow;
motorcycle;motosikal;sepeda motor lit. "motorized bicycle" – influenced by Dutch motorfiets, motor (informal);
Mozambique;Mozambique;Mozambik;
Mrs.;Puan;Ibu, Nyonya (Ny.);
music;muzik;musik;
naked;bogel, telanjang;telanjang, bugil (colloquial);
natural;semulajadi;alami, natural;
navigation;pandu arah, navigasi;navigasi;
navy;tentera laut;angkatan laut;
negotiation;perundingan;perundingan, negosiasi;
network;rangkaian (means circuit in Indonesian);jaringan, jejaring;
New Zealand;New Zealand;Selandia Baru;
newspaper;surat khabar coined from two Arabic words: ??rat – ???? / ???? (form, appearance) and khabar ??? (news);surat kabar (more formal – lit. news letter), koran (from French courant through Dutch, become Krant in modern Dutch, but Koerant in Afrikaans);
Nicosia;Nicosia;Nikosia;
nil;nil;nol from Dutch nul;
noisy;bising, kecoh in Indonesian means "disturb" or "distract", memekak;berisik, ribut, ramai, bising;
Norway;Norway;Norwegia;
number;nombor;angka, nomor – nomer substandard spelling from Dutch/German nummer;
nurse;jururawat;perawat, suster from Dutch zuster, only for female nurse;
ocean;lautan;samudra, lautan rarely used in formal situation;
Oceania;Oceania;Oseania;
octal;perlapanan;oktal;
office;pejabat;kantor (from Dutch kantoor);
officer;pegawai, kaki tangan (a negative connotation usually means accomplice in criminal activity in Indonesian);pejabat;
official (adj.);rasmi (from Arabo-Persian rasmi ??????);resmi (also from rasmi);
Olympic;Olimpik;Olimpiade;
opposition;pembangkang(mean "defiance" in Indonesian);oposisi;
option;pilihan, opsyen (rare);pilihan, opsi;
orange (colour);jingga, oren;jingga, oranye (from Dutch oranje);
orange (fruit);oren, limau;jeruk, limau;
order (instruction);order, perintah;perintah;
organization;pertubuhan, organisasi;organisasi;
oscillation;ayunan;osilasi, ayunan;
oven;ketuhar;oven;
Pacific Ocean;Lautan Pasifik, Lautan Teduh;Samudra Pasifik;
Palestine;Palestin;Palestina;
papaya (fruit);(buah) betik;(buah) pepaya;
Papua New Guinea;Papua New Guinea;Papua Nugini;
parallel;selari;paralel;
parliament;parlimen;parlemen (from Franco-Dutch parlement);
party (political);parti;partai (from Dutch partij);
passport;pasport;paspor;
patient;pesakit In Indonesian, this means convict;pasien;
patrol;ronda;patroli (for police and military) (from Dutch patrolie), ronda (for civilian);
pavement, sidewalk;jalan pinggir, jalur jalan untuk pejalan kaki, laluan jalan kaki, kaki lima (In Indonesia, it is used in pedagang kaki lima (street vendor).);trotoar (from Franco-Dutch trottoir);
penis;zakar from Arabic ????? "male"- this word is extremely vulgar in Indonesian, "buah zakar" means testicles, batang lelaki, konek (slang);penis(formal), zakarfrom Arabic, less frequent, pelir, alat kelamin laki-laki(euphemism), kemaluan lelaki(euphemism), burung (vulgar), titit (children's slang like "pee-pee"), kontol (slang, extremely vulgar);
percent;peratus;persen, perseratus(less common, usually used when compared per mille);
perfume;haruman, minyak wangi;parfum from Dutch, minyak wangi;
periodic;berkala;berkala, periodik;
Persia;Parsi;Persia;
pharmacy;farmasi;apotek (from Dutch apotheek), farmasi (usually for medicine manufacturers);
photograph;gambar (In Indonesian, it means "picture" or "figure".), foto;foto (literally means photo) potret;
physics;fizik (Indonesian equivalent term, fisik, is used for term physical, e.g. aktivitas fisik (physical activity).);fisika;
pickpocket noun;penyeluk saku;copet (contraction of colong dompet- wallet thief), pencopet;
pig, swine;khinzir from Arabic ???????? (khin-zeer);babi;
pipe;paip;pipa;
pirate (maritime);lanun;bajak laut, perompak (perompak in Malay, means "robber"), lanun(archaic);
platform (train);platform;peron from Dutch perron;
Poland;Poland;Polandia;
police;polis (mean "insurance policy" (polis asuransi) in Indonesian);polisi from Dutch politie;
pollution;pencemaran;pencemaran, polusi;
portion;sebahagian;porsi, sebagian (a portion of...);
post code;poskod;kode pos;
potential;keupayaan;potensial, daya berkemampuan;
Prague;Prague;Praha (also used in Malay);
prayer (Islam);solat, sembahyang;salat(standard), shalat, sholat (from Arabic, 'sh' is usually pronounced as 's'), sembahyang;
prayer room (Islam);surau;surau, musala, mushollah (from Arabic, 'sh' is usually pronounced as 's');
precipitation (meteorology);kerpasan;curah hujan, presipitasi;
prediction;ramalan;prediksi, ramalan, prakiraan (not perkiraan estimation);
pregnant;mengandung, hamil (formal, from Arabic ??????), berbadan dua lit. "two bodied", bunting for animals;mengandung (formal), hamil (colloquial), berbadan dua(poetic), bunting (informal);
premature;pramatang;prematur, dini;
Preparation;Penyediaan;Persiapan;
preposition;kata sendi nama;preposisi, kata depan;
press;media massa, surat khabar (see above);pers (from Dutch), media massa;
Private Limited Company;Sendirian Berhad abbreviated as Sdn Bhd (suffix), "sendirian" alone means "alone";Perseroan Terbatas abbreviated as PT (prefix);
privatization;penswastaan;privatisasi, swastanisasi, penswastaan;
producer;produsen;produsen, penghasil;
product;keluaran;produk (from English and Dutch product), hasil, keluaran more specific term for outcome;
programming (computer);pemrograman;pemrograman;
property (?);harta;properti;
propulsion;perejangan;propulsi, pendorong, penggerak;
prostitute;pelacur, perempuan sundal (vulgar);pelacur, Wanita Tuna Susila (WTS) (Sanskrit, pronounced 'way-tay-es', i.e. "moral-less women"), Pekerja Seks Komersial (PSK) (formal, pronounced 'pay-es-ka' (commercial sex workers)), perek (slang);
prostitution;pelacuran;prostitusi, pelacuran;
province;wilayah (used in Indonesian to mean 'area'), daerah (used in Indonesian to mean 'area');provinsi (from Dutch provincie);
publication;penerbitan;penerbitan, publikasi, terbitan;
pulse;denyut;denyut, pulsa;
push, to (door);tolak (It used as in tolak peluru (shot put) in Indonesian for this contex, used less primarily in Indonesian to mean 'subtract', it also means 'to refuse/reject', also common meaning in Malay when used in arithmetics);dorong (means "to push" in Malay, but often used to mean "to support");
queue (line);barisan (mean line "formation" in Indonesian);antre;
rabbit;arnab (from Arabic);kelinci;
Random-Access Memory (RAM);Ingatan Capaian Rawak;Memori Akses Acak;
rape;rogol;perkosa;
raspberry;rasberi;frambus, frambosen (from Dutch framboos);
ratio;nisbah;rasio, nisbah, perbandingan;
Read-Only Memory (ROM);Ingatan Baca Sahaja;Memori Hanya Baca;
real estate;hartanah;realestat, properti tanah;
receipt;resit, penerimaan;kuitansi, kwitansi (substandard, from Dutch kwitantie), resi, bon from Dutch, struk;
recession (economy);kemelesetan (In Indonesian, it means "mishit");resesi, kelesuan (ekonomi);
reclamation;tebus guna;reklamasi;
recruitment;pergerakan (In Indonesian, it means "movement".), pengambilan (In Indonesian, it means "taking".);perekrutan, rekrutmen;
refraction;pembiasan;pembiasan, refraksi;
refrigerator;peti sejuk lit. cool box (rarely used in Indonesian);lemari es, lemari pendingin(literally means cooler closet) , kulkas (from Dutch koelkast);
