;RAW imports;BMP;GIF;JPEG;JPEG 2000;HD Photo;PNG;TIFF;PSD;PSP;XCF;PCX;ORA;HEIF;
Corel Painter;?;Yes;Yes;Yes;No;;No;Yes[34];Yes;Yes;No;Import;;;
Corel Photo-Paint;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;Yes;;;
darktable;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;;;
Deluxe Paint*[35];No;?;Yes;Yes;No;;Yes;No;No;No;No;?;;;
DigiKam;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;No;No;Yes;?;;;
Erdas Imagine;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Import;;;
Fatpaint;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;
Fotografix;Partial;Yes;Yes;Yes;No;No;Yes;Yes;Import only;No;Import only;Import only;;;
GIMP;Yes;Yes;Yes;Yes;Yes[36];Via plug-in[37];Yes;Single page only;Yes;Yes;Yes;Yes;Yes;;
GIMPshop;?;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;;
GrafX2;No;Yes;Yes;Import only;No;No;Yes;Import only;No;No;No;Yes;;;
GraphicConverter;Partial[38];Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes[39];Yes;;;
HDR PhotoStudio;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;No;;;
Helicon Filter;Yes;Yes;Import;Yes;Yes;No;Yes;Yes;Yes;No;No;No;;;
ImageMagick;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;;
iPhoto*;Yes;?;?;Yes;?;No;Yes;Yes;Yes;?;?;Yes;;;
IrfanView;Via plug-in;Yes;Yes;Yes;Via plug-in;Via plug-in;Yes;Yes;Yes;Yes;No;;
Iridient Developer;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;?;?;?;;;
Kolourpaint;?;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Import;Yes;;;
Krita;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Import;Yes;;
LiveQuartz;Partial;Yes;Yes;Yes;Yes;No;Yes;Yes;Partial;?;?;?;?;Yes;
LazPaint;;Yes;Yes;Yes;;;Yes;;;;;;Yes;;
MacPaint*;No;?;No;No;No;No;No;No;No;No;No;No;;;
Microsoft Office Picture Manager*;?;Yes;Yes;Yes;No;;Yes;First page only[40];No;No;No;Yes;;;
Microsoft Paint;No;Yes;Partial[41];Yes;No;No;Partial[41];Yes;No;No;No;No;;;
Microsoft Photo Editor*;No;Yes;Yes;Yes;No;;Yes;No;No;No;No;Import;;;
OpenCanvas;?;Yes;No;Yes;No;No;Yes;No;Yes[42];No;No;?;;;
Paint.NET;Yes;Yes;Yes;Yes;Yes;Yes[43];Yes;Via plug-ins[44];Partial;No;No;Yes;;;
PC Paintbrush*;?;No;Yes;No;No;;No;Yes;No;No;No;Yes;;;
Photofinish*;?;Yes;Yes;Yes;No;;No;Yes;No;No;No;Yes;;;
Photogenics;?;Yes;Yes;Yes;?;;Yes;Yes;Yes;?;?;Yes;;;
PhotoLine;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;;
PhotoPerfect*;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No layer support;Yes;No;Yes;;;
Photos;Yes;?;?;Yes;?;No;Yes;Yes;Yes;?;?;Yes;;;
Photo Raster;No;Import;Import;Yes;No;No;Yes;Import;No;No;No;Import;;;
Picasa*;Yes;Import;Import;Yes;No;;Import;No;Import;No;No;No;;;
PicMaster;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;;;
PixBuilder Photo Editor;?;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;No;?;;;
Pixelmator;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;;;
Pixia;?;Yes;No;Yes;No;;Yes;Yes;Yes;No;No;No;;;
PMview;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;;;
Project Dogwaffle;?;Yes;No;Yes;No;;No;Yes;No;No;No;No;;;
QFX;?;Yes;Yes;Yes;No;No;?;Yes;Yes;No;No;?;;;
RawTherapee;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;;;
Seashore;?;Partial;Partial;Yes;Partial;;Yes;Yes;?;?;Yes;?;;;
Serif PhotoPlus;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;;
Tux Paint[45];No;Yes;Import;Import;No;No;Yes;No;No;No;No;No;;;
TVPaint;?;Yes;Yes;Yes;No;;Yes;Yes;Yes;No;No;Yes;;;
Ulead PhotoImpact*;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Partial;Import;No;Yes;;;
Ultimate Paint*;?;Yes;Yes;Yes;No;;Yes;No;No;No;No;Yes;;;
WinImages;?;Yes;Yes;Yes;No;;Yes;Yes;Yes;No;No;?;;;
Xara Photo & Graphic Designer;Yes;Yes;Yes;Yes;Yes;Import only;Yes;Yes;Yes;No;No;Yes;;;
XnView;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Import;Yes;;;
XPaint;No;Yes;Yes;Yes;No;;Yes;Yes;No;No;No;No;;;
Zoner Photo Studio;Yes;Yes;Yes;Yes;Import only;Yes;Yes;Yes;Import only;Import only;No;Yes;;;
