Afrikaans;Dutch;English;
konserwatief;conservatief;conservative;
kopiereg;kopierecht, copyright, auteursrecht;copyright;
landdros;magistraat;magistrate;
lê;leggen;lie, lay;
leër;landmacht, leger;army;
lemmetjie;limoen;lime;
lemoen;sinaasappel;orange;
Lid van Parlement (LP);parlementslid, kamerlid;Member of Parliament (MP);
lirieke;songtekst;lyrics;
lokprent;trailer;film trailer;
lugmag;luchtmacht;air force;
lughawe;luchthaven;airport;
lugpos;luchtpost;airmail;
lugredery;luchtvaartmaatschappij;airline;
lugwardin;stewardess;air hostess air stewardess;
maalvleis;gehakt;mincemeat;
mal oor;gek op;mad about;
masjienkap;motorkap;bonnet (UK) hood (US);
meisie;meisje, meid;girl;
mekaar;elkaar (mekaar also used in Belgium);each other;
melkskommel;milkshake;milkshake;
moffie;homo;gay, effeminate man;
moltrein;metro;metro, subway train;
moontlik;mogelijk;possible;
muurpapier;behang;wallpaper;
na;naar;to;
ná;na;after;
naby;dichtbij, nabij;close to;
naweek;weekend, weekeinde;weekend;
nie;niet;not;
niggie;nichtje;niece;
Nieu-Seeland;Nieuw-Zeeland;New Zealand;
nuus;nieuws;news;
nuusblad, nuustydskrif;opinieblad, nieuwsblad;news magazine, news letter;
onderskrifte;ondertitels;subtitles;
oomblik;moment, ogenblik;moment;
oopmaak, maak oop;openen;to open;
oorklanking;nasynchronisatie;dubbing;
oorspronklik;origineel, oorspronkelijk;original;
oos;oost;east;
openbare maatskappy;naamloze vennootschap (NV);public limited company;
ou, outjie;kerel, gozer;guy, bloke;
outomaties;automatisch;automatic;
padda;kikker pad means "toad";frog;
passasier;passagier;passenger;
perd;paard;horse;
peuselhappies;snacks, hapjes;snacks;
piesang;banaan less common: pisang;banana;
pikkewyn;pinguïn, vetgans;penguin;
polisiebeampte;politieagent;police officer;
polisiestasie, polisiekantoor;politiebureau;police station;
posbus;postbus;post office box;
poskantoor;postkantoor;post office;
posman;postbode;postman;
prokureur;advocaat;attorney, solicitor, lawyer;
pynappel;ananas;pineapple;
reisagent, reisagentskap;reisbureau (Netherlands) reisagentschap (Belgium), reisagent;travel agent, travel agency;
rolprent;film rolprent considered dated;film;
rubriekskrywer;columnist;newspaper columnist;
sakrekenaar;rekenmachine, zakrekenmachine, calculator;calculator;
sambreel;paraplu;umbrella;
sampioen;champignon;mushroom;
saans;'s avonds;in the evening;
sê;zeggen;say;
selfoon;mobiele telefoon, mobieltje (Netherlands) GSM (Belgium);mobile phone(UK) cellphone(US, South Africa);
sent;cent;cent;
seuntjie;jongen zoontje means "(small) son";boy, young man;
sinies;cynisch;cynical;
sjokolade;chocolade;chocolate;
skadu, skaduwee;schaduw, schaduwbeeld;shadow;
skakel;bellen (schakelen means "to change gear");dial, call (telephone number);
skeelhoofpyn;migraine;migraine;
skootrekenaar;laptop;laptop;
slagoffer;slachtoffer;victim;
slaptjips;frieten;french fries, chips;
sokker;voetbal;football, soccer;
soos;als, zoals;like, such as;
spinnekop;spin;spider;
spoed;snelheid;speed;
staatsdiens;civiele dienst (Netherlands) overheidsdienst (Belgium);civil service, public service;
stasie;station;station;
Statebond;Gemenebest van Naties;Commonwealth of Nations;
stasiewa;stationwagen;station wagon, estate;
streek;gewest, regio;region;
stuurwiel;stuurrad;steering wheel;
suid;zuid;south;
suiwer;zuiver;clean;
suurlemoen;citroen;lemon;
sypaadjie;stoep, trottoir, voetpad;pavement (UK), sidewalk (US);
tjek;cheque;cheque, check;
toeter;claxon;hooter (UK), horn (US);
troeteldier;huisdier;pet (animal);
tuisblad;homepagina, thuispagina;homepage;
uitgawe;editie, versie, uitgave uitgaven can also mean "expenditure";edition, version;
uitsaai;omroep, uitzending;broadcasting;
uurglas;zandloper;hourglass;
van;achternaam, van;surname;
vanaand;vanavond;this evening;
vanmôre;vanmorgen;this morning;
vat;pakken;seize, clutch;
verkleurmannetjie;kameleon;chameleon;
vir;voor;for;
vlak, peil;niveau, peil;level;
vlugbeampte, vlugkelner;steward;air steward, flight attendant;
voetsek! (voert sê ek!);verdwijn!;get lost! away with you!;
vrieskas;vrieskist, diepvries, diepvriezer;freezer;
vuurhoutjie;lucifer;match, light;
wa;wagen;wagon;
wasbak;wasbak, wastafel;washbasin, sink;
wat;welke, wie;which, who;
webwerf;website;website;
weermag;krijgsmacht;defence force, armed forces;
wêreldwyd;wereldwijd;worldwide;
wees;zijn, wezen;to be;
wes;west;west;
woonstel;appartement;apartment, flat;
yskas;koelkast, ijskast;refrigerator;
Ysland;IJsland;Iceland;
yster;ijzer;iron;
