;Primary developers;First public release;Based on;Latest stable version;Cost (USD);Preferred license;Purpose;Short description;
Version;Release Date;
Darwin;Apple Inc.;2001-03-01;NeXTSTEP, FreeBSD, classic Mac OS;18.0.0;2018-09-24;Free;APSL, GPL and others;Workstation, Home Desktop, Server;The kernel and certain userland components of macOS and iOS;
TrueOS;iXsystems, Inc.;2006-04-29;FreeBSD;18.3;2018-03-30;Free;BSD;Server;Easy to use while maintaining full use of FreeBSD base;
GhostBSD;Eric Turgeon;2009-11-01;FreeBSD;11.1;2017-11-16;Free;BSD;Desktop, Workstation;Easy to use, full FreeBSD w/ GNOME, Mate, Xfce, LXDE or Openbox.;
DesktopBSD;Peter Hofer, Daniel Seuffert;2005-07-25;FreeBSD;1.7;2009-09-07;Free;BSD;Desktop;Easy to use;
ClosedBSD;Joshua Bergeron and various contributors;?;FreeBSD;1.0B (floppy), 1.0-RC1 (CD);?;Free;Proprietary;?;firewall/NAT, boot floppy, Live CD;
FreeSBIE;?;?;FreeBSD;2.0.3;2007-02-01;Free;?;?;Live CD of FreeBSD. DistroWatch lists as discontinued.;
PicoBSD;Michael Bialecki;?;FreeBSD;0.42;?;Free;BSD;boot floppy;?;
Anonym.OS;?;2005-01-01;OpenBSD 3.8;none (beta only);?;Free;?;Anonymous browsing;Live CD;
MirOS BSD;The MirOS Project;?;OpenBSD 3.1;#10;2008-03-16;Free;?;?;European;
ekkoBSD[Note 1];Rick Collette;?;OpenBSD 3.3;?;?;?;?;Server;easy to administer;
MicroBSD[Note 1];Bulgarians;?;OpenBSD 3.0/3.4;0.6;2003-10-27;Free;?;General purpose;Small, secure;
OliveBSD;Gabriel Paderni;?;OpenBSD 3.8;?;?;Free;?;Live CD;DistroWatch lists as discontinued.;
Gentoo/FreeBSD;Gentoo Linux developers;?;FreeBSD;?;?;Free;GPL, BSD;Server, Workstation, Network Appliance;uses Gentoo framework;
Gentoo/OpenBSD;Gentoo Linux developers;?;OpenBSD;?;?;Free;GPL, BSD;Server, Workstation, Network Appliance, Embedded;uses Gentoo framework;
Gentoo/NetBSD;Gentoo Linux developers;?;NetBSD;?;?;Free;GPL, BSD;Server, Workstation, Network Appliance, Embedded;uses Gentoo framework;
Gentoo/DragonflyBSD;Robert Sebastian Gerus (project not yet officially supported by Gentoo);?;DragonFly BSD;?;?;Free;?;Server, Workstation, Network Appliance;uses Gentoo framework;
Debian GNU/kFreeBSD;The Debian GNU/kFreeBSD team;2011-02-06;GNU, FreeBSD;7.5;2014-04-26;Free;DFSG;General purpose;GNU userspace on FreeBSD kernel;
Debian GNU/NetBSD;The Debian GNU/kNetBSD team;Abandoned;GNU, NetBSD;Abandoned;Abandoned;Free;DFSG;General purpose;GNU userspace on NetBSD kernel;
MidnightBSD[34];Lucas Holt;2007-08-04;FreeBSD 6.1 beta[35];0.8.6;2017-08-28;Free;BSD;Desktop;GNUstep based Desktop Environment;
pfSense;various contributors;2006-10-04;FreeBSD;2.4.3;2018-03-29;Free;BSD;Security appliance;firewall/NAT, Live CD;
Paxym FreeBSD for Octeon;Paxym Inc.;2007-12-11;FreeBSD 7.0;4.7;2008-08-13;?;Proprietary;Network, Storage, Security Applications: Routers/UTM/Firewall/NAS;For Cavium Networks Octeon MIPS architecture multicore processors[36];
MaheshaBSD;;?;FreeBSD 8;?;?;Free;BSD;FreeBSD multipurpose;;
KarmaBSD[37];;?;FreeBSD 8 OpenBSD;?;?;Free;Free software;FreeBSD, OpenBSD Firewall, MP3 player, backup, others;;
Jibbed[38];;;OpenBSD, NetBSD;6.0;;Free;BSD;;Live CD of NetBSD;
Bitrig;The Bitrig Developers;2014-11-25;OpenBSD;1.0;2014-11-25;Free;ISC;General Purpose;Focus on modern platforms and tools;
;Developer;First public release;Based on;Version;Release Date;Cost (USD);Preferred license;Purpose;Short description;
