Name;License;Can reside in;Can boot from;Can boot;
ESP (UEFI);MBR;VBR;Floppy;Hard disk;Second Hard disk;Logical partitions;CD-ROM;Floppy;USB;Zip;LAN;MS-DOS;Windows 9x/Me;Windows NT series;Windows Vista/7/8/10;Linux;ReactOS;MenuetOS;*BSD;Mac OS X;
GNU GRUB;GPLv3;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Yes;Calls FreeLoader;Yes;Yes;Yes;
GRUB4DOS;GPLv2+;?;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Yes;?;?;?;?;
Gujin [1];GPLv2;?;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Calls NTLDR;Yes;Yes;?;?;?;?;
systemd-boot / Gummiboot;LGPL 2.1;Yes;No;No;?;Yes;Yes;Yes;?;?;Yes;?;?;No;No;Windows Server 2013 64bits with UEFI only;Calls Windows Boot Manager[1];Yes;?;?;UEFI only;Yes[1];
iBoot;?;?;?;Proprietary;Yes;?;?;?;Yes;?;Yes;Yes;?;?;?;?;?;?;?;?;?;Yes;
Libreboot;GPLv3;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
LILO;BSD license;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Calls NTLDR;Yes;Yes;?;?;Calls biosboot (FreeBSD, PC-BSD, ...);?;
loader(8);BSD license;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;?;?;?;?;?;?;Yes (FreeBSD, TrueOS);?;
loadlin;GPLv2+;?;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;?;?;
MasterBooter;Proprietary;?;Yes;?;?;Yes;Yes;Yes;?;Yes;?;?;?;Yes;Yes;Yes;Yes;Yes;?;?;Yes;?;
NTLDR;Proprietary;?;No;Yes;Yes;Yes;?;No;No;Yes;Yes;?;?;Yes;Yes;Yes;No;Calls GRUB4DOS;?;?;?;Calls Darwin bootloader[2];
OSL2000 Boot Manager;Proprietary;?;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Calls GRUB or LILO;?;?;?;?;
PLoP Bootmanager;Proprietary;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls GRUB or LILO;?;?;?;?;
RedBoot;GPLv2+;?;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Yes;Calls FreeLoader;Yes;Yes;Yes;
rEFInd;GPLv3/BSD license;Yes;No;No;No;Yes;Yes;?;Yes;?;Yes;?;No;?;?;Yes;Yes;Yes;?;?;Yes;Yes;
Smart Boot Manager;GPLv2+;?;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;Yes;Yes;?;Yes;?;?;Yes;?;
SPFdisk;GPLv2+;?;Yes;Yes;Yes;Yes;Yes;?;?;Yes;?;?;?;Yes;Yes;?;?;?;?;?;?;?;
SYSLINUX;GPLv2+;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Yes;?;Yes;via mboot.c32 module [2];?;
XOSL;GPLv2;?;No;No;Yes;Yes;Yes;Yes;Yes;?;No;?;No;Yes;Yes;Yes;Yes;Yes;?;?;?;?;
Windows Boot Manager;Proprietary;Yes;No;Yes;No;Yes;Yes;?;Yes;Yes;Yes;Yes;?;?;Yes;Calls NTLDR;Yes;Calls GRUB or LILO;?;?;?;?;
FreeLoader (ReactOS Boot Loader);GPLv2+;?;No;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;?;Yes;Yes;Partial[3];Calls Windows Boot Manager;Yes;Yes;?;?;?;
Name;Software license;Can reside in;Can boot from;Can boot;
ESP (UEFI);MBR;VBR;Floppy;Hard disk;Second hard disk;Logical partitions;CD-ROM;Floppy;USB;Zip;LAN;MS-DOS;Windows 9x/Me;Windows NT series;Windows Vista/7/8;Linux;ReactOS;MenuetOS;*BSD;Mac OS X;
