COMMAND.COM;DOS;COMMAND;1980;No (3rd party implementations, not bound to a specific DOS vendor or version, available);DOS, Windows 95, 98, SE, ME;DOS, Windows 95, 98, SE, ME;vendor specific, f.e. MS-EULA,[22] or BSD/GPL (free clones);No (except for OpenDOS, DR-DOS, PTS/DOS and FreeDOS);Text-based CLI;No;No;No (except for DR-DOS);Yes (via COMMAND con: or CTTY con:);Yes (stdin, stdout);Yes (via startup parameters and environment variables, DR-DOS also supports DIR /C /R user-default switch command);Yes (automatic \AUTOEXEC.BAT for primary shell, or explicitly via /P, /P:filename.bat or /K startup options);Yes (via CALL command or /C and /K startup options);No;Yes;
OS/2 CMD.EXE;OS/2;CMD;1987;No;OS/2;OS/2;IBM-EULA[23];No;Text-based CLI;No;No;No;No;Yes (stdin, stdout, stderr);?;Partial (only via /K startup option);Yes (via CALL command or /C and /K startup options);No;?;
Windows CMD.EXE[24];Win32;CMD;1993;No;Windows NT, 2000, XP, Server 2003, Vista;Windows NT, 2000, XP, Server 2003, Vista;MS-EULA[25];No;Text-based CLI;No;Partial (CHCP 65001 for UTF-8, but program arguments are still encoded in local codepage);No;No;Yes;Yes (via registry, startup parameters, and environment variables);Yes (automatic via registry, or explicitly via /K startup option);Yes (via CALL command or /C and /K startup options);No;Yes;
4DOS, NDOS;DOS, Windows 95, 98, SE, ME;4DOS, NDOS;1989 (1986);No (not bound to a specific OS vendor or version);Optional;Optional;MIT License, with restrictions;Yes;Text-based CLI with TUI extensions;Yes (popups, help system, %_MOUSE internal variable, INKEY /M command);No;Yes;Yes (via CTTY con:, except for DRAWBOX, DRAWLINE, DRAWVLINE, LIST, SCREEN, SCRPUT, SELECT, VSCRPUT commands and file / directory coloring);Yes (stdin, stdout, stderr, stdout+stderr);Yes (via 4DOS.INI/NDOS.INI file, startup parameters, environment variables, SETDOS command);Yes (automatic \AUTOEXEC.BAT for primary shell and 4START.BTM/4START.BAT as well as 4EXIT.BTM/4EXIT.BAT for any shell, or explicitly via /P, /P:dir\filename.ext or /K startup options);Yes (via CALL command or /C and /K startup options);Yes;Yes;
4OS2;OS/2;4OS2;1992;No (not bound to specific OS/2 versions);Optional;Optional;Freeware;Yes;Text-based CLI;No;No;No;No;Yes (stdin, stdout, stderr, stdout+stderr);Yes (via 4OS2.INI file, startup parameters, environment variables, SETDOS command);Yes (automatic via 4START.CMD/4START.BTM as well as 4EXIT.CMD/4EXIT.BTM files, or explicitly via /K startup.cmd option);Yes (via CALL command or /C and /K startup options);Yes;?;
TCC (formerly 4NT);Win32;TCC;1993;No (not bound to specific NT versions);optional;optional;Shareware;No;Text-based CLI (Take Command: GUI);Yes (console mouse, popups, help system, %_XMOUSE, %_YMOUSE internal variables, INKEY /M command);Yes;Yes;No;Yes (stdin, stdout, stderr, stdout+stderr);Yes (via registry, TCMD.INI/4NT.INI file, startup parameters, environment variables, SETDOS command);Yes (automatic via registry and TCSTART/4START as well as TCEXIT/4EXIT, or explicitly via /K startup option);Yes (via CALL command or /C and /K startup options);Yes;No;
VMS DCL[26];OpenVMS;Automatically for login/interactive process;1977?;Yes;VMS;VMS;Proprietary, bundled in VMS;by special license only;Text-based CLI;with DECwindows/Motif;Yes;Yes, at least to 1988 standard;Yes;Yes (sys$input, sys$output assignment);Yes (via symbols, logical names, and options);Yes (SYS$MANAGER:SYLOGIN.COM and user defined LOGIN.COM);Yes;Yes;No;
PowerShell;.NET;PowerShell;2006;Yes;Windows Server 2008, 7, Vista, XP[27];Windows Server 2008, 7;MIT-style;Yes;Graphical CLI;Yes;Yes;Yes;No;Yes;Yes (via variables and options);Yes (%USERPROFILE%\Documents \WindowsPowerShell\Microsoft.PowerShell_profile.ps1);Yes (PowerShell feature);Yes;No;
rc;Plan 9, POSIX;rc;1989;Yes;Plan 9, Version 10 Unix;Plan 9, Version 10 Unix;Lucent Public License;?;?;?;Yes;?;?;Yes;?;?;?;?;Yes;
BeanShell;Java;?;2005;Yes;?;?;LGPL;?;?;?;Yes;?;?;Yes;?;?;?;?;No;
fish;POSIX;fish;2005[28];Yes;GhostBSD;?;GPL;Yes;Text-based CLI;?;Yes;?;?;Yes (arbitrary fds);Yes (through environment variables and via web interface through fish_config);Yes (/etc/fish/config.fish and ~/.config/fish/config.fish);Yes (Unix feature);Yes (~/.config/fish/fish_history*);?;
Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable;
