Brand;Model name;Sensor size;Effective megapixels;Lens mount;Viewfinder type;Viewfinder coverage;Metering zones;Focus points;Lowest ISO;Highest ISO;DxO score;DxO ISO[1];Cont. shtg;LCD size;Live view;Movie mode;Memory card;Video;Dimensions (mm);Weight (g)[2];Announced (date);In production;Reference;
Canon;70D;APS-C;20.2;EF, EF-S;Pentaprism;98;63;19;100;25600;68;926;7.0;3;yes;yes;SD;;139x105x79;755;Jul 2013;no;[20] [21];
Canon;60D;APS-C;18.0;EF, EF-S;Pentaprism;96;63;9;100;12800;66;813;5.3;3;yes;yes;SD;;145x106x79;755;Aug 2010;yes;[22];
Canon;50D;APS-C;15.1;EF, EF-S;Pentaprism;95;35;9;100;12800;63;696;6.3;3;yes;yes;CF;;146x108x74;822;Oct 2008;no;[23][24];
Canon;40D;APS-C;10.1;EF, EF-S;Pentaprism;95;35;9;100;3200;64;703;6.5;3;yes;no;CF;;146x108x74;740;Aug 2007;no;[25];
Canon;30D;APS-C;8.2;EF, EF-S;Pentaprism;95;35;9;100;3200;59;736;5;2.5;no;no;CF;;144x106x74;785;Feb 2006;no;[26] [27] [28];
Canon;20D;APS-C;8.2;EF, EF-S;Pentaprism;95;35;9;100;3200;62;721;5;1.8;no;no;CF;;144x106x72;770;Aug 2004;no;[29] [30];
Canon;10D;APS-C;6.3;EF;Pentaprism;95;35;7;100;3200;57;571;3;1.8;no;no;CF;;150x107x75;790 (without battery);Feb 2003;no;[31] [32];
Canon;760D;APS-C;24;EF, EF-S;Pentamirror;95;63;19;100;25600;70;915;5;3;yes;yes;SD;;132×101×78;565g;Feb 2015;yes;;
Canon;750D;APS-C;24;EF, EF-S;Pentamirror;95;63;19;100;25600;71;919;5;3;yes;yes;SD;;132×101×78;555g;Feb 2015;yes;;
Canon;700D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;25600;61;681;5.0;3;yes;yes;SD;;134x100x79;580;Mar 2013;yes;[33][34];
Canon;650D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;25600;62;722;5.0;3;yes;yes;SD;;134x100x79;575;Jun 2012;no;[35][36];
Canon;600D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;12800;65;793;3.7;3;yes;yes;SD;;133x100x80;515 (without battery);Feb 2011;yes;[37][38];
Canon;550D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;12800;66;784;3.7;3;yes;yes;SD;;129x98x75;530;Feb 2010;no;[39][40];
Canon;500D;APS-C;15.1;EF, EF-S;Pentamirror;95;35;9;100;12800;63;663;3.4;3;yes;yes;SD;;129x98x62;480 (without battery);Mar 2009;no;[41][42];
Canon;450D;APS-C;12.2;EF, EF-S;Pentamirror;95;35;9;100;1600;61;692;3.5;3;yes;no;SD;;129x98x62;475 (without battery);Jan 2008;no;[43] [44];
Canon;400D;APS-C;10.1;EF, EF-S;Pentamirror;95;35;9;100;1600;62;664;3;2.5;no;no;CF;;127x95x65;510 (without battery);Aug 2006;no;[45] [46];
Canon;350D;APS-C;8.0;EF, EF-S;Pentamirror;95;35;7;100;1600;60;637;2.8;1.8;no;no;CF;;127x94x64;540 (485 without battery);Feb 2005;no;[47] [48];
Canon;300D;APS-C;6.3;EF, EF-S;Pentamirror;95;35;7;100;1600;55;544;2.5;1.8;no;no;CF;;142x99x72;694 (560 without battery);Aug 2003;no;[49] [50];
Canon;100D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;25600;63;843;4;3;yes;yes;SD;;117x91x69;407 (370 without battery);Mar 2013;yes;[51] [52];
Canon;1200D;APS-C;18.0;EF, EF-S;Pentamirror;95;63;9;100;12800;63;724;3.0;3;yes;yes;SD;;130x100x78;480 (435 without battery);Feb 2014;yes;[53][54];
Canon;1100D;APS-C;12.2;EF, EF-S;Pentamirror;95;63;9;100;6400;62;755;3;2.7;yes;yes;SD;;130x100x78;495;Feb 2011;yes;[55][56];
Canon;1000D;APS-C;10.1;EF, EF-S;Pentamirror;95;35;7;100;1600;62;719;3;2.5;yes;no;SD;;126x98x62;502;Jun 2008;no;[57][58];
Nikon;D5;Full frame;20.8;F-mount;Pentaprism;100;180000;153;50;3280000;88;2434;12;3.2;yes;yes;;;160x158.5x92;1405(with battery);Feb 2017;yes;;
Nikon;D4;Full frame;16.2;F-mount;Pentaprism;100;91000;51;50;204800;89;2965;11;3.2;yes;yes;CF + XQD;;160x157x91;1180 (without battery);Jan 2012;yes;[59] [60];
Nikon;D3X;Full frame;24.4;F-mount;Pentaprism;100;1005;51;50;6400;88;1992;5;3;yes;no;CF (2x);;160x157x88;1220;Dec 2008;yes;[61][62];
Nikon;D3S;Full frame;12.1;F-mount;Pentaprism;100;1005;51;100;102400;82;3253;9;3;yes;yes;CF (2x);;160x157x88;1246;Oct 2009;no;[63][64];
Nikon;D800;Full frame;36.3;F-mount;Pentaprism;100;91000;51;50;25600;95;2853;4;3.2;yes;yes;CF + SD;;145x122x82;900 (without battery);Feb 2012;yes;[65] [66] [67];
Nikon;D850;Full Frame;45.7;F-mount;Pentaprism;100;180000;153;64;25600;100;2660;7;3.2;;;;;;;Oct 2017;;[68];
Nikon;D700;Full frame;12.1;F-mount;Pentaprism;95;1005;51;100;25600;80;2303;5;3;yes;no;CF;;147x123x77;995;Jul 2008;no;[69][70];
Nikon;D600;Full frame;24.3;F-mount;Pentaprism;100;2016;39;50;25600;94;2980;5.5;3.2;yes;yes;SD (x2);;141x113x82;760 (w/o battery);Sep 2012;yes;[71] [72];
Nikon;D300S;APS-C;12.3;F-mount;Pentaprism;100;1005;51;100;6400;70;787;6;3;yes;yes;CF+SD;;147x114x74;918;Jul 2009;yes;[73][74];
Nikon;D7000;APS-C;16.2;F-mount;Pentaprism;100;2016;39;100;25600;80;1167;6;3;yes;yes;SD (x2);;132x105x77;690 (without battery);Sep 2010;yes;[75];
Nikon;D90;APS-C;12.3;F-mount;Pentaprism;96;420;11;100;6400;73;977;4.5;3;yes;yes;SD;;132x103x77;620 (without battery);Aug 2008;no;[76][77];
Nikon;D5100;APS-C;16.2;F-mount;Pentamirror;95;420;11;100;25600;80;1183;4;3;yes;yes;SD;;127x97x79;560 (without battery);Apr 2011;yes;[78][79];
Nikon;D5000;APS-C;12.3;F-mount;Pentamirror;95;420;11;100;6400;72;868;4;2.7;yes;yes;SD;;127x104x80;560 (without battery);Apr 2009;no;[80][81];
Nikon;D3200;APS-C;24.2;F-mount;Pentamirror;95;420;11;100;12800;81;1131;4;3;yes;yes;SD;;125x96x79;505;Apr 2012;yes;[82] [83];
Nikon;D3100;APS-C;14.2;F-mount;Pentamirror;95;420;11;100;12800;67;919;4.4;3.2;yes;yes;SD;;124x96x74.5;505;Aug 2010;yes;[84][85];
Nikon;D3000;APS-C;10.2;F-mount;Pentamirror;95;420;11;100;3200;62;563;3;3;no;no;SD;;126x97x64;536;Jul 2009;no;[86] [87];
Olympus;E-5;Four Thirds;12.3;4/3 system;Pentaprism;100;49;11;100;6400;56;519;5;3.0;yes;yes;CF, SD;;142x116x75;813 (without battery);Sep 2010;yes;[88];
Olympus;E-3;Four Thirds;10.1;4/3 system;Pentaprism;100;49;11;100;3200;56;571;5;2.5;yes;no;CF, xD;;142x116x75;800 (without battery);Oct 2007;no;[89][90];
Olympus;E-30;Four Thirds;12.3;4/3 system;Pentaprism;98;49;11;100;3200;55;530;5;2.7;yes;no;CF, xD;;142x116x75;730;Feb 2009;yes;[91][92];
Olympus;E-620;Four Thirds;12.3;4/3 system;Pentamirror;95;49;7;100;3200;55;536;4;2.7;yes;no;CF, xD;;130x94x60;475 (without battery);Feb 2009;yes;[93][94];
Pentax;645D;Medium format;39.5;Pentax 645;Pentaprism;98;77;11;100;1600;82;1262;1;3;no;no;SDXC (2x);;156x117x119;1400;Mar 2010;no;[95][96];
Pentax;645Z;Medium format;39.5;Pentax 645;Pentaprism;98;86000;27;100;204800;101;4505;3;3,2;yes;yes;SDXC (2x);;156x117x123;1550;Apr 2014;yes;[97][98];
Pentax;K-1;Full frame;36.3;K mount;Pentaprism;100;86000;33;80;204800;96;3280;4,4;3,2;yes;yes;SDXC (2x);1080p30;136,5x110x85,5;750;Sep 2016;no;[99][100];
Pentax;K-5;APS-C;16.3;K mount;Pentaprism;100;77;11;80;51200;82;1162;7;3;yes;yes;SDXC;;131x97x73;750;Sep 2010;no;[101][102];
Pentax;K-7;APS-C;14.6;K mount;Pentaprism;100;77;11;100;6400;61;536;5.2;3;yes;yes;SD;;131x97x73;750;May 2009;no;[103][104];
Pentax;K-50;APS-C;16.3;K mount;Pentaprism;100;77;11;100;51200;79;1120;6;3;yes;yes;SDXC;;130x97x71;650;June 2013;yes;[105][106];
Pentax;K-500;APS-C;16.3;K mount;Pentaprism;100;77;11;100;51200;79;1087;6;3;yes;yes;SDXC;;130x97x71;646;June 2013;yes;[107][108];
Pentax;K-30;APS-C;16.3;K mount;Pentaprism;100;77;11;100;25600;79;1129;6;3;yes;yes;SDXC;;131x97x73;649;May 2012;no;[109][110];
Pentax;K-r;APS-C;12.4;K mount;Pentamirror;96;16;11;100;25600;72;755;6.0;3.0;yes;yes;SD;;122x91x67;515 (without battery);Sep 2010;no;[111][112];
Pentax;K-x;APS-C;12.4;K mount;Pentamirror;96;16;11;100;12800;72;811;4.7;2.7;yes;yes;SD;;122x91x67;580;Sep 2009;no;[113][114];
Pentax;K20D;APS-C;14.6;K mount;Pentaprism;96;16;11;100;6400;65;639;3;2.7;yes;;SD;;141.5×101×70;800;Jan 2008;no;[115];
Sigma;SD1 Merrill;APS-C;15.4 x 3;SA mount;Pentaprism;96;77;11;100;6400;N/A;N/A;6;3;no;no;CF;;146x113x80;790;Feb 2012;yes;[116][117];
Sony;Alpha 900;Full frame;24.6;Sony ?/Minolta A;Pentaprism;100;40;9;100;6400;79;1431;5;3;no;no;CF, MS;;156x117x82;895;Sep 2008;yes;[118] [119];
Sony;Alpha 850;Full frame;24.6;Sony ?/Minolta A;Pentaprism;98;40;9;100;6400;79;1415;3;3;no;no;CF, MS;;156x117x82;895;Aug 2009;yes;[120][121];
Sony;Alpha 580;APS-C;16.2;Sony ?/Minolta A;Pentamirror;95;;15;100;12800;80;1121;7;3;yes;yes;SD, MS;;137x104x84;599 (without battery);Aug 2010;yes;[122];
Brand;Model name;Sensor size;Effective megapixels;Lens mount;Viewfinder type;Viewfinder coverage (% of the frame);Metering zones;Focus points;Lowest ISO;Highest ISO;DxOMark sensor score;DxO ISO perfor- mance[3];Cont. shtg (fps);LCD size (in);Live view;Movie mode;Memory card type;;Dimensions (mm);Weight (g)[4];Announced (date);In production;Reference;
