Graphics;Launch;Market;Processor;Code name;Device ID;Clock rate;Core config1;API support[59][12][31][47];eDRAM (MiB);Memory bandwidth (GB/s);
Min (MHz);Max (MHz);Direct3D;OpenGL;OpenCL;Vulkan;
HD Graphics 500;2016;??;Atom x5-E3930;Apollo Lake (Gen9LP);5A85;400;550;96:12:2;12;4.5Windows 4.5Linux ES 3.2Linux;1.2Windows 2.0Linux;1.1Windows 1.1Linux;-;68.2;
Atom x5-E3940;600;
Pentium 4415U;950;
Desktop;Celeron G3930TE;5902;350;950;
Celeron G3930E Celeron G3930T;1000;
Celeron G3930 Celeron G3950;1050;
Pentium G4560T Pentium G4560;38.4;
Core i3-7101TE Core i3-7101E;1100;
HD Graphics 615;Mobile;Celeron 3965Y Pentium 4410Y Pentium 4415Y;591E;300;850;192:24:3 (GT2);29.8;
Core m3-7Y30 Core m3-7Y32;900;
Core i5-7Y54 Core i5-7Y57;950;
Core i7-7Y75;1050;
HD Graphics 620;Core i3-7020U Core i3-7100U Core i3-7130U Core i5-7200U;5916;1000;34.1;
Core i7-7500U;1050;
Core i5-7300U;1100;
Core i7-7600U;1150;
UHD Graphics 620;Core i3-8130U;5917;1000;38.4;
Core i5-8250U Core i5-8350U;1100;
Core i7-8550U Core i7-8650U;1150;
HD Graphics 630;Desktop;Core i5-7400T Core i5-7400;5912;350;1000;38.4;
Pentium G4600T;1050;
Pentium G4600 Pentium G4620 Core i3-7100T Core i3-7100 Core i3-7300T Core i5-7500T Core i5-7500 Core i5-7600T;1100;
Core i3-7300 Core i3-7320 Core i3-7350K Core i5-7600 Core i5-7600K Core i7-7700T Core i7-7700 Core i7-7700K;1150;
Mobile;Core i3-7100E Core i3-7100H Core i3-7102E;591B;950;
Core i5-7300HQ Core i5-7440EQ Core i5-7440HQ Core i5-7442EQ Core i7-7820EQ;1000;
Core i7-7700HQ Core i7-7820HK Core i7-7820HQ Core i7-7920HQ;1100;
Core i5-8305G;?;1000;
Core i7-8705G Core i7-8706G Core i7-8709G Core i7-8809G;1100;
HD Graphics P630;Mobile Workstation;Xeon E3-1501L v6 Xeon E3-1501M v6 Xeon E3-1505L v6;591D;1000;
Xeon E3-1505M v6 Xeon E3-1535M v6;1100;
Workstation;Xeon E3-1225 v6 Xeon E3-1245 v6 Xeon E3-1275 v6 Xeon E3-1285 v6;1150;
Iris Plus Graphics 640;Mobile;Core i5-7260U;5926;300;950;384:48:6 (GT3);64;34.1;
Core i5-7360U;1000;
Core i7-7560U;1050;
Core i7-7660U;1100;
Iris Plus Graphics 650;Core i3-7167U;5927;1000;
Core i5-7267U;1050;
Core i5-7287U;1100;
Core i7-7567U;1150;
UHD Graphics 610;2017;Desktop;Celeron G4900T;Coffee Lake;3E93;350;1000;96:12:2 (GT1);12;4.5Windows;2.1Windows;1.1Windows 1.1Linux;-;38.4;
Celeron G4900 Celeron G4920 Pentium Gold G5400T Pentium Gold G5400;1050;
UHD Graphics 630;Desktop;Pentium Gold G5500T;3E91;1050;184:23:3 (GT2);38.4;
Pentium Gold G5500 Pentium Gold G5600 Core i3-8100T Core i3-8100 Core i3-8300T;1100;
Core i3-8300 Core i3-8350K;1150;
Core i5-8400T Core i5-8400 Core i5+8400;3E92;1050;192:24:3 (GT2);42.7;
Core i5-8500T Core i5-8500 Core i5+8500;1100;
Core i5-8600T Core i5-8600 Core i5-8600K Core i5-9600K;1150;
Core i7-8700T Core i7-8700 Core i7+8700 Core i7-8700K Core i7-8086K Core i7-9700K Core i9-9900K;1200;
Mobile;Core i5-8300H;3E9B;1000;
Core i5-8400B;1050;
Core i5-8400H Core i7-8750H;1100;
Core i5-8500B Core i7-8850H;1150;
Core i7-8700B Core i9-8950HK;1200;
Mobile Workstation;Xeon E-2176M Xeon E-2186M;
Iris Plus Graphics 655;Mobile;Core i3-8109U Core i5-8259U;3EA5;300;1050;384:48:6 (GT3);128;38.4;
Core i5-8259U;1100;
Core i7-8559U;1200;
