Meaning;Portuguese;Spanish < Arabic;
piggy bank, moneybox;mealheiro < Lat. micalea, micae + suffix 'eiro';alcancía < Hisp.-Ar. alkanzíyya;
poppy;papoila or papoula < Lat. papaver;amapola, ababol < Hisp.-Ar. ?ababawra;
esparto (grass);esparto < Lat. spartum;atocha < Hisp.-Ar. attáwca (Sp. also has esparto);
orange blossom;flor de laranjeira < Lat. flos < floris + < Sanskrit ?????? n?ra?ga;azahar < azzahár < zahr[33];
scorpion;escorpião < Lat. scorpio;alacrán < Hisp.-Ar. al‘aqrab < ? (‘aqrab) (Sp. also has escorpión);
syrup;calda < Lat. calda;almíbar < al-miba;
waistcoat;colete < Ital. coletto;chaleco < yalika;
wallflower;goivo < Celt. gulb;alhelí < alhayrí;
bathrobe, dressing-gown;roupão (de banho), robe < Gothic raupa, < Fr. robe;albornoz < Al'burnus (??????) (Sp. also has ropón);
corner;canto < Proto-Celtic kanto;rincón < ruk?n < rukn;
flowerbed;canteiro < Proto-Celtic kanto;arriate < riy??;
clown, buffoon;palhaço, bufão < Ital. pagliaccio, buffone;mamarracho < muharrá?, < muharri? (Sp. also has payaso/bufón);
bowl, basin;bacia < via Late Lat. baccia from Gaulish bacca;tazón, jofaina < ?????? (tassah), < algufáyna,[34][35][36];
gully, trench;regueira < Proto-Celtic + Por. suffix ?rik?;acequia < Hisp-Ar. assáqya < s?qiyah;
bean;feijão < Lat. faseolus;alubia < al-l?biy?;
trivial, futile;fútil < Lat. futilis;baladí < balady ????;
to flatter (verb);lisonjear < Provençal lauzenja, likely < Lat. laudis or Gaulish lawsy? < Proto-Celtic laws;halagar < ?alak (Sp. also has lisonjear);
to save (verb);poupar < Lat. palpare;ahorrar < alhurr ????;
to set (verb);engrenar, endentar < Fr. engrener, < Lat. in + dentis;engarzar < ?arzah;
sheath, dressing;bainha, ligadura < Lat. vagina, < Lat. ligatura;jareta < šar??ah;
coffin, casket;caixão, urna < Lat. capsa, < Lat. urna;ataúd < ?????? at-t?b?t;
breast cancer;cancro da mama/câncer de mama < Lat. cancer;zaratán < sara??n [37][38] (Sp. also has cáncer de mama);
wild boar, wild swine;porco-montês, porco-bravo < Lat. porcus;jabalí < ?????? ????????– (?inzîr) ?abalî (Por. also has javali);
clairvoyant, water diviner;vidente, vedor d’água < Lat. videns;zahorí < zahuri (Sp. also has vidente, rabdomante);
rogue, crafty;trapaceiro < Fr. trappe < Low Frankish trappa + Por. suffix ceiro;zamacuco < ?amak?k;
snout, mug (colloquial);focinho < Lat. faucinu < faci?s;jeta < ja?m/ka?m[39] (Sp. also has hocico);
to assemble, to produce (verb);montar, produzir < Lat. montare, producere;maquilar < makilah;
to cop out (verb);encostar < Lat. en + costa;escaquearse < Hisp-Ar. iššáh < aš-š?h;
mother-of-pearl;madrepérola < Lat. mater + perna < pernula;nácar < naqr (???)[40];
