Audio compression format;Creator;First public release date;Latest stable version;cost;Proprietary implementations (codecs);Open-source implementations (codecs);Uses (other than consumer audio);Music reproduction (consumer audio);Telephony app;Lossless audio compression;Patented;DRM;
Encoder;Player;
AAC;ISO/IEC MPEG Audio Committee;1997;ISO/IEC 14496-3;Non-free[1];FAAC (encoding only), Nero Digital Audio, Apple CoreAudio (via QuickTime, iTunes or afconvert[2]);FAAD2 (decoding only), FFmpeg, Audiocogs[3] (decoding only), Fraunhofer FDK AAC;Digital TV service, Digital Radio, Internet streaming;Yes;AAC-LD/AAC-ELD;MPEG-4 SLS;Yes;FairPlay (.m4p only, discontinued);
AC-3;Dolby Laboratories;1992;ATSC A52:2012;Free;DVD players, digital television;FFmpeg, liba52 (decoding only), Aften (encoding only), libavc (2.0 channels max);Theatrical movie presentation, Digital TV service & home-video (personal recorders, DVD, etc.);No;No;No;No;?;
ALAC;Apple Inc.;2004-04-28;QuickTime 7.6;Free;QuickTime, iTunes, RealPlayer;MacOSforge, FFmpeg, Audiocogs[4] (decoding only);-;Music archival;Yes;Yes;Free;Possible, but never implemented;
ALS;ISO/IEC MPEG Audio Committee;2005;ISO/IEC 14496-3;Free;mp4als;FFmpeg (decoding only);-;-;No;Yes;Yes;?;
AMBE;Digital Voice Systems;?;?;Non-free;?;mbelib;Low bandwidth HF/VHF digital radio, VoIP trunking;No;No;No;Yes;?;
AMR;3GPP;1999-06-22;ETSI TS 126 071 V9.0.0 (2009);Non-free[5][6];QuickTime, RealPlayer;FFmpeg (decoding only), FFmpeg with OpenCORE libraries,[7] Android[8];voice recording;No;Yes;No;Yes;No;
G.723.1;ITU-T;1996-03;G.723.1 (05/06);Non-free;Non-free;Various proprietary VoIP software;FFmpeg;voice recording;No;Yes;No;Yes;No;
G.726;ITU-T;1990-12;;Free;Free;Various proprietary VoIP software;FFmpeg, Ekiga and other VoIP software;voice recording;No;Yes;No;No;No;
G.728;ITU-T;1992-09;;Non-free;Non-free;Various proprietary VoIP software;;voice recording;No;Yes;No;Yes;No;
G.729;ITU-T;1996-03;G.729 (06/12);Free[18];Free;Various proprietary VoIP software;FFmpeg (decoding only);voice recording;No;Yes;No;Expired[18];No;
G.729.1;ITU-T;2006-05;G.729.1 Am.8 (03/13);Free[18];Free;Various proprietary VoIP software;;voice recording, DECT telephony;No;Yes;No;No;No;
GSM-FR;ETSI Special Mobile Group;1990-1994 (ETS 300 580-2);ETSI EN 300 961 V8.1.1 (2000–11);Free;Free;;FFmpeg (decoding only), FFmpeg with external library libgsm, Ekiga and other VoIP software;voice recording;No;Yes;No;?;No;
HE-AAC;ISO/IEC MPEG Audio Committee;2003;ISO/IEC 14496-3;;;;;;;;;;;
iLBC;Global IP Solutions;2002;RFC 3951;Free;Free;Cisco IP Communicator,[19] old versions of Skype[20];Ekiga, Asterisk (PBX) and other VoIP software, FFmpeg with libilbc library;voice recording;No;Yes;No;Free[21];No;
iSAC;Global IP Solutions;?;;Free;Free;Yahoo! Messenger;WebRTC;voice recording;No;Yes;No;Yes[22];?;
Monkey's Audio;Matthew T. Ashland;2000;4.35;Free;Free;Monkey's Audio;FFmpeg (decoding only);-;Music Archival;No;Yes;No;No;
MP2 (MPEG-1, 2 Audio Layer II);ISO/IEC MPEG Audio Committee;1993;ISO/IEC 11172-3, ISO/IEC 13818-3;Free[23];Free[23];various DVD software, video software, audio software;TooLAME (encoding only), TwoLAME (encoding only), FFmpeg;DAB, DVB, DVD;Yes;No;No;Free[24];?;
MP3;ISO/IEC MPEG Audio Committee;1993;ISO/IEC 11172-3, ISO/IEC 13818-3;Free;Free;FhG, l3enc, MP3enc, (old implementations: Xing TOMPG, SCMPX);LAME (encoding only), FFmpeg (decoding only), libmad (decoding only), Audiocogs[25] (decoding only), (old implementations: BladeEnc);-;Yes;No;No;No[26];Yes (optional, rarely used);
Musepack;Frank Klemm/MDT;1997;1.30 (2009-04-02);Free;Free;;Musepack,[27] FFmpeg (decoding only);-;Yes;No;No;No;No;
Nellymoser Asao;Nellymoser Inc.;2002;?;Non-free;Non-free;Adobe Flash, Flash Player;FFmpeg;voice recording;No;No;No;Yes;?;
Opus;Xiph.Org Foundation, Internet Engineering Task Force;2012-09-11;RFC 6716 (libopus 1.3);Free;Free;;libopus, FFmpeg;Speech, VoIP, Low latency, Studio/transmitter link, wireless audio, voice recording, WebRTC;Yes;Yes;No;Free[28];No;
SBC;Bluetooth SIG;2003;A2DP 1.3 (2012-07-24);Free for Bluetooth;Free for Bluetooth;A2DP;BlueZ, FFmpeg;Bluetooth audio;Yes;Yes;No;Yes;No;
Shorten;Tony Robinson;1993-03-30;3.6.1;Free;Free;Shorten;FFmpeg (decoding only);-;-;No;Yes;No (with commercial use restriction)[29][30];No;
SILK;Skype Limited;2009-01-07;Merged into Opus;Free;Free;Skype;SILK Speech Codec;voice recording;No;Yes;No;Yes;?;
Siren 7;PictureTel Corp. (now Polycom Inc.);1999;;?[15][16];?[15][16];Microsoft Office Communicator;FreeSWITCH (libg722_1,[31] aMSN (libsiren - part of libmsn)[32][33];voice recording;No;Yes;No;Yes;?;
Speex;Xiph.Org Foundation, Jean-Marc Valin;2003-03-24;1.2.0 (obsoleted by Opus);Free;Free;Adobe Flash Player 10;Speex,[34] FFmpeg with libspeex library;voice recording;No;Yes;No;No;No;
SVOPC;Skype Limited;2007;;?;?;Skype;;voice recording;No;Yes;No;Yes;?;
True Audio (TTA);TAU Software;1999;2.2;Free;Free;;TTA,[35] FFmpeg;-;-;Yes;Yes;No;No;
TwinVQ;Nippon Telegraph and Telephone;1996 (?);;Non-free;Non-free;Winamp with VQF plugin, NTT TwinVQ player/encoder, Yamaha SoundVQ player, Nero Media Player;FFmpeg (decoding only)[36];speech;Yes;No;No;Yes;?;
Vorbis (Ogg);Xiph.Org Foundation;2000-05-11;1.3.6;Free;Free;;libvorbis,[37] aoTuV,[38] FFmpeg;-;Yes;No;No;No;No;
WavPack;Conifer Software;1998;5.1.0;Free;Free;;WavPack,[39] FFmpeg;-;-;Yes;Yes;No;No;
Windows Media Audio;Microsoft;1999;11.0;Free Windows Media Encoder[40];Free for licensees of the Windows operating system[41];Windows Media Player, Windows Media Encoder;FFmpeg (decoding only for Pro, Lossless and Voice);internet streaming;Yes;No;Yes;Yes;Optional[42];
Audio compression format;Creator;First public release date;Latest stable version;Encoder;Player;Proprietary implementations (codecs);Open-source implementations (codecs);Uses (other than consumer audio);Music reproduction (consumer audio);Telephony app;Lossless audio compression;Patented;DRM;
cost;
