Unit;Base;American;British;ANZAC;Soviet;French;German;Italian;Japanese;
Artillery;10.5 cm leFH 18;;;;;;1942 Second Edition;;;
Tribal class;;;Pacific 1940 Second Edition;;;;;;
Zerstörer 1934;;;;;;Europe;Anniversary;;
Submarine;I class;;;;;;;;Pacific;
Kaichu class;;;;;;1941;;1941;
Marconi class;;;;;;;Pacific 1940 Second Edition;;
Ray class;Europe;Europe;Pacific 1940;Europe;Europe 1940;;;;
S class;;;Pacific 1940 Second Edition;;;;;;
Srednyaya class;;;;Europe 1940 Second Edition;Europe 1940 Second Edition;;;;
Truculent;;1942 Second Edition;;;;;;;
U class;1941;1941;;1941;;;;;
Type VII;;;;;;Europe;Anniversary;;
Cruiser;Admiral Hipper class;;;;;;Anniversary;Anniversary;;
Kent class;;Anniversary;Pacific 1940;Anniversary;;;;;
Kirov class;;;;1942;Europe 1940;;;;
Portland class;Guadalcanal;;;;;;;;
Takao class;;;;;;;;Guadalcanal;
Zara class;;;;;;;Europe 1940 Second Edition;;
Carrier;Akagi;;;;;;1941;;1941;
Aquila;;;;;;;Europe 1940 Second Edition;;
Graf Zeppelin;;;;;;Europe;Anniversary;;
Illustrious class;;Europe;Pacific 1940;Europe;Europe 1940;;;;
Kostromitinova class;1941;1941;;1941;;;;;
Majestic class;;;1942 Second Edition;;;;;;
Shinano;;;;;;;;Pacific;
Wasp;Europe;;;;;;;;
Battleship;Bismarck class;;;;;;Europe;Anniversary;;
Gangut class;;;;1942;Europe 1940;;;;
Hood;1941;1941;;1941;;;;;
Iowa class;Europe;;;;;;;;
Kongo class;;;;;;1941;;1941;
Littorio class;;;;;;;Europe 1940 Second Edition;;
Royal Oak class;;Europe;Pacific 1940;Europe;;;;;
Warspite;;;1942 Second Edition;;;;;;
Yamato class;;;;;;;;Pacific;
Fighter;C.202;;;;;;;Europe 1940 Second Edition;;
CA-12;;;Pacific 1940 Second Edition;;;;;;
Fw 190;;;;;;1941;;1941;
Bf 109;;;;;;Anniversary;Anniversary;;
MiG-3;;;;Pacific 1940 Second Edition;Pacific 1940 Second Edition;;;;
P-38 Lightning;Europe;;;;;;;;
P-40 Warhawk;1941;1941;;1941;;;;;
Spitfire;;Europe;Pacific 1940;;;;;;
Stuka;;;;;;Europe;;;
Wildcat;Pacific;;;;;;;;
Yak;;;;Europe;Europe 1940;;;;
Zero;;;;;;;;Pacific;
Tactical Bomber;Dauntless;Pacific 1940;;;;;;;;
Mosquito;;Pacific 1940;Pacific 1940;;;;;;
SM.79;;;;;;;Europe 1940 Second Edition;;
Stuka;;;;;;Europe 1940;Europe 1940;;
Sturmovik;;;;Europe 1940;Europe 1940;;;;
TB.Mk.I;;;Pacific 1940 Second Edition;;;;;;
Val;;;;;;;;Pacific 1940;
Bomber;B-17;Europe;;;;;;;;
Betty;;;;;;;Anniversary;Pacific;
Halifax;;Europe;Pacific 1940;;;;;;
He 111;;;;;;1941;;1941;
Ju 88;;;;;;Europe;Europe 1940;;
Lancaster;1941;1941;;1941;;;;;
P.108;;;;;;;Europe 1940 Second Edition;;
Pe-8;;;;Europe;Europe 1940;;;;
PV-1;;;Pacific 1940 Second Edition;;;;;;
