SI IN IVS VOCAT, ITO. NI IT, ANTESTAMINO. IGITVR EM CAPITO. SI CALVITVR PEDEMVE STRVIT, MANVM ENDO IACITO. SI MORBVS AEVITASVE VITIVM ESCIT, IVMENTVM DATO. SI NOLET, ARCERAM NE STERNITO. ASSIDVO VINDEX ASSIDVVS ESTO. PROLETARIO IAM CIVI QVIS VOLET VINDEX ESTO. ... VADES ... SVBVADES ... NEX ... FORTI SANATI ... REM VBI PACVNT, ORATO. NI PACVNT, IN COMITIO AVT IN FORO ANTE MERIDIEM CAVSSAM COICIVNTO. COM PERORANTO AMBO PRAESENTES. POST MERIDIEM PRAESENTI LITEM ADDICITO. SI AMBO PRAESENTES, SOLIS OCCASVS SVPREMA TEMPESTAS ESTO.;
prodigo interdicitur bonorum suorum administratio.[a 40];On interdit au prodigue l'administration de ses biens.;
prodigum, cui bonis interdictum est, in curatione iubet esse agnatorum.[a 41];Le prodigue ou le fou, auquel on a ôté l'administration de ses biens, est sous la curatelle de ses agnats.;
civis Romani liberti hereditatem patrono defert, si intestato sine suo herede libertus decesserit.[a 42];Qu'on défère au patron la succession de l'affranchi, citoyen romain, mort sans testament et sans héritiers.;
ea, quae in nominibus sunt, ... ipso iure in portiones hereditarias divisa sunt.[a 43];Les dettes passives et actives du défunt ne sont point divisibles, car elles sont de plein droit divisées en portions héréditaires.;
aes alienum hereditarium pro portionibus quaesitis singulis ipso iure divisum.[a 44];Les dettes de la succession sont divisées proportionnellement par un pacte entre les héritiers du débiteur.;
haec actio (familiae herciscundae) proficiscitur.[a 45];Cette action permet (à des cohéritiers) de cesser d'être en commun <pour la succession>.;
CVM NEXVM FACIET MANCIPIVMQVE, VTI LINGVA NVNCVPASSIT, ITA IVS ESTO. SATIS ESSET EA PRAESTARI, QVAE ESSENT LINGVA NVNCVPATA, QVAE QVI INFITIATVS ESSET, DVPLI POENAM SVBIRET, A IVRIS CONSVLTIS ETIAM RETICENTIAE POENA EST CONSTITVTA. VSVS AVCTORITAS FVNDI BIENNIVM EST, ... CETERARVM RERVM OMNIVM ... ANNVVS EST VSVS. TIGNVM IVNCTVM AEDIBVS VINEAVE SEI CONCAPIT NE SOLVITO.;
Transcription;Traduction;
cum nexum faciet mancipiumque, uti lingua nuncupassit, ita ius esto.[a 46];Lorsqu'on fait nexum (prise de possession) ou mancipium (cession), et qu'on le déclare oralement, le droit est donné.;
satis esset ea praestari, quae essent lingua nuncupata, quae qui infitiatus esset, dupli poenam subiret, a iuris consultis etiam reticentiae poena est constituta.[a 47];Il suffit de fournir ce qui a été formellement déclaré, et celui qui a trompé est condamné à la peine du double.;
usus auctoritas fundi biennium est, ... ceterarum rerum omnium ... annuus est usus.[a 48];<L'usucapion> des biens mobiliers se fait par an, celui des maisons par deux ans.;
tignum iunctum aedibus vineave sei concapit ne solvito.[a 49];Nul ne doit détacher les poutres des bâtiments ou des vignes d'autrui.;
VIAE LATITVDO IN PORRECTVM OCTO PEDES HABET, IN ANFRACTVM, ID EST VBI FLEXVM EST, SEDECIM. AMSEGETES VIAS MVNIVNTO : DONICVM LAPIDES SVNT: NI MVNIERINT, QVA VOLENT JVMENTA AGITO. SI AQVA PLVVIA NOCET ... IVBETVR EX ARBITRIO COERCERI. SI PER PVBLICVM LOCVM RIVVS AQVAE DVCTVS PRIVATO NOCEBIT, ERIT ACTIO PRIVATO, VT NOXA DOMINO SARCIATVR. VT XV PEDES ALTIVS RAMI ARBORIS CIRCVMCIDANTVR. SI ARBOR EX VICINI FVNDO VENTO INCLINATA IN TVVM FVNDVM IST, DE ADIMENDA EA RECTE AGERE POTES. VT GLANDEM IN ALIENVM FVNDVM PROCIDENTEM LICERET COLLIGERE.;
Transcription;Traduction;
viae latitudo in porrectum octo pedes habet, in anfractum, id est ubi flexum est, sedecim.[a 50];La largeur du chemin doit être de huit pieds en ligne droite et seize dans les virages.;
amsegetes vias muniunto : donicum lapides sunt: ni munierint, qua volent jumenta agito.[a 51];Que les chemins privés soient bordés de pierres <par leur propriétaire>. Sinon, par défaut, <les autres> peuvent faire passer les animaux où ils veulent.;
si aqua pluvia nocet ... iubetur ex arbitrio coerceri.[a 52];Si l'eau pluviale <d'une autre propriété> cause des dommages <à un propriétaire> ... <le propriétaire> peut en appeler à un juge.;
si per publicum locum rivus aquae ductus privato nocebit, erit actio privato, ut noxa domino sarciatur.[a 53];Si un ruisseau passant à travers un lieu public forme un aqueduc et nuit à un particulier, celui-ci dispose d'une action visant à garantir la réparation du tort ainsi causé.;
ut XV pedes altius rami arboris circumcidantur.[a 54];Que les arbres soient élagués jusqu'à 15 pieds.;
si arbor ex vicini fundo vento inclinata in tuum fundum ist, de adimenda ea recte agere potes.[a 55];Si un arbre frappé d'un coup de vent penche de la propriété voisine sur la vôtre, vous avez une action pour le faire abattre.;
ut glandem in alienum fundum procidentem liceret colligere.[a 56];On peut ramasser le gland tombé sur la propriété d'autrui.;
QVI MALVNT CARMEN INCANTASSIT ... ... RES CAPITE ... SI QVIS OCCENTAVISSET SIVE CARMEN CONDIDISSET, QVOD INFAMIAM FACERET FLAGITIVMVE ALTERI. SI MEMBRVM RVPSIT, NI CVM EO PACIT, TALIO ESTO. MANV FVSTIVE SI OS FREGIT LIBERO, CCC, SI SERVO, CL POENAM SVBITO SI INIVRIAM FAXSIT, VIGINTI QVINQVE POENAE SVNTO.;
Transcription;Traduction;
qui malum carmen incantassit ...[a 57];Celui qui prononcera un maléfice ...;
... res capite ... si quis occentavisset sive carmen condidisset, quod infamiam faceret flagitiumve alteri.[a 58];... peine capitale ... pour celui qui a soit récité publiquement, soit composé des vers, qui attireraient sur autrui le déshonneur ou l'infamie.;
si membrum rupsit, ni cum eo pacit, talio esto.[a 59],[a 60];Si on a estropié un autre et qu'on n'a pas conclu d'accord à l'amiable avec la victime, que la peine du Talion soit appliquée.;
manu fustive si os fregit libero, CCC, si servo, CL poenam subito si iniuriam faxsit, viginti quinque poenae sunto.[a 61];Si quelqu'un casse les os d'un autre à la main ou grâce à une massue, que la peine soit de 300 sesterces, si c'est un esclave, 150, s'il a fait un simple mal, vingt-cinq.;
NE INROGANTO ... NE FERVNTO;
HOMINEM MORTVVM IN VRBE NE SEPELITO NEVE URITO. QVI CORONAM PARIT IPSE PECVNIAVE EIVS HONORIS VIRTVTISVE ERGO ARDVITVR EI ... NEVE AVRVM ADDITO. AT CVI AVRO DENTES IVNCTI ESCVNT. AST IN CVM ILLO SEPELIET VRETVE, SE FRAVDE ESTO.;
Transcription;Traduction;
Hominem mortuum in Urbe ne sepelito neve urito.;L'homme mort, qu'on ne l'ensevelisse ni ne le brûle dans la ville.;
Qui coronam parit ipse pecuniave eius honoris virtutisve ergo arduitur ei ...;La couronne obtenue par la bravoure soit, sans qu'il y ait délit, placée sur le corps de celui qui l'a gagnée;
Neve aurum addito. At cui auro dentes iuncti escunt. Ast in cum illo sepeliet uretue, se fraude esto.;N'apporte pas d'or ... celui qui a les dents reliées par de l'or, si avec cet or on l'enterre ou le brûle, que ce soit sans délit.;
CONVBIA PLEBI CVM PATRIBVS SANXERVNT.;
Transcription;Traduction;
conubia plebi cum patribus sanxerunt.[a 62];Le mariage entre un plébéien et un patricien est prohibé.;
ADVERSVS EVM, QVI HOSTIAM EMISSET NEC PRETIVM REDDERET ; ITEM ADVERSVS EVM, QVI MERCEDEM NON REDDERET PRO EO IVMENTO, QVOD QVIS IDEO LOCASSET, VT INDE PECVNIAM ACCEPTAM IN DAPEM, ID EST IN SACRIFICIVM, IMPENDERET. SI SERVO FVRTVM FAXIT NOXIAMVE NOXIT. SI VINDICIAM FALSAM TVLIT, SI VELIT IS ... TOR ARBITROS TRIS DATO, EORVM ARBITRIO ... FRVCTVS DVPLIONE DAMNVM DECIDITO.;
Transcription;Traduction;
adversus eum, qui hostiam emisset nec pretium redderet ; item adversus eum, qui mercedem non redderet pro eo iumento, quod quis ideo locasset, ut inde pecuniam acceptam in dapem, id est in sacrificium, impenderet.[a 63];Contre celui qui aurait acheté un animal sans en acquitter le prix ; contre celui qui ne paierait pas la somme afférente à la bête donnée en location, à cette condition que l'argent retiré fût employé à une offrande.;
si servo furtum faxit noxiamve noxit.[a 64];Si un esclave se rend coupable de vol ou commet un délit ... l'action est préjudiciable.;
si vindiciam falsam tulit, si velit is ... tor arbitros tris dato, eorum arbitrio ... fructus duplione damnum decidito.[a 65];Si quelqu'un revendique faussement un bien ... trois juges sont nommés ... la sanction du dommage est le double de la valeur du bien.;
