Package;License;Windows;OS X;Linux;Market focus;Type;Structure;
invoiceit;Proprietary;Yes;No;No;Low to mid-market;Small business accounting, single entry, accounts receivable, accounts payable, contact management system, inventory management, purchasing, quotations, invoices, scheduler, marketing;Stand-alone;
Microsoft Dynamics AX;Proprietary;Yes;No;No;Midsize to high-end enterprises;ERP, CRM, intercompany, multicurrency, manufacturing, SCM, e-commerce, business intelligence;Multi-User/Location, Terminal Server;
Microsoft Dynamics C5;Proprietary;Yes;No;No;Small Business;Multicurrency, Fixed Assets, Double-entry bookkeeping system, General Ledger, Accounts Receivable, Accounts Payable, Reporting & Analysis Services;Multi-User, Remote Access, Web Access, Mobile Access, Cloud Hostable;
Microsoft Dynamics GP;Proprietary;Yes;No;No;Small & mid-size enterprises (SME);ERP, SCM, manufacturing, Cost Accounting, Double-entry bookkeeping system, project accounting, Payroll, general ledger, Analytic, accounts receivable, accounts payable;Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable;
Microsoft Dynamics NAV;Proprietary;Yes;No;No;Small & Midsize Enterprises (SME);ERP, CRM, Intercompany, Multicurrency, SCM, Manufacturing, Cost Accounting, Double-entry bookkeeping system, Project Accounting, Payroll, general ledger, Accounts Receivable, Accounts Payable, Reporting & Analysis Services;Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable;
Microsoft Dynamics SL;Proprietary;Yes;No;No;Small & midsize enterprises (SME);Project Management, Project Accounting, Reporting & Analysis Services;Multi-User/Location, Terminal Server, Web Access;
Microsoft Office Accounting;Proprietary and freeware;Yes;No;No;Low-end market;Product is Discontinued;Stand-alone;
MYOB AccountRight;Proprietary;Yes;Yes;No;Low- to high-end market;Small business and commercial accounting. Payroll and POS;Stand-alone;
MYOB EXO Business;Proprietary;Yes;No;No;Mid- to high-end market;Larger, more complex businesses. Fully customised ERP with Accounting/General ledger, CRM, Job & Project Costing, POS, Asset Management and Intercompany Reporting. Integrated Payroll & HR available through MYOB EXO Employer Services;Stand-alone, multi-user/location, terminal server, remote access;
NetSuite;Software as a Service;Yes;Yes;Yes;Mid-market;CRM, ERP, E-commerce;Web-based;
NewViews;Proprietary;Yes;No;No;Low to mid-market;Real-time, E-commerce, Integrated, Multi-user, Payroll (Canada, USA), general ledger, AR, AP, Multi-Currency, Small Business Accounting, Inventory Control, Order Entry, Job Costing, Non-profit Housing Edition, Work Orders, Attachments (Scans);Stand-alone and/or Web Access, Cloud Hostable;
NolaPro;Software as a Service and freeware;Yes;Yes;Yes;Low- to high-end market;;
Open Systems Accounting Software;Proprietary;Yes;Yes;Yes;Low to mid-market;ERP, SCM, E-commerce, Reporting & Business Intelligence;Stand-alone;
Oracle E-Business Suite;Proprietary;Yes;Yes;Yes;High-end market;ERP;Web-based;
Oracle Fusion Cloud ERP;Proprietary;Yes;Yes;Yes;High-end market;ERP, Financial Management, Supply Chain Management, Human Capital Management, Enterprise Performance Management;Web-based;
Oracle PeopleSoft Enterprise;Proprietary;Yes;Yes;Yes;High-end market;ERP, Financial Management, Supply Chain Management, Human Capital Management, Customer Relationship Management, Enterprise Performance Management;Web-based;
Outright;Software as a service and freeware;Yes;Yes;Yes;Entrepreneurs, freelancers, Contractors, Consultants, Small businesses - Low-end market;Bookkeeping, Taxes, E-commerce, Reporting & Business Intelligence;Web-based;
Passport Software;Proprietary;Yes;No;Yes;Mid- to low-end market;General ledger, accounts receivable, Accounts payable, ERP;Stand-alone;
POS solutions;Proprietary;Yes;No;No;Newsagency pharmacy;POS;Stand-alone;
QuickBooks Enterprise Solutions;Proprietary;Yes;Yes;No;Mid-market;Business management, Payroll;Stand-alone;
QuickBooks Online;Proprietary;Yes;Yes;Yes;Low-end market;Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management;Web-based;
QuickBooks Pro/Premier;Proprietary;Yes;Yes;No;Low to mid-market;Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management, fixed asset depreciation;Stand-alone;
Red Wing Software;Proprietary;Yes;No;No;Low to mid-market;Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, fund accounting, inventory management, procurement, order entry/tracking, small business accounting;Stand-alone;
Sage Group;Proprietary;Yes;No;No;Accounting Firms;CRM, payroll;Stand-alone;
Sage 50 Accounting;Proprietary;Yes;No;No;Low-end to High end;Business management.;Stand-alone;
Sage 300 ERP;Proprietary;Yes;Yes;Yes;Mid-market;ERP, Multicurrency, Intercompany, Reporting & Analysis services, Project & Job costing, general ledger, accounts receivable, accounts payable, Inventory control;Stand-alone and Web-based;
Sage Line 50;Proprietary;Yes;No;No;Low-market (for SME);?;Stand-alone;
Sage Pastel Evolution;Proprietary;Yes;No;No;Small, medium to mid-size enterprises (SME);Financials, Inventory, Manufacturing, Job Costing, POS, Procurement, CRM, Business Intelligence, Payroll, HR;Stand-alone;
Sage PFW ERP;Proprietary;Yes;No;Yes;Mid-market;ERP, Process manufacturing;Stand-alone;
SAP Business ByDesign;Proprietary;Yes;Yes;Yes;Small & midsize enterprises (SME);ERP, e-commerce;Web-based;
SAP Business One;Proprietary;Yes;No;Yes (Server only)[6];Small & midsize enterprises (SME);ERP, e-commerce;Stand-alone;
SAP ERP;Proprietary;Yes;Yes;Yes;Midsize to High-end;ERP, CRM, SCM, SRM, PLM, Global Trade Services (GTS), e-commerce, Business Intelligence, Mobile Business;Stand-alone and Web-based;
Simply Accounting;Proprietary;Yes;No;Yes;Low-end;Business Accounting, Retail, Inventory Control;Stand-alone;
Softline Pastel;Proprietary and Software as a service;Yes;Yes;No;Low-end to high-end markets;Accounting, ERP, CRM, financials, business intelligence, POS, small business accounting, mid-sized enterprise accounting, large enterprise accounting, payroll, HR;Stand-alone;
Sybiz Vision;Proprietary and Software as a service;Yes;Yes;Yes;Low- to high-end market;Accounting software, payroll, manufacturing, project management, job costing, multi-currency, inventory management, traceability and auditing, business intelligence, budgeting, reporting and analytics;Stand-alone, Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable;
Tally Solutions;Proprietary and Software as a service;Yes;Yes;Yes;Low to high-end market;Accounting software, payroll, manufacturing, traceability and auditing, budgeting, reporting and analytics;Stand-alone, Multi-User/Location, Web Access, Mobile Access;
TRAVERSE;Proprietary;Yes;No;No;Low to mid-market;ERP, CRM, SCM, Intercompany, Multicurrency, Manufacturing, Distribution, E-commerce, Mobile Business Solutions, Reporting & Business Intelligence;Stand-alone;
Wave Accounting;Proprietary;Yes;Yes;Yes;Entrepreneurs, freelancers, contractors, consultants, small businesses – Low-end market);Accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting, Multi-currency, automatic bank feeds, small business reporting, payroll integration;Web-based;
Xero;Software as a Service;Yes;Yes;Yes;Low to mid-market. Small & midsize enterprises (SME);Accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting, Multi-currency, automatic bank feeds, standard business reporting, management reporting, fixed asset depreciation, payroll, inventory items, expenses management;Web-based;
ZipBooks;Proprietary;Yes;Yes;Yes;Low to mid-market;Invoicing, expense tracking, time tracking, credit card processing, bank integration;Web-based;
Package;License;Windows;OS X;Linux;Market focus;Type;Structure;
