Software;Web-based;Hosted On-Premises;SaaS;License;Programming language;
Helix ALM;Yes;Yes;Yes;Proprietary;C++;
HeySpace;Yes;No;Yes;Proprietary;JavaScript;
HP Project & Portfolio Software;Yes;Yes;Proprietary;;
Huddle;Yes;Unknown;Unknown;Proprietary;;
Hyperoffice;Yes;Unknown;Unknown;Proprietary;;
iManageProject;Yes;Unknown;Yes;Unknown;;
InLoox;Yes;Yes;Yes;Proprietary;;
in-Step BLUE;Yes;Yes;No;Proprietary;;
IRise;Yes;Yes;Yes;Proprietary;Java;
Jira;Yes;Yes;Yes;Proprietary;Java;
Launchpad;Yes;No;Yes;AGPL;Python;
LibrePlan;Yes;Yes;Yes;AGPL;Java;
LiquidPlanner;Yes;No;Yes;Proprietary;Ruby;
LisaProject;No;Unknown;Unknown;Proprietary;;
MacProject;No;Unknown;Unknown;Proprietary;;
MantisBT;Yes;Yes;No;GPL;PHP;
Métier;Yes;Yes;Yes;Proprietary;;
Microsoft Dynamics AX;No;Yes;No;Proprietary;X++;
Microsoft Office Project Server;Yes;Yes;Yes;Proprietary;;
Microsoft Project;Yes;Yes;Yes;Proprietary;;
Microsoft SharePoint Server;Yes;Yes;Yes;Proprietary;;
Microsoft Team Foundation Server;Yes;Yes;Yes;Proprietary;;
Milestones Professional;No;Yes;No;Proprietary;C++;
Mingle;Yes;Yes;Yes;Proprietary;Ruby on Rails;
NetPoint;No;Unknown;Unknown;Proprietary;;
NetSuite;Yes;Unknown;Yes;Unknown;;
MyWorkPLAN;No;Unknown;Unknown;Proprietary;;
O3Spaces;No;Unknown;Unknown;Proprietary;;
OmniPlan;No;Yes;No;Proprietary;;
Onepager pro;No;Yes;No;Proprietary;ASP.NET;
Open Workbench;No;Unknown;Unknown;Open source;;
OpenProj;No;Unknown;Yes;CPAL;Java;
OpenProject;Yes;Yes;Yes;GPL;Ruby on Rails and AngularJS;
OnlyOffice;Yes;Yes;Yes;GPL;ASP.NET;
Oracle Primavera EPPM (Primavera P6);Yes;Yes;Yes;Proprietary;;
phpGroupWare;Yes;Unknown;Unknown;GPL;PHP;
PHProjekt;Yes;Unknown;Unknown;LGPL;PHP;
Pivotal Tracker;Yes;No;Yes;Unknown;Ruby;
Plandora;Yes;Yes;Unknown;LGPL;Java;
Planisware;Yes;Yes;Yes;Proprietary;;
PLANTA Project;Yes;Yes;No;Proprietary;;
Project Builder;Yes;Yes;Yes;Proprietary;;
Project KickStart;No;Yes;Unknown;Proprietary;;
Project Team Builder;Yes;Yes;Yes;Proprietary;;
Projector PSA;Yes;Yes;Yes;Proprietary;;
ProjectLibre;No (Cloud based version under development)[10];Yes;No (Included in future plans)[11];CPAL;Java;
ProjectManager.com;Yes[12];No;Yes;Proprietary;;
Project.net;Yes;Yes;Yes;GPL;Java;
Projectplace;Yes;No;Yes;Proprietary;;
Projektron BCS;Yes;Yes;Yes;Proprietary;Java;
ProjeQtOr;Yes;Yes;Yes;AGPL;PHP;
Proliance;Yes;Yes;Yes;Proprietary;;
ProjectLink;Yes;Yes;Yes;Proprietary;;
Prolog;Yes;Yes;Yes;Proprietary;;
Priority Matrix;Yes;No;Yes;Proprietary;
Pyrus;Yes;Yes;Yes;Proprietary;;
RationalPlan;Yes;Yes;Yes;Proprietary;;
Realisor;No;Yes;No;Proprietary;;
Redbooth;Yes[13];Yes;Yes[13];AGPL;[14] Proprietary (version 4);Ruby on Rails;
Redmine;Yes;Yes;Yes [15][16][17];GPL;Ruby;
Rillsoft Project & Integration Server;Yes;Yes;Yes;Proprietary;C++ and PHP;
RiskyProject;Yes;Yes;Yes;Proprietary;;
SAP Business ByDesign;Yes;Unknown;Yes;Proprietary;;
Sciforma;Yes;Yes;Yes;Proprietary;;
Scoro;Yes;No;Yes;Proprietary;PHP[18];
Seavus Project Viewer (software);Yes;Yes;Yes;Proprietary;C++;
Severa;Yes;Unknown;Yes;Unknown;;
Smartsheet;Yes;Unknown;Yes;Proprietary;PHP;
Spider Project;No;No;No;Proprietary;
Streamtime Software;Yes;No;Yes;Proprietary;PHP;
TACTIC;Yes;Yes;Yes;Eclipse Public License;Python;
Talygen;Yes;No;Yes;Proprietary;ASP.NET;
TaskJuggler;No;Yes;No;GPL;Ruby;
Teamcenter;Yes;Yes;Yes;Proprietary;;
TeamDynamixHE;Yes;Yes;Yes;Proprietary;;
Teamwork.com;Yes;No;Yes;Proprietary;;
The Bug Genie;Yes;Yes;Yes;Mozilla Public License;PHP;
Tom's Planner;Yes;Unknown;Unknown;Proprietary;;
Trac;Yes;Yes;Yes;(modified) BSD license;Python;
TrackerSuite.Net;Yes;Yes;Yes;Proprietary;;
Traction TeamPage;Yes;Yes;Yes;Proprietary;Java;
Trello;Yes;No;Yes;Proprietary;JavaScript;
Triskell;Yes;No;Yes;Proprietary;Java;
Tuleap;Yes;Yes;Yes;GPL;;
Twproject;Yes;Yes;Yes;Proprietary;;
UniPhi;Yes;Yes;Yes;Proprietary;ASP.NET;
Vpmi;Yes;Unknown;Unknown;Proprietary;;
web2project;Yes;Unknown;Unknown;GPL;PHP;
Workamajig;Yes;Yes;Yes;Proprietary;;
Workfront;Yes[19];No;Yes;Proprietary;;
WorkPLAN Enterprise;No;Unknown;Unknown;Proprietary;;
workspace.com;Yes;Unknown;Yes;Proprietary;;
Wrike;Yes;Unknown;Yes;Proprietary;
Zoho Projects;Yes;No;Yes;Proprietary;PHP;
