Meaning;Portuguese < French;Spanish;
buffet;bufete, bufê, buffet < buffet;mostrador de comidas, buffet < Lat. monstr?tor + prefix 'com'+edere;
earbuds, cotton buds;cotonetes < cotonnettes;bastoncillos (de algodón) < Lat. bastum + suffix illo;
scarf (ladies);echarpe, écharpe < écharpe;bufanda < Probably Old Fr. bouffante;
éclair (pastry);éclair, ecler < éclair;pastelillo de crema < Lat. pastellus + suffix illo;
badge;crachá < crachat;distintivo < Lat. distinctus + suffix 'ivo';
quay, wharf;cais < quai;muelle < Lat. mollis;
hat;chapéu < chapeau;sombrero < sombra 'shade';
pushpin, thumbtack;pionés, pionese < punaise;chincheta < Lat. cimex + suffix eta;
advert board, placard;placar, placard < placard;cartel < Lat. charta;
gypsy, roma/romani, traveller;cigano < Old French cigain < Rus ????? (tsigan);gitano < Lat. aegyptano;
dodgy, crappy;reles, ralé < relais;chungo(a) < Caló < Romani tung;
cliff;falésia < falaise;acantilado < Lat. cantus + Sp. suffix 'ado';
creche;creche < crèche;guardería (infantil) < Germanic wardon;
croquette, quenelle;croquete < croquette;albóndiga < Hisp. Ar. albúnduqa < Arabic ????? (bunduqah) (Sp. also has croqueta);
crunchy, crisp;crocante < croquant;crujiente < probably Lat. crusc?re;
crochet;crochê, croché < crochet;ganchillo < gancho (probably pre-Roman);
courgette, zucchini;courgette, curgete < courgette;calabacín < Persian kharbuz;
cutlery;couverts < couverts (de table);cubiertos < Lat. coopertus;
takeoff (aviation);decolagem, descolagem < décollage;despegue < Lat. des + picare;
panelling (architecture/building);lambri, lambril, lambrim < lambris;zócalo(s) < Lat. socculus;
tip (money);gorjeta < gorge + suffix 'eta';propina < Lat. propin?re < Gre. propinein;
screen;ecrã, écran < écran;pantalla < Catalan ventall(a) or Fr. ventaille;
package, packing;embalagem < emballage;envase < Lat. vasum;
envelope;envelope < enveloppe;sobre < sobre (Spanish preposition);
crook, swindler;escroque < escroc;estafador < estafar < Ital. staffare;
puppet, marionette;marionete < marionette;títere < onomatopoeic;
ravine;ravina < ravine;barranco, arroyo < Pre-Roman barruanjo, arrugia;
grill, rotisserie;rotisseria < rôtisserie;assador < Lat + suffix assus;
rouge, blush;rouge, ruge < rouge;colorete < Lat. coloris + suffix 'ete';
rubber boot, Wellington boot;galocha < galoche;katiuska < Russ. ??????? (woman's name);
souvenir;souvenir < souvenir;recuerdo < Lat. re + cordis;
strike (work stoppage);greve < grève;huelga < holgar < Late Lat. f?llic?re;
turmoil;turbilhão < tourbillon;vorágine, torbellino < Lat. vor?g?nis, turbo?nis;
vernissage;vernissage, vernissagem < vernissage;inauguración < Lat. inaugurare;
voyeur;voyeur < voyeur;mirón < Lat. mirari;
nightclub, club;boate, boîte < boîte;club de noche, nightclub < Eng. club + Sp. de noche, < Eng. nightclub;
box office, ticket window;guichê < guichet;taquilla < Arabic ??qa;
wheel rim;jante < jante;aro < Lat. arum < Greek ????;
newspaper;jornal < journal;periódico < período < Lat. periodus< Anc.Gr. ????????;
madam;madame < madame;señora < Lat. seni?rem;
menu;menu < menu;lista < Lat. listam (Sp. also has 'menú');
à la carte;à la carte < à la carte;a la carta < Sp. + Lat. charta;
leave things until the last minute;à la dernière < à la dernière (minute);dejar todo para el final < Lat.;
blueberry;mirtilo < myrtille;arándano < Celt. aran + < Lat. rodand?rum, (Port. arando means 'cranberry');
Afternoon show;matinée, matiné < matinée;función de tarde < Lat. functio + tardus;
omelette;omelete < omelette;tortilla < Lat.+ diminutive torta + illa;
beef tenderloin;filé mignon < filet mignon;solomillo de ternero < Lat.+ diminutive so + limbus + illo + tenerum;
grill;grelha < grille;parrilla < Uncertain origin parra + illa;
slippers;pantufas < pantoufles;zapatillas de casa < Arabic ???? (sabbat) + Sp. suffix illa;
underpants;trusse, trusses < trousse;calzoncillo < Lat. calceus + Sp. suffix illo;
New Year's Eve;réveillon < réveillon;(fiesta de) nochevieja < Lat. noctem + vetulus;
survey, poll, probe;sondagem < sondage;sondeo < Lat. subundare;
upstream/downstream, upwards/downwards, (tide, waterway, financial markets/economic trends, chain-production, etc.);montante/jusante < montant/jusant;(aguas)abajo / (aguas) arriba < Lat. + prefix a + bassus / ad + ripam;
to scold, to nag;ralhar < railler < Old Occitan ralhar;reñir, regañar < Lat. ringere;
train;comboio < convoi;tren < Fr. train Brazilian Portuguese uses trem < train;
tureen, terrine;terrina, terrine < terrine;sopera < Ger + Sp. suppa + era;
toilet;toalete < toilette;servicios, aseos < Lat. servit?um, assedi?re, (etc.);
tour;tournée, turné, turnê < tournée;gira < Lat. gyrus;
screening;triagem < triage;selección < Lat. selecti?nem;
vehicle;viatura < voiture;vehículo < Lat. vehiculum;
