Rank;Nation;GDP {{small|(in millions $USD)}};
78;{{flag|Costa Rica}};52,898;
79;{{flag|Panama}};52,132;
80;{{flag|Lebanon}};51,168;
81;{{flag|Bulgaria}};48,957;
82;{{flag|Croatia}};48,850;
;{{flag|Macao}};46,178;
83;{{flag|Tanzania}};44,904;
84;{{flag|Tunisia}};43,581;
85;{{flag|Slovenia}};42,768;
86;{{flag|Lithuania}};41,267;
87;{{flag|Democratic Republic of the Congo}};38,873;
88;{{flag|Libya}};38,300;
89;{{flag|Jordan}};37,620;
90;{{flag|Yemen}};36,852;
91;{{flag|Serbia}};36,513;
92;{{flag|Ghana}};36,039;
93;{{flag|Turkmenistan}};35,680;
94;{{flag|Bolivia}};33,210;
95;{{flag|Côte d'Ivoire}};31,172;
96;{{flag|Bahrain}};30,411;
97;{{flag|Cameroon}};28,478;
98;{{flag|Paraguay}};28,077;
99;{{flag|Latvia}};27,048;
100;{{flag|El Salvador}};25,766;
101;{{flag|Uganda}};24,740;
102;{{flag|Trinidad and Tobago}};24,553;
103;{{flag|Estonia}};22,704;
104;{{flag|Zambia}};21,889;
105;{{flag|Nepal}};21,356;
106;{{flag|Honduras}};20,295;
107;{{flag|Cyprus}};19,330;
108;{{flag|Afghanistan}};19,204;
109;{{flag|Cambodia}};18,155;
110;{{flag|Iceland}};16,718;
111;{{flag|Papua New Guinea}};16,090;
112;{{flag|Bosnia and Herzegovina}};15,794;
113;{{flag|Mozambique}};14,965;
114;{{flag|Gabon}};14,350;
115;{{flag|Zimbabwe}};14,269;
116;{{flag|Georgia}};14,007;
117;{{flag|Jamaica}};13,924;
118;{{flag|Senegal}};13,665;
119;{{flag|Mali}};13,066;
120;{{flag|Botswana}};12,860;
121;{{flag|Namibia}};12,832;
122;{{flag|Laos}};12,503;
123;{{flag|Nicaragua}};12,222;
124;{{flag|Brunei Darussalam}};11,786;
125;{{flag|Mongolia}};11,735;
126;{{flag|Mauritius}};11,608;
127;{{flag|Albania}};11,543;
128;{{flag|Burkina Faso}};11,009;
129;{{flag|Chad}};10,894;
130;{{flag|Armenia}};10,571;
131;{{flag|Macedonia}};9,922;
132;{{flag|Malta}};9,801;
133;{{flag|Madagascar}};9,737;
134;{{flag|Equatorial Guinea}};9,403;
135;{{flag|Republic of Congo}};8,878;
136;{{flag|Bahamas}};8,705;
137;{{flag|Haiti}};8,618;
138;{{flag|Benin}};8,471;
139;{{flag|Rwanda}};8,267;
140;{{flag|Tajikistan}};7,816;
141;{{flag|Niger}};7,151;
142;{{flag|Guinea}};6,696;
143;{{flag|Kyrgyz Republic}};6,650;
144;{{flag|Malawi}};6,416;
145;{{flag|Moldova}};6,414;
146;{{flag|Kosovo}};6,355;
147;{{flag|Suriname}};5,192;
148;{{flag|Fiji}};4,782;
149;{{flag|Mauritania}};4,752;
150;{{flag|Eritrea}};4,666;
151;{{flag|Barbados}};4,412;
152;{{flag|Sierra Leone}};4,167;
153;{{flag|Togo}};4,165;
154;{{flag|Montenegro}};4,039;
155;{{flag|Swaziland}};4,028;
156;{{flag|Guyana}};3,164;
157;{{flag|Maldives}};3,130;
158;{{flag|Burundi}};2,881;
159;{{flag|South Sudan}};2,627;
160;{{flag|Timor-Leste}};2,620;
161;{{flag|Bhutan}};2,214;
162;{{flag|Liberia}};2,035;
163;{{flag|Lesotho}};2,032;
164;{{flag|Belize}};1,763;
165;{{flag|Djibouti}};1,727;
166;{{flag|Central African Republic}};1,605;
167;{{flag|Cabo Verde}};1,595;
168;{{flag|San Marino}};1,566;
169;{{flag|St. Lucia}};1,416;
170;{{flag|Seychelles}};1,375;
171;{{flag|Antigua and Barbuda}};1,287;
172;{{flag|Solomon Islands}};1,147;
173;{{flag|Guinea-Bissau}};1,057;
174;{{flag|Grenada}};954;
175;{{flag|St. Kitts and Nevis}};896;
176;{{flag|The Gambia}};893;
177;{{flag|Samoa}};838;
178;{{flag|Vanuatu}};765;
179;{{flag|St. Vincent and the Grenadines}};757;
180;{{flag|Comoros}};589;
181;{{flag|Dominica}};497;
182;{{flag|Tonga}};414;
183;{{flag|São Tomé and Príncipe}};318;
184;{{flag|Micronesia}};318;
185;{{flag|Palau}};287;
186;{{flag|Marshall Islands}};183;
187;{{flag|Kiribati}};162;
188;{{flag|Tuvalu}};33;
