Family;Country;{{abbr|Manufac.|manufacturer}};Payload (kg);Cost (US$, millions);Launches reaching…;Status;Date of flight;Refs;Notes;
LEO;GTO;TLI;Total;Space;Any orbit;Target orbit;First;Last;
Falcon 9 v1.0, v1.1, FT, B5;{{flag|USA}};SpaceX;{{nts|22800}};{{nts|8300}};;{{nts|61.2}};{{nts|57}};{{nts|56}};{{nts|56}};{{nts|56}};Active;2010;;[50][51];upgrade to version 1.1 in 2013; upgrade to version FT in 2015 Launcher of Dragon capsule * notes: One flight put primary but not secondary payload into correct orbit,[52] one rocket and payload were destroyed before launch in preparation for static fire[53] and thus is not counted. Falcon 9 Block 5 first launched 11th May 2018 with Bangabandhu 1, the first fully sized Bangladesh satellite.;
Falcon Heavy;{{flag|USA}};SpaceX;{{nts|63800}};{{nts|26700}};;{{nts|90}}-150;{{nts|1}};{{nts|1}};{{nts|1}};;Active;2018;;[54][55][56];First test launch 2018-02-06;
GSLV Mk.I;{{flag|India}};ISRO;{{nts|5000}};{{nts|2500}};;;{{nts|6}};{{nts|4}};{{nts|2}};{{nts|2}};Retired;2001;2010;[57][58][59];;
GSLV Mk.II;{{flag|India}};ISRO;{{nts|5000}};{{nts|2700}};;;{{nts|6}};{{nts|5}};{{nts|5}};{{nts|5}};Active;2010;;[57][60][59];;
GSLV Mk.III (LVM3);{{flag|India}};ISRO;{{nts|10000}};{{nts|4000}};;;{{nts|2}};{{nts|2}};{{nts|2}};{{nts|2}};Active;2014;;[61][62];;
H-I;{{flag|Japan}};Mitsubishi;{{nts|3200}};;;;{{nts|9}};{{nts|9}};;;Retired;1986;1992;[63];license-built version of the Thor-ELT;
H-II, IIA & IIB;{{flag|Japan}};Mitsubishi;{{nts|19000}};{{nts|8000}};;{{nts|112|prefix=(190), 90, }};{{nts|28}};{{nts|26}};;;Active;1994;;[64];Var:. A202,A2022,A2024,A204,B;
Haas;{{flag|Romania}};ARCA;{{nts|400}};;;;{{nts|0}};;;;Devel.;2018;;[65][66];Launch from balloon;
J-I;{{flag|Japan}};IHI Corporation Nissan Motors;{{nts|880}};;;;{{nts|1}};;;;Retired;1996;1996;{{citation needed|date=March 2013}};Partial demo flight only;
R-12 & R-14 Kosmos;{{flag|USSR}};Yuzhnoye Polyot;{{nts|1500}};;;{{nts|12}};{{nts|610}};;;{{nts|559}};Retired;1967;2010;[13][67][68];Var: 1, 2, 3, 3M;
Kaituozhe;{{flag|China}};CALT;{{nts|}};;;;{{nts|3}};{{nts|}};{{nts|}};{{nts|0}};Active;2002;;{{citation needed|date=March 2013}};Var: 1, 2;
Lambda 4S;{{flag|Japan}};Nissan ISAS;{{nts|}};;;;{{nts|5}};{{nts|}};{{nts|}};{{nts|1}};Retired;1966;1970;{{citation needed|date=March 2013}};;
Long March 1;{{flag|China}};CALT;{{nts|740}};{{nts|440}};;;{{nts|6}};;;;Retired;1970;2002;[69][70][71];Var: 1, 1D;
DF-5 Long March 2-3-4;{{flag|China}};CALT;{{nts|12000}};{{nts|5500}};{{nts|3300}};;{{nts|167}};{{nts|158}};;;Active;1971;;[72];Var: 2A,2C,2D,2E,3,3A,3B,3C,4,4B Launcher of Shenzhou;
Long March 5;{{flag|China}};CALT;{{nts|25000}};{{nts|14000}};{{nts|8000}};;{{nts|2}};{{nts|2}};{{nts|1}};{{nts|1}};Active;2016;;[73][74];Var: 5, 5B;
Long March 6;{{flag|China}};CALT;{{nts|1500}};;;;{{nts|1}};{{nts|1}};{{nts|1}};{{nts|1}};Active;2015;;[75];;
Long March 7;{{flag|China}};CALT;{{nts|20000}};;;;{{nts|1}};{{nts|1}};{{nts|1}};{{nts|1}};Active;2016;;[76];;
Minotaur I;{{flag|USA}};Orbital ATK;{{nts|580}};;;;{{nts|11}};{{nts|11}};{{nts|11}};{{nts|11}};Active;2000;;[77][78];Derived from the Minuteman II;
Minotaur IV & V;{{flag|USA}};Orbital ATK;{{nts|1735}};{{nts|640}};{{nts|447}};{{nts|50}};{{nts|4}};{{nts|4}};{{nts|4}};{{nts|4}};Active;2010;;[77][79];Also 2 suborbital launches (HTV-2a). Variants: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile;
Mu 1-3-4;{{flag|Japan}};Nissan Motor IHI;{{nts|770}};;;;{{nts|27}};;;;Retired;1966;1995;[80];Var: 1, 3D, 4S, 3C, 3H, 3S, 3SII;
Mu 5;{{flag|Japan}};Nissan Motor IHI;{{nts|1800}};;;;{{nts|7}};{{nts|}};{{nts|}};{{nts|6}};Retired;1997;2006;{{citation needed|date=January 2014}};Var: M-V, M-V KM;
N1;{{flag|USSR}};NPO Energia;{{nts|90000}};;{{nts|23500}};;{{nts|4}};{{nts|0}};{{nts|0}};{{nts|0}};Retired;1969;1972;[81];Designed for Soviet Manned Lunar Mission;
N-I & II;{{flag|Japan}};Mitsubishi;{{nts|2000}};{{nts|730}};;;{{nts|15}};;;;Retired;1975;1987;[82];Derived from the American Delta rocket;
Naro;{{flag|South Korea}};Khrunichev KARI;{{nts|100}};;;;{{nts|3}};{{nts|2}};{{nts|1}};{{nts|1}};Retired;2009;2013;[83];First stage uses the Russian RD-151 engine;
Pegasus;{{flag|USA}};Orbital ATK;{{nts|450}};;;;{{nts|43}};{{nts|42}};{{nts|41}};{{nts|38}};Active;1990;;[84];;
UR-500 Proton;{{flag|USSR}} {{flag|Russia}};Khrunichev;{{nts|23000}};{{nts|6920}};{{nts|5680}};{{nts|65}} (Proton-M);{{nts|399}};;{{nts|353}};;Active;1965;;[85][86][87];Var: K, M. Medium in development.;
PSLV;{{flag|India}};ISRO;{{nts|3800}};{{nts|1300}};;;{{nts|40}};{{nts|40}};{{nts|39}};{{nts|38}};Active;1993;;[88][89];Var: CA, XL, HP, 3S Launched moon probe Chandrayaan I, Mars probe Mangalyaan I;
UR-100N Rokot Strela;{{flag|Russia}};Eurockot Khrunichev;{{nts|2100}};;;;{{nts|25}};{{nts|23}};{{nts|23}};;Active;1994;;[90][91][92][93];23 launches of Rokot; 2 launches of Strela;
Rus-M;{{flag|Russia}};NPO Energia;;;;;{{nts|0}};;;;Devel.;;;;;
Safir;{{flag|Iran}};ISA;{{nts|50}};;;;{{nts|7}};{{nts|5}};{{nts|4}};{{nts|4}};Active;2007;;[94];;
Saturn I & IB;{{flag|USA}};Chrysler Douglas;{{nts|18600}};;;{{nts|19}};{{nts|13}};{{nts|13}};{{nts|13}};{{nts|13}};Retired;1961;1975;[95][96];Saturn 1 family also included 6 suborbital test launches;
Saturn V;{{flag|USA}};Boeing North American Douglas;{{nts|118000}};;{{nts|47000}};{{nts|185}};{{nts|13}};{{nts|13}};{{nts|13}};;Retired;1967;1973;[95][97][98];Var: Apollo, Skylab;
Scout;{{flag|USA}};US Air Force NASA;{{nts|210}};;;;{{nts|125}};{{nts|104}};;;Retired;1960;1994;[99];Var: X1, X2, A, D, G;
Shavit;{{flag|Israel}};IAI;{{nts|225}};;;{{nts|15}};{{nts|10}};{{nts|8}};{{nts|8}};{{nts|8}};Active;1988;;[100];Var: Shavit, -1, -2;
R-29 Shtil Volna;{{flag|Russia}};Makeyev;{{nts|430}};;;;{{nts|8}};;;;Retired;1995;2006;[101];Var: Volna, Shtil, 2.1, 2R, 3;
R-7 Semyorka Soyuz;{{flag|USSR}} {{flag|Russia}};RSC Energia TsSKB-Progress;{{nts|8200}};{{nts|2400}};{{nts|1200}};;{{nts|1854}};;;;Active;1957;;[102] [103];Var: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v;
Simorgh;{{flag|Iran}};ISA;{{nts|350}};;;;{{nts|2}};{{nts|0}};{{nts|0}};{{nts|0}};Active;2016;;[104];;
SLS;{{flag|USA}};Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne;{{nts|70000}} to 130,000;;;;{{nts|0}};;;;Devel.;2020;;[105][106];Expected 2020;
SLV;{{flag|India}};ISRO;{{nts|40}};;;;{{nts|4}};{{nts|3}};{{nts|3}};{{nts|2}};Retired;1979;1983;[107];Launched Rohini satellite series;
SS-520;{{flag|Japan}};IHI Aerospace;{{nts|4}};;;;{{nts|4}};{{nts|3}};{{nts|1}};{{nts|1}};;2017;;[108];Two successful suborbital flights, one failed and one successful attempt to reach orbit. A test how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes.;
STS Space Shuttle;{{flag|USA}};Alliant Martin Marietta Rockwell;{{nts|24400}};{{nts|3810}};;{{nts|450}};{{nts|135}};{{nts|134}};{{nts|134}};{{nts|133}};Retired;1981;2011;[109];Orbiter mass: 68585 kg.;
RT-2PM Start-1;{{flag|Russia}};MITT;{{nts|532}};;;;{{nts|7}};{{nts|6}};;;Active;1993;;[110];;
Taurus / Minotaur-C;{{flag|USA}};Orbital Sciences;{{nts|1450}};;;;{{nts|9}};{{nts|9}};{{nts|6}};{{nts|6}};Active;1989;;[111];Var:2110, 3110, 3210;
Thor;{{flag|USA}};Douglas;{{nts|1270}};;{{nts|38}};;{{nts|357}};;;;Retired;1957;1980;[35];Launched Pioneer & Explorer probes;
LGM-25C Titan I-II-III-IV;{{flag|USA}};Martin Marietta;{{nts|21900}};{{nts|5773}};{{nts|8600}};{{nts|350}};{{nts|369}};;;;Retired;1959;2005;[112][113];Var: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVB Gemini launcher;
R-36 Tsyklon;{{flag|USSR}} {{flag|Ukraine}};Yuzhmash;{{nts|4100}};;;;{{nts|259}};;;;Retired;1967;2009;[114];Var: 1, 2, 3.;
Unified Launch Vehicle;{{flag|India}};ISRO;{{nts|15000}};{{nts|6200}};;;{{nts|0}};;;;Devel.;;;[115];Var: 6S12, 2S60, 2S138, 2S200;
Unha-3;{{flag|North Korea}};KCST;{{nts|200}};;;;{{nts|4}};{{nts|3}};{{nts|2}};?;Active;2006;;[116][117];Variants: Paektusan based on Taepodong-1 missile; Unha based on Taepodong-2 missile.;
Vanguard;{{flag|USA}};Martin;{{nts|23}};;;;{{nts|12}};;{{nts|3}};;Retired;1957;1959;[118];;
Vega;{{flag|Europe}};Avio;{{nts|2300}};;;{{nts|23}};{{nts|13}};{{nts|13}};{{nts|13}};{{nts|13}};Active;2012;;[119];Vega-C and Vega-E in development.;
VLM;{{flag|Brazil}};CTA;{{nts|380}};;;;;;;;Devel.;2019;;[120];;
Vulcan;{{flag|USA}};ULA;17,800 to 34,900;7,400 to 16,300;;{{nts|99}};{{nts|0}};;;;Devel.;2021;;[121][122][123][124];;
Zenit;{{flag|USSR}} {{flag|Ukraine}} {{flag|Russia}};Yuzhnoye;{{nts|13740}};{{nts|6160}};{{nts|4098}};;{{nts|82}};;{{nts|71}};{{nts|69}};Active;1985;;[125];Var: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF;
