Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s){{efn|name=VSL|Default for vacuum, SL for sea level}};Thrust (N){{efn|name=VSL}};Mass (kg);Thrust/ weight ratio{{efn|Computed as Thrust\ (\mathrm{N})} \over {Mass\ (\mathrm{kg}) \times Gravity\ (\mathrm{m/s^2})}};Chamber pressure (bar);Oxidiser to Fuel Ratio;
LE-7;{{JPN}};Mitsubishi NASDA;H-II;1st;LH2?/?LOX;{{nts|446}}[22];{{nts|1,078,000}} {{nts|843,500}} (SL);{{nts|1,714}};{{nts|64.13}};{{nts|127}};5.9;
LE-7A;{{JPN}};Mitsubishi JAXA;H-IIA H-IIB;1st;LH2?/?LOX;{{nts|438}}[23] {{nts|338}} (SL)[23];{{nts|1,098,000}};{{nts|1,800}};{{nts|62.2}};{{nts|121}};5.9;
Lightning 1[24];{{Flag|USA}};Firefly Aerospace;Alpha;2nd;RP-1?/?LOX;{{nts|322}};{{nts|70,100}};;;;;
Merlin 1C;{{Flag|USA}};SpaceX;{{plainlist| Falcon 1 Falcon 9 }};1st,2nd;RP-1?/?LOX;{{nts|304}}[25] {{nts|266}} (SL)[26];{{nts|480,408}}[25] {{nts|422,581}} (SL)[25];{{nts|630}};{{nts|92}}[25];{{nts|67.7}};;
Merlin 1D;{{Flag|USA}};SpaceX;Falcon 9 v1.1;1st;RP-1?/?LOX;{{nts|311}}[27] {{nts|282}} (SL)[27];{{nts|723,000}}[28];{{nts|470}}[28];{{nts|158}}[28];{{nts|97}};2.34;
Merlin 1D FT;{{Flag|USA}};SpaceX;Falcon 9 FT Falcon Heavy;1st;RP-1?/?LOX;{{nts|311}}[27] {{nts|282}} (SL)[27];{{nts|914,000}}[29] {{nts|845,000}} (SL)[29];{{nts|470}}[28];{{nts|194.5}}[29];;;
Merlin Vacuum 1C;{{Flag|USA}};SpaceX;{{plainlist| Falcon 1 Falcon 9 }};2nd;RP-1?/?LOX;{{nts|336}}[26];{{nts|413,644}}[26];;{{nts|92}};;;
Merlin Vacuum 1D;{{Flag|USA}};SpaceX;Falcon 9 Falcon Heavy;2nd;RP-1?/?LOX;{{nts|348}}[30];{{nts|934,000}}[30];;;;2.36;
Mira (LM10);{{Flag|Italy}};Avio;Vega E[31];3rd[31];CH4/LOX[31];{{nts|362.3}} [31];{{nts|98,100}} [31];{{nts|250}} [31];{{nts|40}} [31];;{{nts|3.4}} [31];
NewtonThree;{{Flag|USA}};Virgin Galactic;LauncherOne;Booster;RP-1?/?LOX;;{{nts|266,893}}[32];;;;;
NewtonFour;{{Flag|USA}};Virgin Galactic;LauncherOne;2nd;RP-1?/?LOX;;{{nts|22,241}}[32];;;;;
NEXT;{{Flag|USA}};NASA;;Ion thruster;Xenon;{{nts|4,100}} @6.9 kW;{{nts|0.236}} @6.9 kW;;;;;
NK-33A (AJ26-62) 11?111 / 14?15;{{Flag|USSR}};JSC Kuznetsov;Antares 100 Soyuz-2-1v;1st;RP-1?/?LOX;{{nts|331}}[33];{{nts|1,638,000}};{{nts|1,222}};{{nts|136.8}};{{nts|145}};;
NSTAR[34][35]{{efn|First ever ion engine used as a main engine on an operational science spacecraft (Deep Space 1)}};{{Flag|USA}};Hughes Electron Dynamics Boeing;{{nobr|Deep Space 1}} Dawn;Ion thruster;Xenon;{{nts|3,100}} @2.3 kW;{{nts|0.0920}} @2.3 kW;{{nts|8.2}};;;;
P80[36][37]{{rp|5}}[38];{{EUR}};;Vega;1st;HTPB;{{nts|280}};{{nts|2,261,000}};{{nts|96,000}} with fuel;;;;
P120C[39];{{EUR}};;Ariane 6/Vega-C;Booster/1st;HTPB[40];{{nts|279}}[39];{{nts|4,650,000}}[39];{{nts|161,000}} with fuel[39];;;;
P230;{{EUR}};SNPE and Avio Spa (Italy);Ariane 5;Booster;HTPB;{{nts|286}}[41] {{nts|259}} (SL);{{nts|6,470,000}} {{nts|5,860,000}} (SL);{{nts|269,000}} with fuel[41];;;;
PPS-1350 (???-100);{{RUS}};OKB Fakel;SMART-1;Hall thruster;Xenon;{{nts|1,650}} @1.5 kW;{{nts|0.088}} @1.5 kW;{{nts|5.3}};;;;
S139;{{IND}};SDSC;PSLV;1st;HTPB;{{nts|269}}[42];{{nts|486,0000}};{{nts|160,200}} with fuel;;{{nts|58}};;
Raptor[43];{{Flag|USA}};SpaceX;BFR;1st, 2nd;CH4?/?LOX;{{nts|356}}[44] {{nts|330}} (SL);{{nts|1,700,000}} (SL);;;{{nts|300}}[45];3.8;
Raptor Vacuum[43];{{Flag|USA}};SpaceX;BFR;2nd, 1st on Mars;CH4?/?LOX;{{nts|380}}+[46];{{nts|1,900,000}}[44];;;{{nts|300 }}[45];3.8;
RD-0120 11?122;{{Flag|USSR}};KBKhA;Energia;1st;LH2?/?LOX;{{nts|455}}[47];{{nts|1,962,000}};{{nts|3,450}};{{nts|57.80}};{{nts|219}};;
RD-0124 14?23;{{RUS}};KBKhA;Soyuz-2.1b Soyuz-2-1v Angara;2nd, 3rd;RP-1?/?LOX;{{nts|359}}[48];{{nts|294,300}};{{nts|520}};{{nts|57.7}};{{nts|160}};;
RD-107A 14?22;{{RUS}};NPO Energomash;Soyuz-FG Soyuz-2;1st;RP-1?/?LOX;{{nts|320.2}}[49] {{nts|263.3}} (SL);{{nts|1,019,892}} {{nts|839,449}} (SL);{{nts|1,090}};{{nts|78.53}};{{nts|61.2}};;
RD-108A 14?21;{{RUS}};NPO Energomash;Soyuz-FG Soyuz-2;2nd;RP-1?/?LOX;{{nts|320.6}}[49] {{nts|257.7}} (SL);{{nts|921,825}} {{nts|792,377}} (SL);{{nts|1,075}};{{nts|75.16}};{{nts|55.5}};;
RD-117 11?511;{{Flag|USSR}};NPO Energomash;Soyuz-U;1st;RP-1?/?LOX;{{nts|316}}[50] {{nts|253}} (SL);{{nts|978,000}} {{nts|778,648}} (SL);{{nts|1,100}};{{nts|72.18}};{{nts|54.2}};;
RD-118 11?512;{{Flag|USSR}};NPO Energomash;Soyuz-U;2nd;RP-1?/?LOX;{{nts|314}}[50] {{nts|257}} (SL);{{nts|1,000,278}} {{nts|818,855}} (SL);{{nts|1,100}};{{nts|75.91}};{{nts|59.7}};;
RD-171M{{efn|name=RD-170|Most powerful multi-chamber rocket engine in the world}}11?520;{{RUS}};NPO Energomash;Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5;1st;RP-1?/?LOX;{{nts|337.2}}[51] {{nts|309.5}} (SL);{{nts|7,904,160}} {{nts|7,256,921}} (SL);{{nts|9,300}};{{nts|79.57}};{{nts|250}};;
RD-170{{efn|name=RD-170}}11?521;{{Flag|USSR}};NPO Energomash;Energia;1st;RP-1?/?LOX;{{nts|337.2}} {{nts|309.5}} (SL);{{nts|7,904,160}} {{nts|7,256,921}} (SL);{{nts|9,300}};{{nts|79.57}};{{nts|250}};;
RD-180;{{RUS}};NPO Energomash;Atlas V Atlas III;1st;RP-1?/?LOX;{{nts|338.4}}[52] {{nts|311.9}} (SL);{{nts|4,152,136}} {{nts|3,826,555}} (SL);{{nts|5,480}};{{nts|71.2}};{{nts|261.7}};2.72;
RD-181;{{RUS}};NPO Energomash;Antares 200;1st;RP-1?/?LOX;{{nts|339.2}}[53] {{nts|311.9}} (SL);{{nts|2,085,000}} {{nts|1,922,000}} (SL);{{nts|2,200}};{{nts|89}};{{nts|262.6}};;
RD-191;{{RUS}};NPO Energomash;Angara;1st;RP-1?/?LOX;{{nts|337.5}}[54] {{nts|311.2}} (SL);{{nts|2,084,894}} {{nts|1,922,103}} (SL);{{nts|2,200}};{{nts|89.09}};{{nts|262.6}};;
RD-193;{{RUS}};NPO Energomash;Soyuz-2-1v;1st;RP-1?/?LOX;{{nts|337.5}}[55] {{nts|311.2}};{{nts|2,084,894}} {{nts|1,922,103}} (SL);{{nts|1,900}};{{nts|103.15}};;;
RD-264 11?119;{{Flag|USSR}};NPO Energomash;Dnepr;1st;N2O4?/?UDMH;{{nts|318}}[56] {{nts|293}} (SL);{{nts|4,521,000}};{{nts|3,600}};{{nts|128.15}};{{nts|206}};;
RD-275M 14?14?;{{RUS}};NPO Energomash;Proton-M;1st;N2O4?/?UDMH;{{nts|315.8}}[57] {{nts|288}} (SL);{{nts|1,831,882}} {{nts|1,671,053}} (SL);{{nts|1,070}};{{nts|171.2}};{{nts|165.2}};;
RD-56 (KVD-1) 11?56?;{{RUS}};KBKhM;GSLV Mk I;Upper;LH2?/?LOX;{{nts|462}}[58];{{nts|69,626}};{{nts|282}};{{nts|25.17}};{{nts|55.9}};;
Reaver 1[24];{{Flag|USA}};Firefly Aerospace;Alpha;1st;RP-1?/?LOX;{{nts|295.6}};{{nts|184,000}};;;;;
RL-10A-4-2[59];{{Flag|USA}};Aerojet Rocketdyne;Atlas IIIB Atlas V;Upper;LH2?/?LOX;{{nts|451}};{{nts|99,100}};{{nts|167}};{{nts|60.5}};{{nts|39}};;
RL-10B-2[60];{{Flag|USA}};Aerojet Rocketdyne;Delta III Delta IV SLS;Upper;LH2?/?LOX;{{nts|462}};{{nts|109,890}};{{nts|277}};{{nts|40.5}};{{nts|44}};;
RL-10C-1[61];{{Flag|USA}};Aerojet Rocketdyne;Delta III Delta IV SLS, Vulcan;Upper;LH2?/?LOX;{{nts|470}};{{nts|110,000}};{{nts|277}};{{nts|40.5}};{{nts|44}};;
RS-25 (SSME){{efn|name=Shuttle-Inactive|Inactive since last Shuttle flight STS-135 in 2011}};{{Flag|USA}};Rocketdyne;Space Shuttle SLS;1st;LH2?/?LOX;{{nts|452.3}};{{nts|2,279,000}} {{nts|1,860,000}} (SL)[62];{{nts|3,526}};{{nts|53.79}};{{nts|206.4}};;
RS-68A{{efn|Most powerful hydrogen-fueled engine in the world}};{{Flag|USA}};Rocketdyne;Delta IV Delta IV Heavy;1st;LH2?/?LOX;{{nts|414}}[63];{{nts|3,560,000}} {{nts|3,137,000}} (SL);{{nts|6,747}};{{nts|53.80}};{{nts|196}}{{Unreliable source?|date=June 2017}};;
Rutherford;{{NZL}};Rocket Lab;Electron;1st, 2nd;RP-1?/?LOX;{{nts|327}};{{nts|22,000}} {{nts|16,890}} (SL);;;;;
S200;{{IND}};SDSC;GSLV Mk III;Booster;HTPB;{{nts|274.5}}[64];{{nts|5,150,000}}[65][66][67];{{nts|207,000}} with fuel[64];;;;
SCE-200;{{IND}};LPSC;GSLV Mk III ULV;Upper / Main;RP-1?/?LOX;{{nts|335}} {{nts|299}} (SL);{{nts|2,030,000}} {{nts|1,820,000}} (SL);{{nts|2700}};;{{nts|180}};;
SLS Solid Rocket Booster{{efn|Largest, most powerful solid-fuel rocket motor ever built}};{{Flag|USA}};Orbital ATK;SLS;Booster;PBAN;{{nts|267}};{{nts|16,000,000}};{{nts|730,000}} with fuel;;;;
SLV-1;{{IND}};Godrej & Boyce;PSLV;Booster;HTPB;{{nts|253}}[68];{{nts|502,600}};{{nts|10,800}} with fuel;;{{nts|43}};;
Space Shuttle Solid Rocket Booster{{efn|Largest solid-fuel rocket motor ever flown, and the first to be used for primary propulsion on human spaceflight missions}};{{Flag|USA}};Thiokol;Space Shuttle Ares I;Booster;PBAN?/?APCP;{{nts|268}};{{nts|14,000,000}} {{nts|12,500,000}} (SL);{{nts|590,000}} with fuel;;;;
SPT-100;{{RUS}};OKB Fakel;LS-1300 satellites;Hall thruster;Xenon;{{nts|1,500}} @1.35 kW;{{nts|0.083}} @1.35 kW;{{nts|3.5}};;;;
SRB-A;{{JPN}};IHI Aerospace JAXA;H-IIA;Booster;HTPB;{{nts|280}}[69];{{nts|2,250,000}};{{nts|76,400}} with fuel;;{{nts|118}};;
SRB-A3;{{JPN}};IHI Aerospace JAXA;H-IIB Epsilon;Booster;BP-207J[70];{{nts|283.6}}[70];{{nts|2,305,000}} {{nts|2,150,000}} (SL);{{nts|76,600}} with fuel;;{{nts|111}};;
UA1207;{{Flag|USA}};United Technologies;Titan IV;Booster;PBAN;{{nts|272}}[71] {{nts|245}} (SL);{{nts|7,116,000}} {{nts|6,410,400}} (SL);{{nts|319,330}} with fuel;;;;
VASIMR;{{Flag|USA}};Ad Astra Rocket Company;;Electro-magnetic thruster;Argon;{{nts|5,000}} @200 kW;{{nts|5.7}} @200 kW;;;;;
Vikas (rocket engine);{{IND}};LPSC;{{plainlist| PSLV GSLV GSLV Mk III }};Second / Main / Booster;N2O4?/?UDMH;{{nts|262}};{{nts|680,500}}–804,500 V {{nts|600,500}}–756,500 (SL);;;{{nts|53.0}}–58.5;;
Viking 2;{{EUR}};Snecma;Ariane 1;1st;N2O4?/?UDMH;;{{nts|690,000}} {{nts|611,200}} (SL);{{nts|776}};{{nts|90.67}};;;
Viking 2B;{{EUR}};Snecma;Ariane 2 Ariane 3;1st;N2O4?/?UH?25;;{{nts|643,000}} (SL);{{nts|776}};{{nts|84.5}};;;
Viking 4;{{EUR}};Snecma;Ariane 1;2nd;N2O4?/?UDMH;;{{nts|713,000}};{{nts|826}};{{nts|88}};;;
Viking 4B;{{EUR}};Snecma;Ariane 2 Ariane 3 Ariane 4;2nd;N2O4?/?UH?25;;{{nts|800,000}};{{nts|826}};{{nts|98.76}};;;
Viking 5C;{{EUR}};Snecma;Ariane 4;1st;N2O4?/?UH?25;;{{nts|758,000}} {{nts|678,000}} (SL);{{nts|826}};{{nts|93.57}};;;
Viking 6;{{EUR}};Snecma;Ariane 4;Booster;N2O4?/?UH?25;;{{nts|750,000}};{{nts|826}};{{nts|92.59}};;;
Vinci;{{EUR}};Snecma;Ariane 6;Upper;LH2?/?LOX;{{nts|467}}[72];{{nts|180,000}};{{nts|280}};{{nts|65.60}};{{nts|61}};;
Vulcain HM-60;{{EUR}};Snecma;Ariane 5;1st;LH2?/?LOX;{{nts|439}}[73] {{nts|326}} (SL)[74];{{nts|1,113,000}}[73] {{nts|773,200}} (SL)[74];{{nts|1,300}}[74];{{nts|84.38}};{{nts|109}}[73];;
Vulcain 2;{{EUR}};Snecma;Ariane 5;1st;LH2?/?LOX;{{nts|429}}[75] {{nts|318}} (SL)[76];{{nts|1,359,000}}[75] {{nts|939,500}} (SL)[76];{{nts|1,800}}[74];{{nts|77.04}};{{nts|117.3}}[75];;
Waxwing;{{UK}};Bristol Aerojet;Black Arrow;Upper;Solid;{{nts|278}}[77] {{nts|245}} (SL);{{nts|29,400}} {{nts|25,900}} (SL);{{nts|87}};{{nts|34.48}};;;
XIPS-25;{{Flag|USA}};Boeing;Boeing 702 satellites;Ion thruster;Xenon;{{nts|3,500}} @4.5 kW;{{nts|0.165}} @4.5 kW;;;;;
YF-100;{{CHN}};AALPT;{{plainlist| Long March 5 Long March 6 Long March 7 }};Boosters, 1st;RP-1?/?LOX;{{nts|335}}[78] {{nts|300}} (SL);{{nts|1,340,000}} {{nts|1,200,000}} (SL);;;{{nts|180}};;
YF-115;{{CHN}};AALPT;{{plainlist| Long March 6 Long March 7 }};2nd;RP-1?/?LOX;{{nts|341.5}};{{nts|176,500}};;;;;
YF-21B;{{CHN}};AALPT;{{plainlist| Long March 2E Long March 2F Long March 3 }};Boosters, 1st;N2O4?/?UDMH;{{nts|260.66}} (SL)[79];{{nts|2,961,600}} (SL)[79];;;;;
YF-21C;{{CHN}};AALPT;{{plainlist| Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C }};1st;N2O4?/?UDMH;{{nts|260.7}} (SL)[79];{{nts|2,961,600}} (SL)[79];;;
YF-25;{{CHN}};AALPT;{{plainlist| Long March 3B Long March 3C }};Boosters;N2O4?/?UDMH;{{nts|260.66}} (SL)[79];{{nts|740,400}} (SL)[79];;;;;
YF-22B;{{CHN}};AALPT;{{plainlist| Long March 2E Long March 2F }};2nd;N2O4?/?UDMH;{{nts|298.0}}[79];{{nts|738,400}};;;;;
YF-22C;{{CHN}};AALPT;{{plainlist| Long March 2C Long March 2D Long March 4B Long March 4C }};2nd;N2O4?/?UDMH;{{nts|298.0}}[79];{{nts|742,040}};;;;;
YF-22D;{{CHN}};AALPT;{{plainlist| Long March 3 }};2nd;N2O4?/?UDMH;{{nts|298.0}}[79];{{nts|741,400}};;;;;
YF-22E;{{CHN}};AALPT;{{plainlist| Long March 3A Long March 3B Long March 3C }};2nd;N2O4?/?UDMH;{{nts|298.0}}[79];{{nts|741,400}};;;;;
YF-40;{{CHN}};AALPT;{{plainlist| Long March 4B Long March 4C }};3rd;N2O4?/?UDMH;{{nts|303}};{{nts|103,000}};;;;;
YF-50D;{{CHN}};AALPT;{{plainlist| Long March 3B Long March 3C Long March 5 Long March 7 }};Upper;N2O4?/?UDMH;{{nts|315.5}};{{nts|6,500}};;;;;
YF-73;{{CHN}};AALPT;Long March 3;3rd;LH2?/?LOX;{{nts|420.0}};{{nts|44,150}};;;;;
YF-75;{{CHN}};AALPT;{{plainlist| Long March 3A Long March 3B Long March 3C }};3rd;LH2?/?LOX;{{nts|438.0}}[79];{{nts|167,170}};;;;;
YF-75D;{{CHN}};AALPT;Long March 5;2nd;LH2?/?LOX;{{nts|442.0}};{{nts|86,260}};;;;;
YF-77;{{CHN}};AALPT;Long March 5;1st;LH2?/?LOX;{{nts|430}} {{nts|310.2}} (SL);{{nts|700,000}} {{nts|510,000}} (SL);{{nts|2,700}};;{{nts|102}};;
Rodong-1;{{Flag|North Korea}};Korean Committee of Space Technology;Paektusan/Unha[80][80];1st;UDMH/AK27;{{nts|95}}/{{nts|120}};{{nts|280,000}}/{{nts|1,200,000}};;;;;
