Rank;Nation;GDP {{small|(in millions $USD)}};
105;{{flag|Syria}}{{refn|Data for Syria's 2014 GDP is from the September 2011 WEO Database, the latest available from the IMF.|group = n}};77,460;
106;{{flag|New Hampshire}};71,632;
107;{{flag|West Virginia}};71,123;
108;{{flag|Dominican Republic}};67,492;
109;{{flag|Myanmar}};66,983;
110;{{flag|Delaware}};66,150;
111;{{flag|Uzbekistan}};65,683;
112;{{flag|Idaho}};65,202;
113;{{flag|Guatemala}};63,911;
114;{{flag|Ethiopia}};61,629;
115;{{flag|Kenya}};61,405;
116;{{flag|Oman}};58,491;
117;{{flag|Luxembourg}};57,423;
118;{{flag|Rhode Island}};56,323;
119;{{flag|Maine}};55,137;
120;{{flag|Belarus}};54,609;
121;{{flag|Alaska}};54,256;
122;{{flag|Azerbaijan}};54,048;
123;{{flag|Uruguay}};53,794;
124;{{flag|North Dakota}};53,686;
125;{{flag|Costa Rica}};52,898;
126;{{flag|Panama}};52,132;
127;{{flag|Lebanon}};51,168;
128;{{flag|Bulgaria}};48,957;
129;{{flag|Croatia}};48,850;
130;{{flag|Macao}};46,178;
131;{{flag|Montana}};45,799;
132;{{flag|South Dakota}};45,415;
133;{{flag|Tanzania}};44,904;
134;{{flag|Tunisia}};43,581;
135;{{flag|Slovenia}};42,768;
136;{{flag|Lithuania}};41,267;
137;{{flag|Wyoming}};40,170;
138;{{flag|Democratic Republic of the Congo}};38,873;
139;{{flag|Libya}};38,300;
140;{{flag|Jordan}};37,620;
142;{{flag|Yemen}};36,852;
143;{{flag|Serbia}};36,513;
144;{{flag|Ghana}};36,039;
145;{{flag|Turkmenistan}};35,680;
146;{{flag|Bolivia}};33,210;
147;{{flag|Côte d'Ivoire}};31,172;
148;{{flag|Bahrain}};30,411;
149;{{flag|Vermont}};29,750;
150;{{flag|Cameroon}};28,478;
151;{{flag|Paraguay}};28,077;
152;{{flag|Latvia}};27,048;
153;{{flag|El Salvador}};25,766;
154;{{flag|Uganda}};24,740;
155;{{flag|Trinidad and Tobago}};24,553;
156;{{flag|Estonia}};22,704;
157;{{flag|Zambia}};21,889;
158;{{flag|Nepal}};21,356;
159;{{flag|Honduras}};20,295;
160;{{flag|Cyprus}};19,330;
161;{{flag|Afghanistan}};19,204;
162;{{flag|Cambodia}};18,155;
163;{{flag|Iceland}};16,718;
164;{{flag|Papua New Guinea}};16,090;
165;{{flag|Bosnia and Herzegovina}};15,794;
166;{{flag|Mozambique}};14,965;
167;{{flag|Gabon}};14,350;
168;{{flag|Zimbabwe}};14,269;
169;{{flag|Georgia}};14,007;
170;{{flag|Jamaica}};13,924;
171;{{flag|Senegal}};13,665;
172;{{flag|Mali}};13,066;
173;{{flag|Botswana}};12,860;
174;{{flag|Namibia}};12,832;
175;{{flag|Laos}};12,503;
176;{{flag|Nicaragua}};12,222;
177;{{flag|Brunei Darussalam}};11,786;
178;{{flag|Mongolia}};11,735;
179;{{flag|Mauritius}};11,608;
180;{{flag|Albania}};11,543;
181;{{flag|Burkina Faso}};11,009;
182;{{flag|Chad}};10,894;
183;{{flag|Armenia}};10,571;
184;{{flag|Macedonia}};9,922;
185;{{flag|Malta}};9,801;
186;{{flag|Madagascar}};9,737;
187;{{flag|Equatorial Guinea}};9,403;
188;{{flag|Republic of Congo}};8,878;
189;{{flag|Bahamas}};8,705;
190;{{flag|Haiti}};8,618;
191;{{flag|Benin}};8,471;
192;{{flag|Rwanda}};8,267;
193;{{flag|Tajikistan}};7,816;
194;{{flag|Niger}};7,151;
195;{{flag|Guinea}};6,696;
196;{{flag|Kyrgyz Republic}};6,650;
197;{{flag|Malawi}};6,416;
198;{{flag|Moldova}};6,414;
199;{{flag|Kosovo}};6,355;
200;{{flag|Suriname}};5,192;
201;{{flag|Fiji}};4,782;
202;{{flag|Mauritania}};4,752;
203;{{flag|Eritrea}};4,666;
204;{{flag|Barbados}};4,412;
205;{{flag|Sierra Leone}};4,167;
206;{{flag|Togo}};4,165;
207;{{flag|Montenegro}};4,039;
208;{{flag|Swaziland}};4,028;
209;{{flag|Guyana}};3,164;
210;{{flag|Maldives}};3,130;
211;{{flag|Burundi}};2,881;
212;{{flag|South Sudan}};2,627;
213;{{flag|Timor-Leste}};2,620;
214;{{flag|Bhutan}};2,214;
215;{{flag|Liberia}};2,035;
216;{{flag|Lesotho}};2,032;
217;{{flag|Belize}};1,763;
218;{{flag|Djibouti}};1,727;
219;{{flag|Central African Republic}};1,605;
220;{{flag|Cabo Verde}};1,595;
221;{{flag|San Marino}};1,566;
222;{{flag|St. Lucia}};1,416;
223;{{flag|Seychelles}};1,375;
224;{{flag|Antigua and Barbuda}};1,287;
225;{{flag|Solomon Islands}};1,147;
226;{{flag|Guinea-Bissau}};1,057;
227;{{flag|Grenada}};954;
228;{{flag|St. Kitts and Nevis}};896;
229;{{flag|The Gambia}};893;
230;{{flag|Samoa}};838;
231;{{flag|Vanuatu}};765;
232;{{flag|St. Vincent and the Grenadines}};757;
233;{{flag|Comoros}};589;
234;{{flag|Dominica}};497;
235;{{flag|Tonga}};414;
236;{{flag|São Tomé and Príncipe}};318;
237;{{flag|Micronesia}};318;
238;{{flag|Palau}};287;
239;{{flag|Marshall Islands}};183;
240;{{flag|Kiribati}};162;
241;{{flag|Tuvalu}};33;
