Meaning;Portuguese;Spanish < Arabic;
sill, parapet (i.e. window);parapeito < Gr. + Lat. {{sm|para + pectus}};alféizar < Hisp.-Ar. al?áyza < Ar. ??'izah[22];
lad, youth;rapaz, jovem < Lat. {{sm|rapax, juvene}};zagal < Hisp.-Ar. za?ál < zu?l?l (Sp. also has joven);
munchkin, wimp, caramel bar;monstrinho, frouxo, caramelo < Lat., *Uncertain probably Lat. {{sm|monstrum, fluxus, *cannamellis}};alfeñique < Hisp.-Ar.fa[y]níd[23];
myrtle;murta, mirto < Lat. {{sm|myrtus < Gr. ??????}};arrayán < Ar. ar-rayhan (Sp. also has 'mirto');
rental;aluguel/aluguer, locação, renda < Lat. {{sm| locar?um, locatio}}, Lat. {{sm| rendita, reddere}};alquiler < kira;
beach, boulevard;areal, passeio < Lat. {{sm|ar?n?le}}, {{sm|passus}};rambla < ramla[24];
flip-flops, slippers;chinelo < Ita. pianella < Lat. {{sm|planus}};chanclas < late Lat. zanca < Persian zanga;
drunk;bêbedo < Lat {{sm|bibutus}};borracho < Cat. morratxa[25] < al-mi?rášš;
farmstead;casal < Lat. {{sm|casa}};alquería < Hisp.-Ar. alqaríyya < qaryah;
gazpacho (soup);gaspacho < Sp. {{sm|gazpacho}};gazpacho < Hisp.-Ar. gazpá?o < Gr. ????????????;
cupboard, pantry;armário < Lat. {{sm|armarium}};alacena < al?azána, < ?iz?nah [26] (Sp. also has armario);
sewer;esgoto < Lat. {{sm|es + g?tta}};alcantarilla < al-qantarah;
floorcloth;pano de chão < Lat. {{sm|pannus + de + planus}};aljofifa < al?affífa[27];
amount;montante, valor < Lat. {{sm|montare, valoris}};cifra < sifr (Port. also has Cifra);
oil;óleo < Lat. {{sm|oleum}} (Port. azeite is exclusively 'olive oil'.);aceite < az-zait (Sp. óleo is 'oil painting');
melissa (herb);erva-cidreira, melissa < Lat. {{sm|herba + citrea}}, < Gr. {{sm|mélissa}};toronjil < turun?án < turun??n [28] (Sp. also has melisa);
plug;tomada, encaixe < Uncertain origin, < Lat. in +{{sm|capsa}};enchufe < Hisp.-Ar.guf < Ar.gawf;
basil;manjericão, basílico < Uncertain origin, maybe a combination of Por. manjar and < Lat. {{sm|basilicon}}, < Lat. {{sm|basilicum}};albahaca < al-habaqa;
yellow glandweed;erva-peganhenta < Lat. {{sm|herba + picare}};algarabía (pegajosa) < Hisp-Ar.al‘arabíyya + Lat. picare;
sir, lord;senhor < Lat. {{sm|seniorem}};Cid < sidi or sayyid (???)[29], ref. to the historical hero El Cid (the common noun in Sp. is señor);
mullah;mulá < Eng. {{sm|mullah}};ulema < fr. uléma <ar. clas. ulam??', pl. of ?lim 'wise[30];
gambler, cheat;jogatana, batoteiro < Lat. {{sm|jocus}}, < Latinised < Celt. {{sm|battu?re < bathu}};tahúr, tafur ant. < -Ar. takf?r < Arm. T'agawor[31];
pea;ervilha < Lat. {{sm|ervilia}};guisante < Hisp.-Ar. biššáu? < Lat. pisum sapidum;
mackerel;cavala < Celt. {{sm|caballos}};jurel < Hisp.-Ar. šuríl, < Lat. saurus, < Gr. ??????;
piggy bank, moneybox;mealheiro < Lat. {{sm|micalea, micae + suffix 'eiro'}};alcancía < Hisp.-Ar. alkanzíyya;
poppy;papoila or papoula < Lat. {{sm|papaver}};amapola, ababol < Hisp.-Ar. ?ababawra;
esparto (grass);esparto < Lat. {{sm|spartum}};atocha < Hisp.-Ar. attáwca (Sp. also has esparto);
orange blossom;flor de laranjeira < Lat. {{sm|flos < floris}} + < Sanskrit {{sm|?????? n?ra?ga}};azahar < azzahár < zahr[32];
scorpion;escorpião < Lat. {{sm|scorpio}};alacrán < Hisp.-Ar. al‘aqrab < ? (‘aqrab) (Sp. also has escorpión);
syrup;calda < Lat. {{sm|calda}};almíbar < al-miba;
waistcoat;colete < Ital. {{sm|coletto}};chaleco < yalika;
wallflower;goivo < Celt. {{sm|gulb}};alhelí < alhayrí;
bathrobe, dressing-gown;roupão (de banho), robe < Gothic {{sm|raupa}}, < Fr. {{sm|robe}};albornoz < Al'burnus (??????) (Sp. also has ropón);
corner;canto < Proto-Celtic {{sm|kanto}};rincón < ruk?n < rukn;
flowerbed;canteiro < Proto-Celtic {{sm|kanto}};arriate < riy??;
clown, buffoon;palhaço, bufão < Ital. {{sm|pagliaccio, buffone}};mamarracho < muharrá?, < muharri? (Sp. also has payaso/bufón);
bowl, basin;bacia < via Late Lat. baccia from Gaulish {{sm|bacca}};tazón, jofaina < ?????? (tassah), < algufáyna,[33][34][35];
gully, trench;regueira < Proto-Celtic + Por. suffix {{sm|?rik?}};acequia < Hisp-Ar. assáqya < s?qiyah;
bean;feijão < Lat. {{sm|faseolus}};alubia < al-l?biy?;
trivial, futile;fútil < Lat. {{sm|futilis}};baladí < balady ????;
to flatter (verb);lisonjear < Provençal lauzenja, likely < Lat. {{sm|laudis}} or Gaulish lawsy? < Proto-Celtic {{sm|laws}};halagar < ?alak (Sp. also has lisonjear);
to save (verb);poupar < Lat. {{sm|palpare}};ahorrar < alhurr ????;
to set (verb);engrenar, endentar < Fr. {{sm|engrener}}, < Lat. in + {{sm|dentis}};engarzar < ?arzah;
sheath, dressing;bainha, ligadura < Lat. {{sm|vagina}}, < Lat. {{sm|ligatura}};jareta < šar??ah;
coffin, casket;caixão, urna < Lat. {{sm|capsa}}, < Lat. {{sm|urna}};ataúd < ?????? at-t?b?t;
breast cancer;cancro da mama/câncer de mama < Lat. {{sm|cancer}};zaratán < sara??n [36][37] (Sp. also has cáncer de mama);
wild boar, wild swine;porco-montês, porco-bravo < Lat. {{sm|porcus}};jabalí < ?????? ????????– (?inzîr) ?abalî (Por. also has javali);
clairvoyant, water diviner;vidente, vedor d’água < Lat. {{sm|videns}};zahorí < zahuri (Sp. also has vidente, rabdomante);
rogue, crafty;trapaceiro < Fr. {{sm|trappe < Low Frankish {{sm|trappa}} + Por. suffix ceiro}};zamacuco < ?amak?k;
snout, mug (colloquial);focinho < Lat. {{sm| faucinu < faci?s}};jeta < ja?m/ka?m[38] (Sp. also has hocico);
to assemble, to produce (verb);montar, produzir < Lat. {{sm|montare, producere}};maquilar < makilah;
to cop out (verb);encostar < Lat. {{sm|en + costa}};escaquearse < Hisp-Ar. iššáh < aš-š?h;
mother-of-pearl;madrepérola < Lat. {{sm|mater + perna < pernula}};nácar < naqr (???)[39];
