Das U-Boot;{{Yes}};{{Yes}};PPC, ARM, AVR32, Blackfin, ColdFire, IXP, Leon2, m68k, MicroBlaze, MIPS, NIOS, NIOS2, PXA, x86, StrongARM, SH2, SH3, SH4, ...;FAT12(RO), FAT16, FAT32, VFAT, ext2, ext3, ext4, jffs2, cramfs, reiserfs, yaffs2, ubifs, nfs;4_4bsd, Artos, Dell, Esix, FreeBSD, Irix, Linux, LynxOS, NCR, NetBSD, OpenBSD, pSOS, QNX, RTEMS, SCO, Solaris, SVR4, U-Boot, VXworks;ELF, U-Boot image format;TFTP, NFS, serial (S-Record, Y-Modem, Kermit binary protocol);bzip2, gzip, lzma; ;
Barebox;{{Yes}};{{Yes}};ARM, Blackfin, NIOS2, MIPS, x86, PPC;FAT, VFAT, ext2, ext3, ext4, bpkfs, cramfs, NFS, EFI, efivarfs, ubifs;Linux;ELF, U-Boot image format;TFTP, NFS, serial (S-Record, Y-Modem, Kermit binary protocol);bzip2, gzip, lz4, xz, lzo; ;
kboot;{{dunno}};{{dunno}};x86, PowerPC64;most supported by Linux Kernel (ext2, ext3, ext4, reiserfs, xfs, jfs, etc..);Linux;{{dunno}};HTTP, FTP, TFTP;{{dunno}};SSH, NFS support. kexec-based bootloader.;
Runnix;{{dunno}};{{dunno}};{{dunno}};{{dunno}};Linux;{{dunno}};{{dunno}};{{dunno}};kexec and SYSLINUX based bootloader.;
kexec-loader;{{no}};{{no}};x86;most supported by Linux Kernel (ext2, ext3, ext4, reiserfs, xfs, jfs, etc..);Linux/multiboot;{{dunno}};No networking;gzip (for kernel modules);Kernel/multiboot module support;
NTLDR;{{no}};{{no}};x86 (PC);{{dunno}};Windows;{{dunno}};{{dunno}};{{dunno}};default bootloader on Windows NT;
Windows Boot Manager;{{no}};{{no}};x86 (PC), ARM (only on Windows Mobile remake);NTFS;Windows Vista, 7, 8, and 10;Portable Executable;{{dunno}};{{dunno}};Successor of NTLDR; used on Vista and up.;
FREELDR;{{no}};{{no}};x86 (PC), ARM, PowerPC;ext2, FAT12, FAT16, FAT32, ISO, NTFS;ReactOS, Linux, Windows NT 4.0, Windows 2000, Windows XP, Windows 2003;{{dunno}};{{dunno}};{{dunno}};clone of NTLDR;
boot0;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};FreeBSD's master boot record;
extipl;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};IBM IPL upper compatible;
Multiple Boot Manager;{{dunno}};{{dunno}};{{dunno}};{{dunno}};PC DOS, MS-DOS, Windows, OS/2, Linux, FreeBSD, NetBSD, OpenBSD, BeOS, B-right/V, Solaris, OpenStep, Plan 9, EOTA[6];{{dunno}};{{dunno}};{{dunno}}; ;
bootload (Technologic Systems);{{dunno}};{{dunno}};ARM;{{dunno}};Linux;{{dunno}};{{dunno}};{{dunno}};Proprietary;
Name;Advanced command;Scriptable;Supported architecture;Supported filesystem;Supported OS;Supported executable;Supported protocol;Supported decompression;Others;
