SeaMonkey Mail & Newsgroups;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Shiira;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Sleipnir;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Songbird;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
The Bat!;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
The Old Reader;{{yes|Web based}};{{yes|Web based}};{{yes}};{{yes|Web based}};{{yes|Web based}};{{yes|Multiple apps}};{{yes|Multiple apps}};{{yes|Windows Phone, Symbian, WebOS, Firefox OS}};
Tiny Tiny RSS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|every platform with a web browser}};
Winamp;{{yes}};{{no}};{{partial|Obsolete}};{{no}};{{no}};{{no}};{{no}};{{no}};
Windows Live Mail;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Zimbra;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Zune;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Windows Mobile}};
Client;Windows;Mac OS X;Linux;BSD;Solaris;Android;iOS;Other;
