ScaleMP vSMP Foundation;{{Yes}}, up to 8,192 CPUs and 64 TB per VM{{Citation needed|date=November 2010}};{{Yes}};{{Yes}};Virtualization;Server consolidation, Cloud computing;?;{{Yes}};
Simics;{{Yes}};{{Yes}};{{Yes}};Full system simulation of processors, MMUs, devices, disks, memories, networks, etc.;Software development, advanced debug for single and multicore software, compiler and other tool development, computer architecture research, bug transportation, automated testing, system architecture, long-term support of safety-critical systems, early hardware availability, virtual prototyping;Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x, cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors, number of target machines, and how much the simulation can be parallelized);{{Yes}};
Sun xVM Server;{{Yes}};{{Yes}};{{Yes}};Paravirtualization and porting or hardware virtualization;Servers, Development;Up to near native{{Citation needed|date=November 2010}};Yes;
SVISTA 2004;{{no}};{{dunno}};{{dunno}};{{dunno}};Hobbyist, Developer, Business workstation;{{dunno}};{{dunno}};
TRANGO;{{yes}};{{yes}}{{ref|patch}};{{yes}};Paravirtualization and porting or hardware virtualization;Mob. phone, STB, routers, etc.;Near native{{ref|native}}{{Citation needed|date=November 2010}};{{dunno}};
User Mode Linux;{{dunno}};{{no}};special guest kernel+modules required;Porting;Developer (as a separate machine for a server or with X11 networking);Non-significantly slower than native {{ref|native speed}} (all calls to kernel are proxied){{Citation needed|date=November 2010}};{{dunno}};
OKL4 Microvisor;{{yes}};{{yes}}, (either with para-virtualization or HW virtualization);{{yes}};Paravirtualization, Hardware assisted virtualization;Mobile, embedded, security, safety critical, networking, legacy OS, etc.;Near native;{{yes}};
Oracle VirtualBox;{{yes}};{{yes}};{{yes}};Virtualization;Business workstation, server consolidation, service continuity, developer, hobbyist;Up to near native{{Citation needed|date=November 2010}};{{Yes}} (with commercial license);
Virtual Iron 3.1;{{yes}}, up to 8 way;{{yes}};{{yes}};Native virtualization;Server consolidation, service continuity, dev/test;?;{{Yes}};
Virtual PC 2007;{{no}};{{yes}};{{yes}};Virtualization, guest calls trapping where supported;Hobbyist, Developer, Business workstation;Up to near native{{Citation needed|date=November 2010}} with virtual machine additions;{{dunno}};
Windows Virtual PC;{{yes}};{{yes}};{{yes}};Hardware virtualization;Developer, Business workstation, support for Compatibility with Windows XP applications;Up to near native{{Citation needed|date=November 2010}} with virtual machine additions;{{no}};
Virtual PC 7 for Mac;{{no}};{{yes}};{{yes}};dynamic recompilation (guest calls trapping where supported);Hobbyist, Developer, Business workstation;Slow {{Citation needed|date=November 2010}};{{dunno}};
Virtual Server 2005 R2;{{no}};{{yes}};{{yes}};Virtualization (guest calls trapping where supported);Server, server farm;Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls{{Citation needed|date=November 2010}};{{dunno}};
CoWare Virtual Platform;{{Yes}};{{Yes}};{{Yes}} ( Same compiled Software image as for the real device);Full-system virtualization (Processor Core ISA + Hardware + External connections);Early embedded software development and integration (from driver to application), Multi-core software debugging and optimization;Depending on the system characteristics and the software itself, ranges from faster than real time to slow{{Citation needed|date=November 2010}}.;{{yes}};
Virtuozzo;{{yes}};{{no}};Compatible;Operating system-level virtualization;Server consolidation, service continuity, disaster recovery, service providers;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware ESXi Server 5.5 (vSphere);{{yes}}, add-on, up to 64 way;{{no}};{{yes}};Virtualization;Server consolidation, service continuity, dev/test, cloud computing, business critical applications, Infrastructure as a Service IaaS;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware ESX Server 4.0 (vSphere);{{yes}}, add-on, up to 8 way;{{yes}};{{yes}};Virtualization;Server consolidation, service continuity, dev/test, cloud computing;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware ESX Server 3.0;{{yes}}, add-on, up to 4 way;{{yes}};{{yes}};Virtualization;Server consolidation, service continuity, dev/test;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware ESX Server 2.5.3;{{yes}}, add-on, 2 way;{{yes}};{{yes}};Virtualization;Server consolidation, service continuity, dev/test;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware Fusion;{{yes}};{{yes}};{{yes}};Virtualization;Hobbyist, Developer, Tester, Business workstation;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware Server;{{yes}} (2-way);{{yes}};{{yes}};Virtualization;Server/desktop consolidation, dev/test;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware Workstation;{{yes}} (2-way);{{yes}};{{yes}};Paravirtualization (VMI) and virtualization;Technical professional, advanced dev/test, trainer;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
VMware Player;{{yes}}[16];{{yes}};{{yes}};Virtualization;Technical professional, advanced dev/test, trainer, end user on prebuilt machines;Up to near native{{Citation needed|date=November 2010}};{{No}};
Xen;{{yes}}, v4.0.0: up to 128 VCPUs per VM;{{no}};{{yes}};Paravirtualization and porting or hardware virtualization;Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.;Up to native[17];{{yes}};
XenServer;{{yes}};{{yes}};{{yes}};Paravirtualization and porting or hardware virtualization;Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.;Up to native[17];{{yes}};
XtratuM;{{yes}};{{no}};{{yes}};Paravirtualization;Embedded, safety critical, secure;{{dunno}};{{yes}};
z/VM;{{yes}}, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment;{{yes}};{{yes}}, but not required;Virtualization (among first systems to provide hardware assists);Servers;Near native{{ref|zvm_performance}};{{yes}};
z LPARs;{{yes}}, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment; up to 64 real cores;{{yes}};{{yes}}, but not required;Microcode and hardware hypervisor;Servers;Native: System z machines always run with at least one LPAR;{{yes}};
Name;Guest OS SMP available;Runs arbitrary OS;Supported guest OS drivers;Method of operation;Typical use;Speed relative to host OS;Commercial support available;
