Loop-AES;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
McAfee Drive Encryption (SafeBoot);{{yes}};{{yes}}[56];{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
n-Crypt Pro;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
PGPDisk;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
PGP Whole Disk Encryption;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Private Disk;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
ProxyCrypt;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
R-Crypto;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SafeGuard Easy;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SafeGuard Enterprise;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SafeGuard PrivateDisk;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SafeHouse Professional;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Scramdisk;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Scramdisk 4 Linux;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SecuBox;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
SecureDoc;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Sentry 2020;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Softraid / RAID C;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};
SpyProof!;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Svnd / Vnconfig;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};
Symantec Endpoint Encryption;{{yes}};{{no}};{{no}};{{no}}[57];{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Tcplay;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};
Trend Micro Endpoint Encryption;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
TrueCrypt;{{yes}};{{no}};{{no}}[58];{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}}[44];{{dunno}};
USBCrypt;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
VeraCrypt;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}}[59];{{dunno}};
CyberSafe Top Secret;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
Name;Windows NT;Windows Mobile (incl. Pocket PC);FreeBSD;Linux;Mac OS X;NetBSD;OpenBSD;DragonFly BSD;Android;iOS;
