QuickBooks Pro/Premier;Proprietary;{{yes}};{{yes}};{{no}};Low to mid-market;Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management, fixed asset depreciation;Stand-alone;
Red Wing Software;Proprietary;{{yes}};{{no}};{{no}};Low to mid-market;Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, fund accounting, inventory management, procurement, order entry/tracking, small business accounting;Stand-alone;
Sage Group;Proprietary;{{yes}};{{no}};{{no}};Accounting Firms;CRM, payroll;Stand-alone;
Sage 50 Accounting;Proprietary;{{yes}};{{no}};{{no}};Low-end to High end;Business management.;Stand-alone;
Sage 300 ERP;Proprietary;{{yes}};{{yes}};{{yes}};Mid-market;ERP, Multicurrency, Intercompany, Reporting & Analysis services, Project & Job costing, general ledger, accounts receivable, accounts payable, Inventory control;Stand-alone and Web-based;
Sage Line 50;Proprietary;{{yes}};{{no}};{{no}};Low-market (for SME);?;Stand-alone;
Sage Pastel Evolution;Proprietary;{{yes}};{{No}};{{No}};Small, medium to mid-size enterprises (SME);Financials, Inventory, Manufacturing, Job Costing, POS, Procurement, CRM, Business Intelligence, Payroll, HR;Stand-alone;
Sage PFW ERP;Proprietary;{{yes}};{{no}};{{yes}};Mid-market;ERP, Process manufacturing;Stand-alone;
SAP Business ByDesign;Proprietary;{{yes}};{{yes}};{{yes}};Small & midsize enterprises (SME);ERP, e-commerce;Web-based;
SAP Business One;Proprietary;{{yes}};{{no}};{{yes}} (Server only)[6];Small & midsize enterprises (SME);ERP, e-commerce;Stand-alone;
SAP ERP;Proprietary;{{yes}};{{yes}};{{yes}};Midsize to High-end;ERP, CRM, SCM, SRM, PLM, Global Trade Services (GTS), e-commerce, Business Intelligence, Mobile Business;Stand-alone and Web-based;
Simply Accounting;Proprietary;{{yes}};{{no}};{{yes}};Low-end;Business Accounting, Retail, Inventory Control;Stand-alone;
Softline Pastel;Proprietary and Software as a service;{{yes}};{{yes}};{{No}};Low-end to high-end markets;Accounting, ERP, CRM, financials, business intelligence, POS, small business accounting, mid-sized enterprise accounting, large enterprise accounting, payroll, HR;Stand-alone;
Sybiz Vision;Proprietary and Software as a service;{{yes}};{{yes}};{{yes}};Low- to high-end market;Accounting software, payroll, manufacturing, project management, job costing, multi-currency, inventory management, traceability and auditing, business intelligence, budgeting, reporting and analytics;Stand-alone, Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable;
Tally Solutions;Proprietary and Software as a service;{{yes}};{{yes}};{{yes}};Low to high-end market;Accounting software, payroll, manufacturing, traceability and auditing, budgeting, reporting and analytics;Stand-alone, Multi-User/Location, Web Access, Mobile Access;
TRAVERSE;Proprietary;{{yes}};{{no}};{{no}};Low to mid-market;ERP, CRM, SCM, Intercompany, Multicurrency, Manufacturing, Distribution, E-commerce, Mobile Business Solutions, Reporting & Business Intelligence;Stand-alone;
Wave Accounting;Proprietary;{{yes}};{{yes}};{{yes}};Entrepreneurs, freelancers, contractors, consultants, small businesses – Low-end market);Accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting, Multi-currency, automatic bank feeds, small business reporting, payroll integration;Web-based;
Xero;Software as a Service;{{yes}};{{yes}};{{yes}};Low to mid-market. Small & midsize enterprises (SME);Accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting, Multi-currency, automatic bank feeds, standard business reporting, management reporting, fixed asset depreciation, payroll, inventory items, expenses management;Web-based;
ZipBooks;Proprietary;{{yes}};{{yes}};{{yes}};Low to mid-market;Invoicing, expense tracking, time tracking, credit card processing, bank integration;Web-based;
Package;License;Windows;OS X;Linux;Market focus;Type;Structure;
