Meaning;Spanish;Portuguese;Notes;
plane;cepilladora < Lat. {{sm|cippus + dora}};plaina < Lat. {{sm|planea}};;
camshaft, camshaft tree;árbol de levas < Lat. {{sm|arb?s + levare}};árvore de cames < Lat. + Germanic {{sm|arb?s + kamm}};;
gills;branquias < Lat. < Gr. {{sm|branch?a < ???????}};guelras < Proto-Germanic {{sm|gelunaz}};In zoology, Port. also uses brânquias (branchiae).;
goose;oca < Lat. {{sm|auca}};ganso < Gothic/Suebian {{sm|gans}};Spanish also has ganso.;
chicken;pollo < Lat. {{sm|pullus}};frango < Probably Fr. francolin < Ita. francolino, all of {{sm|uncertain origin|}};;
lamp;lámpara < Lat. {{sm|lamp?da}};'candeeiro < Lat. {{sm|candelae}};Portuguese lâmpada usually means 'light bulb' (except in certain idioms, like lâmpada de Aladino, i.e., 'Aladdin's lamp');
meal;comida < Lat. {{sm|comedere}};refeição, repasto (arch.) < Lat. {{sm|refectionis, re+pastus|}};Portuguese 'comida' means food;
owl;búho < Lat. {{sm|bubo}};coruja (*maybe from Lat. cunicularis) of {{sm|uncertain origin|}};;
kennel;perrera < uncertain origin, perhaps Pre-Roman. {{sm|perro + era}};canil < Lat. {{sm|canis + il|}};;
cattery;criadero < Lat. {{sm|cre?re + era}};gatil < Proto-Ger. {{sm|kattuz + il|}};;
ground;suelo < Lat. {{sm|solum}};chão < Lat. {{sm|planus}};Port. also has solo.;
office;despacho < Lat. {{sm|dispactus}};gabinete, escritório < Occitan, Lat. {{sm|cabana, script?rium}};;
ground floor;planta baja < Lat. {{sm|planta + bassus}};rés-do-chão, rés-de-chão< Lat. {{sm|r?sus + planus}};Brazilian Port. tends to use térreo;
buoy;flotador < Fr. + Sp. suffix {{sm|flotter + dor}};boia < Old Fr. bouée < Frankish {{sm|baukan}};;
nappy, diaper (baby);pañal < Lat. {{sm|pannus}};fralda < Gothic {{sm|falthan/faldan}};;
performance;representación < Lat. {{sm|representatio}};performance < Eng 'performance' < Anglo-French {{sm|performer < parfornir}};;
preemptive;preventivo < Lat. {{sm|praeventus}};preemptivo < Eng 'preemptive' < Lat {{sm|praeemptio}};;
report;informe < Lat. {{sm|informis}};relatório < Lat. relatus + ório suffix < {{sm|refferre}};;
highlight;realce < Lat. + prefix {{sm|re + altiare}};destaque < Germanic {{sm|stak}};;
prison;cárcel < Lat. {{sm|carcer}};prisão< Lat. {{sm|prehensionis}};Span. also has prisión and Port. archaic cárcere.;
squirrel;ardilla < Pre-Roman {{sm|harda}} or probably Berber {{sm|a?árda}};esquilo Lat. sc?r??lus < Gr. {{sm|????????}};;
garret, mansard;zaquizamí,[7] buhardilla < Hisp-Ar. {{sm| ??? ?? ?????? (saqf fassam?)}}, < Lat. {{sm|bufus < buharda}};água-furtada, mansarda < Lat. {{sm|aquam + furtus}}, < Fr. {{sm|mansarde < François Mansart (architect)}};;
watercress;berro < Celtic {{sm|b?r?ro}};agrião < Gr. {{sm|??????}};;
mint;menta < Lat. mentha < Gr. {{sm|?????}};hortelã < Lat. {{sm|hortus}};Port. also has menta.;
sour cherry;cereza gordal < Lat. {{sm|cerasium + gurdus }};ginja < Frankish {{sm|w?hsina}};;
stepchild;hijastro(a) < Lat. {{sm|filiaster}};enteado(a) < Lat. {{sm|ante + natum}};;
step-brother;hermanastro(a) < Lat. + suffix {{sm|germanus + astro}};meio-irmã(o) < Lat. {{sm|medius + germ?nus}};;
stump, amputated limb;muñón < Pre-Roman/Basque {{sm|muno}};coto < Celtic-Goidelic {{sm|cotach < cuid }};;
baby changing (area);cambiador (infantil) < Lat + dor {{sm|cambium}};fraldário < Gothic + arius {{sm|faldan}};;
blade;hoja < Lat. {{sm|folium}};lâmina < Lat. {{sm|lamm?na}};;
butcher(s)(shop);carniceria < Lat. {{sm|carniceus}};talho < Lat. {{sm|taleare}};;
shoe polish;betún < Lat. {{sm|bit?men}};graxa < Lat. {{sm|crassus}};;
shaving;afeitar < Lat. {{sm|affect?re}};barbear < Lat. {{sm|barba + ear}};;
pocket knife;navaja < Lat. {{sm|novac?la}};canivete < Old Fr. {{sm|canivet < Frankish 'knif'[8] }};Portuguese 'navalha' means razor.;
diving;buceo < Port. {{sm|búzio < Lat. buc?na}};mergulhar < Lat. {{sm|merguli?re}};;
bait;cebo < Lat. {{sm|cibus}};isca < Lat. {{sm|escae}};;
skirt;falda < Germanic {{sm|faldan}};saia < Lat. sagum < Celtic {{sm|sagos, sag}};;
glasses;gafas < Uncertain, maybe Arabic {{sm|qafca}}[9];óculos < Lat. {{sm|oculus}};;
stiffness (muscular);agujetas < Lat. {{sm|acus + suffix eta}};dor muscular < Lat. {{sm|dolor + mus +culus}};;
operating theatre;quirófano < Gr. {{sm|???? + ?????}};sala de operações, sala de cirurgia, bloco operatório < Ger + Lat. {{sm|sal + operatio}}, < Ger + Gr. {{sm|sal + ???????????}}, < Ger + Lat. {{sm|bluk(k)an + operatio}};;
stem cell research;investigación con células madre < Lat. {{sm|vestigium + cum + cellula + mater}};pesquisa de células estaminais < Lat. {{sm|perquirere + de + cellula + staminis}};;
stream, creek;arroyuelo < Pre-Roman {{sm|arrugia}};ribeira, ribeiro < Lat. {{sm| riparius < ripae}};;
stubborn;testarudo < Lat. {{sm|testa + rudis}};teimoso < Lat. {{sm|thema}}, < Gr. {{sm|théma}};;
plateau;meseta < Lat. {{sm|mensa + Sp. suffix eta}};planalto < Lat. {{sm| planus + altus}};;
wave;ola < Uncertain origin {{sm|}};vaga < Gothic {{sm|vega}}[10] or < Old Norse {{sm|vágr}},[11] both from Ancient Germanic 'vigan' to shake;Port. also has onda.;
broom;aulaga < Ar. {{sm|algawláqa}};vassoura, giesta, carqueja < Lat. {{sm|verrere}}, < Lat. {{sm|genista}}, < Maybe Lat. {{sm|quercus}};;
pants, knickers;bragas < Lat. braca < Celtic {{sm|bracae}};cuecas < Lat. {{sm|culus + suffix 'ecas'}};;
(bed) sheet;sábana < Lat. {{sm|sab?na}};lençol < Lat. {{sm|linteolum}};;
basketball;baloncesto < Frankish {{sm|balla}} + Lat. {{sm|cista}};basquetebol < Eng. {{sm|basketball}};;
reporter;periodista, periodicista < {{sm|periódico+ suffix 'ista'}};repórter < Eng. {{sm|reporter < Medieval Fr. reporteur}};Spanish also has reportero;
ricochet;rebote < Frankish + Lat. prefix {{sm|boter}};ricochete < Fr. {{sm|ricochet}};;
riff-raff, mob;chusma < Genoese ciüsma < Gr. {{sm|????????}};canalha < Occitan {{sm|canalha}};;
cashew;anacardo < Lat. {{sm|anacardium}};caju < Tupi {{sm|aka'yu}};;
mushrooms;setas < Uncertain origin;cogumelos < Lat. {{sm|cucumellum < cucuma}};;
oleander;adelfa < Ar. {{sm|???? diflà}};aloendro, loendro'< Lat. {{sm|lorandrum}};;
pumpkin;calabaza < Pre-Roman;abóbora < Lat. {{sm|peporis}};Port. cabaça means 'calabash;
squid;calamar < Lat. {{sm|calamarius}};lula < Lat. {{sm|lura}};Port. also has calamar;
date;fecha < Lat. {{sm|facta}};data < Lat. {{sm|data}};;
elsewhere, somewhere, nowhere;en otro lugar < Lat. {{sm|in alter localis}}, en alguna parte < Lat. {{sm|in aliquis unos pars}}, en ningún lugar < Lat. {{sm|in nec unus localis}};alhures < Provençal {{sm|alhors}}, algures < Lat. + Provençal {{sm|aliquod + hors}}, nenhures < Lat. + Provençal {{sm| nec + hors}};;
nobody;nadie < Lat. {{sm|nati < natus}};ninguém < Lat. {{sm|nec + quem}};;
lawn;césped < Lat. caespes;relvado, grama < Lat. relevare, < Lat. gramen;;
holiday, vacation;vacaciones < Lat. vacatio < vacationis;Férias < Lat. feriae;;
card;tarjeta < Fr. targe + diminutive suffix eta;cartão, carta < Gr. ?????? < Lat. charta;;
beef steak;filete < Lat. filum;bife < Eng. beef steak;Port. also has filé;
retaliation;retorsión < Lat. retorsus;retaliação < Lat. retalio;;
remorse;arrepentimiento < Lat. {{sm|re + paenitere}};remorso(s) < Lat. {{sm|remorsus < remordere}};Sp. also has remordimiento;
boot (car);maletero < Old Fr. + Sp. suffix malle + eta + ero;porta-bagagens < Lat. + Germanic portare + baugaz;;
glove box (car);guantero < Frankish + Sp. suffix want + ero;porta-luvas < Lat. + Gothic/Suebian portare + lôfa;;
thin;delgado < Lat. {{sm|delic?tum}};magro < Lat. {{sm|macrum}};Sp. magro means 'lean', in reference to meat;
surface, peel;superficie < Lat. superfic?es;tona < Celt. tond?/tunna;Port. also has superfície.;
earring;pendiente < Lat. pendere;brinco < Lat. vinculum;;
watermelon;sandía < Ar. sindiyyah;melancia < balancia < Lat. bilanx;;
passion fruit;fruto de la pasión < Lat. fructa + passio;maracujá < Tupi moruku'ia;Sp. also has maracuyá;
window;ventana < Lat. {{sm|vent?nam}};janela < Lat. {{sm|i?nuellam}};Lat. {{sm|vent?nam}} 'wind opening' < {{sm|ventus}} 'wind'. Lat. {{sm|i?nuella}} is a diminutive of {{sm|i?nua}} 'door, opening' (the same root as Eng. January and janitor) < the name {{sm|ianus}}, the God of gates or doors.;
counter;ventanilla < Lat. {{sm|vent?nam + suffix 'illa'}};balcão < Germanic {{sm|balk?n}};Sp. balcón means 'balcony';
to disrupt, to get in the way (of someone/smthg);molestar, estorbar < Lat. {{sm|molestus}}, {{sm|exturb?re}};atrapalhar < Low-Frankish {{sm|trappa}};;
to erase;borrar < Late Lat. {{sm|burr?re}};apagar < Lat. {{sm|app?c?re}};Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port., e.g. apagar a luz 'to turn off the light').;
to forget;olvidar < Lat. {{sm|obl?t?re}};esquecer < Lat. {{sm|excadescere}};Olvidar also exists in Port. (but is far less common). A learned cognate, obliterar, exists in both languages.;
to retort, to strike back;contraatacar < Lat. + Ita. {{sm|contra + attaccare}};ripostar < Fr. {{sm|riposter}};;
to throw, to add;echar < Lat. {{sm|iactare}};atirar, pôr < Gothic/Suebian {{sm|taíran}}, < Lat. {{sm|ponere < pono }};;
to smell;oler < Lat. {{sm|ol?re}};cheirar < Lat. {{sm|flagr?re}};;
to snore;roncar < Lat. {{sm|ronchus}} < Gr. {{sm|??????}};ressonar Prefix + < Lat. {{sm|re + sonare}};;
slug;babosa < Lat. {{sm|baba + osa}};lesma < Lat. {{sm|limax}};;
simple;sencillo < Lat. {{sm|singulus}};simples < Lat. {{sm|simplex}};Sp. also has simple.;
stage;escenario < Lat. {{sm|scenarium}};palco < Langobardic {{sm|palk}};;
fear;temor < Lat. {{sm|timore}};receio < Lat. re + {{sm|celare}};Port. also has temor.;
harvest, crop;cosecha < Lat. {{sm|collecta}};seara < Celtic {{sm|seni + aro}};Port. colheita and recolha (both < Lat. {{sm|collecta}}) generally refer to the harvest of crops, wine or data collection (i.e. online surveys, personal data).;
black;negro < Lat. {{sm|niger}};preto < Lat. {{sm|pressus}} 'compressed, dense';Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark", "tan", or "swarthy" in a similar fashion to moreno in both Sp. and Port.).;
near;cerca < Lat. {{sm|circa}};perto perh. < Lat. *{{sm|prettus}}, alteration of {{sm|pressus}} 'compressed';;
far;lejos < Lat. {{sm|laxius}};longe < Lat. {{sm|longe}};;
spark;chispa (onomatopoeic);faísca < Germanic {{sm|falwiskan}};;
shard;esquirla < Lat. {{sm|schidia}}, < Indo-European {{sm|skei}};lasca < *Proto-Germanic {{sm|laska}}, or < *Lat. {{sm|lesca}};;
toy;juguete < Lat. + Sp. suffix {{sm|iocus + ete}};brinquedo < Proto-Germanic {{sm|blinkan?, bl?kan?}};;
swine;cochino (onomatopoeic);suíno < Latin su?nus < Proto-Germanic {{sm|sw?n?}};;
dew;rocío < Lat. {{sm|rosidus}};orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic {{sm|?r? + fallan?}};;
pen;bolígrafo < Lat. {{sm|bulla + Gr. ???????}};caneta < Lat. {{sm|cannae + Por. eta}};;
print (evidence);huella < Lat. {{sm|follare}};marca < Germanic {{sm|marka}};;
windrow;hilera < Lat. {{sm|f?lum}} + Sp. ?era;leira < Proto-Celtic {{sm|?l?ryo}};;
yesterday;ayer < Lat. {{sm|ad heri}};ontem < Lat. {{sm|ad noctem}};;
to stay;quedarse < Lat. {{sm|quiet?re}};ficar < Vulg.Lat. *{{sm|figic?re}};;
hairdresser;peluquero < peluque < French perruque "wig";cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. {{sm|capillus}};Port. peruca means 'wig';
chair;silla < Lat. {{sm|sella}};cadeira < Lat. *{{sm|cathedra}}, perh. < Proto-Celtic *{{sm|cathair}};;
cup, mug;taza < Arabic {{sm|?assa}};chávena < Malay {{sm|chãvan}} < Chinese < {{sm|chã-kvãn}}, caneca < Germanic {{sm|can}};Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl x?calli.;
fork;tenedor < Lat. + Sp. suffix {{sm|ten?re + dor}};garfo < either via Lat. {{sm|graphium}} or < Fr. {{sm|greffe}};;
ladybird;mariquita < Lat. toponymic Maria + dimin.suffix 'quita';Joaninha < Lat. toponymic {{sm|Iohanna + suffix 'inha'}};;
robin;petirrojo < Lat. pectus + russus;pisco < Lat < Gaulish {{sm|pincio}};;
peach;melocotón < Lat. {{sm|malum cotonium}};pêssego < Lat. {{sm|[malum] persicum}};;
pillowcase;funda < Lat. {{sm|fundus}};fronha < Celt. {{sm|srogna}};;
grasshopper;saltamontes < Lat. {{sm|salto + mons}};gafanhoto < Proto-Celtic {{sm|gabal?}};;
weasel, skunk;mofeta < Ita. {{sm|moffetta}};doninha < Lat. {{sm|domina + Port. suffix inha}};;
trousers;pantalón < Fr. {{sm|pantalon}} < Ita. {{sm|pantaleone}};calças < Lat. {{sm|calceu}};;
doorbell;timbre"(de la puerta) < Fr. {{sm|timbre}};campainha < Lat. {{sm|campana}};Spanish also has campanilla.;
thunder;trueno < Lat. {{sm|tonare}};trovão < Lat. {{sm|turb?nis}};;
noise;ruido < Lat. {{sm|rugitus}};barulho < Gaulish {{sm|bruge}};Port. also has ruído;
handicapped;minusválido < Lat. {{sm|minus + valere}};Deficiente < Lat. {{sm|deficiens}};;
development;desarrollo < Lat. + prefix des {{sm|rotulus}};desenvolvimento < Lat. + des {{sm|involvo}};;
unavoidable;indefectible < Lat. + prefix in {{sm|defectib?lis}};incontornável < Lat. + prefix in {{sm|con+tornare}};;
drug addict;drogadicto < Eng. {{sm|drug addict}};toxicodependente, drogado < Lat. {{sm|toxicum + dependens}}, < Fr. {{sm|drogue}};Both Port. and Sp. have 'toxicomania' for drug addiction;
budget;presupuesto < Lat. {{sm|pre+sub+positus}};orçamento < Uncertain, Ita. 'orza' or likely Frankish *lurz + Lat. {{sm|orça[12] + mentum}};;
