;RAW imports;BMP;GIF;JPEG;JPEG 2000;HD Photo;PNG;TIFF;PSD;PSP;XCF;PCX;ORA;HEIF;
Fatpaint;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
Fotografix;{{partial}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{partial|Import only}};{{no}};{{partial|Import only}};{{partial|Import only}};;;
GIMP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[36];{{partial|Via plug-in}}[37];{{yes}};{{partial|Single page only}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
GIMPshop;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
GrafX2;{{no}};{{yes}};{{yes}};{{partial|Import only}};{{no}};{{no}};{{yes}};{{partial|Import only}};{{no}};{{no}};{{no}};{{yes}};;;
GraphicConverter;{{partial}}[38];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[39];{{yes}};;;
HDR PhotoStudio;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Helicon Filter;{{yes}};{{yes}};Import;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};;;
ImageMagick;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};;;
iPhoto*;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};;;
IrfanView;{{partial|Via plug-in}};{{yes}};{{yes}};{{yes}};{{partial|Via plug-in}};{{partial|Via plug-in}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;
Iridient Developer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};;;
Kolourpaint;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};Import;{{yes}};;;
Krita;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};Import;{{yes}};;
LiveQuartz;{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{partial}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
LazPaint;;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;;;{{yes}};;
MacPaint*;{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
Microsoft Office Picture Manager*;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{partial|First page only}}[40];{{no}};{{no}};{{no}};{{yes}};;;
Microsoft Paint;{{no}};{{yes}};{{partial}}[41];{{yes}};{{no}};{{no}};{{partial}}[41];{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Microsoft Photo Editor*;{{no}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{no}};{{no}};{{no}};{{no}};Import;;;
OpenCanvas;{{dunno}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}}[42];{{no}};{{no}};{{dunno}};;;
Paint.NET;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[43];{{yes}};{{partial|Via plug-ins}}[44];{{partial}};{{no}};{{no}};{{yes}};;;
PC Paintbrush*;{{dunno}};{{no}};{{yes}};{{no}};{{no}};;{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};;;
Photofinish*;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};;;
Photogenics;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};;;
PhotoLine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};;;
PhotoPerfect*;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{partial|No layer support}};{{yes}};{{no}};{{yes}};;;
Photos;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};;;
Photo Raster;{{no}};{{partial|Import}};{{partial|Import}};{{yes}};{{no}};{{no}};{{yes}};{{partial|Import}};{{no}};{{no}};{{no}};{{partial|Import}};;;
Picasa*;{{yes}};Import;Import;{{yes}};{{no}};;Import;{{no}};Import;{{no}};{{no}};{{no}};;;
PicMaster;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};;;
PixBuilder Photo Editor;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};;;
Pixelmator;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};;;
Pixia;{{dunno}};{{yes}};{{no}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};;;
PMview;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
Project Dogwaffle;{{dunno}};{{yes}};{{no}};{{yes}};{{no}};;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
QFX;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};;;
RawTherapee;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Seashore;{{dunno}};{{partial}};{{partial}};{{yes}};{{partial}};;{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};;;
Serif PhotoPlus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};;;
Tux Paint[45];{{no}};{{yes}};Import;Import;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
TVPaint;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
Ulead PhotoImpact*;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{partial}};Import;{{no}};{{yes}};;;
Ultimate Paint*;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};;;
WinImages;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};;;
Xara Photo & Graphic Designer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Import only}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
XnView;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Import;{{yes}};;;
XPaint;{{no}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Zoner Photo Studio;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Import only}};{{yes}};{{yes}};{{yes}};{{partial|Import only}};{{partial|Import only}};{{no}};{{yes}};;;
