File system;Creator;Year of introduction;Original operating system;
FAT32, FAT32X;Microsoft;1996;MS-DOS 7.10 / Windows 95 OSR2{{efn |name=note-10 |Microsoft first introduced FAT32 in MS-DOS 7.1 / Windows 95 OSR2 (OEM Service Release 2) and then later in Windows 98. NT-based Windows did not have any support for FAT32 up to Windows NT4; Windows 2000 was the first NT-based Windows OS that received the ability to work with it.}};
QFS;Sun Microsystems;1996;Solaris;
GPFS;IBM;1996;AIX, Linux;
Be File System;Be Inc. (D. Giampaolo, Cyril Meurillon);1996;BeOS;
Minix V2 FS;Andrew S. Tanenbaum;1997;MINIX 2.0;
HFS Plus;Apple;1998;Mac OS 8.1;
NSS;Novell;1998;NetWare 5;
PolyServe File System (PSFS);PolyServe;1998;Windows, Linux;
ODS-5;DEC;1998;OpenVMS 7.2;
WAFL;NetApp;1998;Data ONTAP;
ext3;Stephen Tweedie;1999;Linux;
ISO 9660:1999;Ecma International, ISO;1999;Microsoft Windows, Linux, "classic" Mac OS, FreeBSD, and AmigaOS;
JFS;IBM;1999;OS/2 Warp Server for e-business;
GFS;Sistina (Red Hat);2000;Linux;
ReiserFS;Namesys;2001;Linux;
zFS;IBM;2001;z/OS (backported to OS/390);
FATX;Microsoft;2002;Xbox;
UFS2;Kirk McKusick;2002;FreeBSD 5.0;
OCFS;Oracle Corporation;2002;Linux;
SquashFS;Phillip Lougher, Robert Lougher;2002;Linux;
VMFS2;VMware;2002;VMware ESX Server 2.0;
Lustre;Cluster File Systems[5];2002;Linux;
Fossil;Bell Labs;2003;Plan 9 version 4;
Google File System;Google;2003;Linux;
ZFS;Sun Microsystems;2004;Solaris;
Reiser4;Namesys;2004;Linux;
Non-Volatile File System;Palm, Inc.;2004;Palm OS Garnet;
BeeGFS;Fraunhofer/ ThinkParQ;2005;Linux, Windows via Samba;
GlusterFS;Gluster Inc.;2005;Linux;
Minix V3 FS;Andrew S. Tanenbaum;2005;MINIX 3;
OCFS2;Oracle Corporation;2005;Linux;
NILFS;NTT;2005;Linux;
VMFS3;VMware;2005;VMware ESX Server 3.0;
GFS2;Red Hat;2006;Linux;
ext4;various;2006;Linux;
exFAT;Microsoft;2006;Windows CE 6.0;
Btrfs;Oracle Corporation;2007;Linux;
JXFS;Hyperion Entertainment;2008;AmigaOS 4.1;
HAMMER;Matthew Dillon;2008;DragonFly BSD 2.0;
LSFS;StarWind Software;2009;Linux, FreeBSD, Windows;
UniFS;Nasuni;2009;Cloud;
CASL;Nimble Storage;2010;Linux;
OrangeFS;Omnibond and others;2011;Linux;
VMFS5;VMware;2011;vSphere 5.0+;
ReFS;Microsoft;2012;Windows Server 2012;
F2FS;Samsung Electronics;2012;Linux;
bcachefs;Kent Overstreet;2015;Linux;
APFS;Apple;2016;macOS High Sierra, iOS 10.3;
NOVA;UC, San Diego;2017;Linux;
