RVP (Windows Messenger, etc.);RVP (Windows Messenger, etc.);Microsoft;1997 Mar;Proprietary (Discontinued);Windows Active Directory Login;{{No}};{{No}};{{No}};{{dunno}};{{No}};{{No|Centralistic}};{{No}}ne;{{No}};{{dunno}};{{dunno}};{{No}};{{No}};{{No}};
Ricochet;Ricochet;Invisible.im;2014 Mar;{{free|Open standard}};Tor onion address;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};
Ring (based on DHT and SIP);Ring (based on DHT and SIP);Savoir-faire Linux Inc.;2015 May;{{free|Open standard}};40-digit address;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};Medium;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};
Signal Protocol;Signal Protocol;Open Whisper Systems;2014 Feb[3];{{free|Open standard}};Phone number (e.g. +1234567890);{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}}, contact blocking;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
SIP/SIMPLE;SIP/SIMPLE;IETF;2002 Dec;{{free|Open standard}};user@hostname;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};Medium;{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{No}};Depends on implemenation;
Skype;Skype;Skype;2003 Aug;Proprietary;Username;{{Yes}};{{Proprietary}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
Steam Friends;Steam Friends;Valve Corporation;2003 Sep 12;Proprietary;SteamID/Username or Unique Number;{{Yes}};{{Proprietary}};{{dunno}};{{No|No, although rising}};{{Yes}};{{dunno}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};
TOC2;TOC2;AOL;2005 Sep;Proprietary (Discontinued);Username or UIN e.g. 12345678;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No|Centralistic}};{{No}};paying members only;{{dunno}};{{dunno}};{{partial}};{{dunno}};{{No}};
TOX (based on DHT);TOX (based on DHT);irungentoo (github user);2013 June;{{free|Open standard}};Public & Private key;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};
Tuenti;Tuenti;Tuenti;2006;Proprietary;Username;{{Yes}};{{Yes}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{No}};
Windows Messenger service;Windows Messenger service;Microsoft;1990;Proprietary (Discontinued);NetBIOS;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
XMPP/Jingle (Google Talk);XMPP/Jingle (Google Talk);Jeremie Miller, standardized via IETF;1999 Jan;{{free|Open standard}};Jabber ID (JID) e.g. usr@a.b.c/home2;{{Yes}};{{Yes}};{{Optional|Optional, multiple implementations}};{{Yes}};{{Yes}}[4];{{No|Unicast lists}}[5];{{Optional|Several standardized types}}[6];{{Optional}};{{Yes}};{{Yes}};{{Yes}};{{yes}}[7];{{Optional}}[8];
YMSG (Yahoo! Messenger);YMSG (Yahoo! Messenger);Yahoo!;1998, March 9;Proprietary;Username;{{Yes}};{{No}}{{Update inline|reason=YMSG probably uses TLS based on EFF scorecard from November 2014: https://www.eff.org/node/82654 |?=yes|date=July 2016}};{{No}};{{No}};{{Yes}};{{No|Centralistic}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
Zephyr Notification Service;Zephyr Notification Service;MIT;1987;{{free|Open standard}};Kerberos principal e.g. user@ATHENA.MIT.EDU;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};
SMS/MMS/EMS/Call;SMS;Friedhelm Hillebrand;1985;Proprietary;Phone number (e.g. +1234567890);{{Yes}};{{No}};{{No}};About 250 contacts in SIM, unlimited from phone.;{{No}};serial messages;Medium;{{No}};{{yes}};{{No}};{{No}};{{No}};{{dunno}};
Protocol;Creator;First public release date;License;Identity (not inc. alias);Asynchronous message relaying;Transport Layer Security;End-to-end encryption;Unlimited number of contacts;Bulletins to all contacts;One-to-many routing 4;Spam protection;Group, channel or conference support;Audio/VoIP support;Webcam/Video;Batch file sharing;Media synchronisation;Serverless 6 (decentralized);Protocol;
