;Description;Creator;First public release date;Latest stable version;Latest Stable Release Date;List Price (USD);Software license;
GraphicConverter;Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins;Thorsten Lemke;{{dts|1992}};10;;;{{proprietary}};
GraphicsMagick;Commandline image converter and editor;GraphicsMagick Group;{{dts|2002}};1.3.21;;;{{free|MIT}};
gThumb;Image viewer and organizer for the GNOME desktop environment;Paolo Bacchilega;{{dts|2001}};3.4.0;;;{{free|GPL3}};
HDR PhotoStudio;HDR (High Dynamic Range Editor) with human vision imaging model;Unified Color;{{dts|2009|10}};2.15.37;;;{{proprietary}};
Helicon Filter;Advanced image editor with a simplified tabbed interface;Helicon Soft Ltd.;{{dts|2004|08}};5.0.28;;;{{proprietary}};
ImageJ;Image processing program developed at the National Institutes of Health.;Wayne Rasband (NIH);{{dts|1997}};1.46m;;;{{free|Public Domain}};
ImageMagick;Command line software suite for displaying, converting, and editing raster image files;ImageMagick Studio LLC;{{dts|1990}};6.7.7-7;;;{{free|Apache 2.0}};
iPhoto*;Image organizer and basic editor for macOS; replaced by Photos;Apple Inc.;{{dts|2002}};9.6;;;{{proprietary}};
IrfanView;Image and video viewer with basic editing functions;Irfan Skiljan;{{dts|1996}};4.44[3];December 20, 2016;;{{nonfree|Freeware}};
Iridient Developer;Powerful raw image conversion application designed and optimized for macOS;Iridient Digital;{{dts|2004}};3.0.3;;;{{proprietary}};
Kolourpaint;;KDE;{{dts|2004}};1.2.2;;;{{free|BSD}};
Krita;Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.;KDE;{{dts|2005}};4.1.1;{{dts|2018|07|17}};;{{free|GPL}};
LazPaint;Free multiplatform layered image editor;circular;{{dts|2011}};6.2;;;{{free|GPL}};
LiveQuartz;Basic multi-layer photo editor;Romain Piveteau;{{dts|2005}};2.8;December 1, 2018;;{{proprietary}};
MacPaint*;Obsolete basic editor;Bill Atkinson;{{dts|1984}};2.0;;;{{proprietary}};
Microsoft Office Picture Manager*;Basic image editor;Microsoft;{{dts|2002}};14.0;;;{{proprietary}};
Microsoft Paint;Basic graphic creator and editor packaged with Microsoft Windows operating systems;Microsoft;{{dts|1985}};6.1;;;{{proprietary}};
Microsoft Photo Editor*;Obsolete basic image editor for Windows;Microsoft;{{dts|2000}};3.01;;;{{proprietary}};
MyPaint;Digital painting Application;Martin Renold;{{dts|2005|03|12}};1.2.1;January 21, 2017;;{{free|GPL2}};
OpenCanvas;;Portalgraphics;{{dts|2000}};4;;;{{proprietary}};
paint.net;Freeware image editor and graphics creator based on the .Net framework;Rick Brewster, et al.;{{dts|2004|05|06}};4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP);October 2, 2017;;{{nonfree|Freeware}}[4][5];
PC Paintbrush*;Obsolete basic editor;ZSoft Corporation;{{dts|1984}};5;;;{{proprietary}};
Pencil2D;2D graphical animation software.;Pascal Naidon;;0.4.4;;;{{free|GPL}};
Phatch;Editor for batch processing digital graphics and photographs.;Stani Michiels;;0.2.7;;;{{free|GPL}};
Photofinish*;;ZSoft Corporation;{{dts|1993}};2;;;{{proprietary}};
Photogenics;Made to create 32-bit HDRs;Idruna Software Inc.;{{dts|1995}};HDR 7.0;;;{{proprietary}};
PhotoLine;Image editor with advanced features;Computerinsel (Germany);{{dts|1995}};20.53;2018;€59;{{proprietary}};
PhotoPerfect*;Image editor with some advanced features;Arcadia Software AG, Joachim Koopmann Software;{{dts|2002}};2.9;;;{{proprietary}};
Photos;Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards;Apple Inc.;{{dts|2014}};1.0;;;{{proprietary}};
Photo Raster;Advanced online photo editor;David Levinsky;{{dts|2012}};0.9;;;{{proprietary}};
Picasa*;Efficient image organizer with basic editing tools, other image effects;Google;{{dts|2002}};3.9.141.259;{{dts|2015|10|09}};Discontinued;{{nonfree|Freeware}};
PicMaster;Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more;Alexander Sabov;{{dts|1999|12}};4.03;;;{{proprietary}};
Pinta;Mid-level Free and Open Source raster graphics editor, based on Paint.Net;Jonathan Pobst;{{dts|2010|02|07}};1.5;;;{{free|MIT}};
PixBuilder Photo Editor;;WnSoft Graphic Software;{{dts|2005|06}};1.31;;;{{proprietary}};
Pixelmator;Image editor and graphics creator for macOS;Pixelmator Team ltd.;{{dts|2007|09|25}};3.0;;;{{proprietary}};
Pixen;Pixel art and sprite editor for macOS;Open Sword Group;;3.8;;;{{proprietary}};
Pixia;Originally designed for Anime/Manga art.;Isao Maruoka;{{dts|1998}};4.70d;;;{{proprietary}};
