Meaning;Portuguese < French;Spanish;
crochet;crochê, croché < crochet;ganchillo < gancho (probably pre-Roman);
courgette, zucchini;courgette, curgete < courgette;calabacín < Persian {{sm|kharbuz}};
cutlery;couverts < couverts (de table);cubiertos < Lat. {{sm|coopertus}};
takeoff (aviation);decolagem, descolagem < décollage;despegue < Lat. des + picare;
panelling (architecture/building);lambri, lambril, lambrim < lambris;zócalo(s) < Lat. socculus;
tip (money);gorjeta < gorge + suffix 'eta';propina < Lat. propin?re < Gre. propinein;
screen;ecrã, écran < écran;pantalla < Catalan ventall(a) or Fr. ventaille;
package, packing;embalagem < emballage;envase < Lat. {{sm|vasum}};
envelope;envelope < enveloppe;sobre < sobre (Spanish preposition);
crook, swindler;escroque < escroc;estafador < estafar < Ital. staffare;
puppet, marionette;marionete < marionette;títere < onomatopoeic;
ravine;ravina < ravine;barranco, arroyo < Pre-Roman {{sm|barruanjo, arrugia}};
grill, rotisserie;rotisseria < rôtisserie;assador < Lat + suffix {{sm|assus}};
rouge, blush;rouge, ruge < rouge;colorete < Lat. {{sm|coloris + suffix 'ete'}};
rubber boot, Wellington boot;galocha < galoche;katiuska < Russ. ??????? (woman's name);
souvenir;souvenir < souvenir;recuerdo < Lat. {{sm|re + cordis}};
strike (work stoppage);greve < grève;huelga < holgar < Late Lat. {{sm|f?llic?re}};
turmoil;turbilhão < tourbillon;vorágine, torbellino < Lat. {{sm|vor?g?nis, turbo?nis}};
vernissage;vernissage, vernissagem < vernissage;inauguración < Lat. {{sm|inaugurare}};
voyeur;voyeur < voyeur;mirón < Lat. {{sm|mirari}};
nightclub, club;boate, boîte < boîte;club de noche, nightclub < Eng. club + Sp. de noche, < Eng. nightclub;
box office, ticket window;guichê < guichet;taquilla < Arabic ??qa;
wheel rim;jante < jante;aro < Lat. {{sm|arum}} < Greek {{sm|????}};
newspaper;jornal < journal;periódico < período < Lat. {{sm|periodus}}< Anc.Gr. ????????;
madam;madame < madame;señora < Lat. {{sm|seni?rem}};
menu;menu < menu;lista < Lat. {{sm|listam}} (Sp. also has 'menú');
à la carte;à la carte < à la carte;a la carta < Sp. + Lat. {{sm|charta}};
leave things until the last minute;à la dernière < à la dernière (minute);dejar todo para el final < Lat. {{sm|}};
blueberry;mirtilo < myrtille;arándano < Celt. {{sm|aran}} + < Lat. {{sm|rodand?rum}}, (Port. arando means 'cranberry');
Afternoon show;matinée, matiné < matinée;función de tarde < Lat. {{sm|functio + tardus}};
omelette;omelete < omelette;tortilla < Lat.+ diminutive {{sm|torta + illa}};
beef tenderloin;filé mignon < filet mignon;solomillo de ternero < Lat.+ diminutive {{sm|so + limbus + illo + tenerum}};
grill;grelha < grille;parrilla < Uncertain origin {{sm|parra + illa}};
slippers;pantufas < pantoufles;zapatillas de casa < Arabic ???? (sabbat) + Sp. suffix illa;
underpants;trusse, trusses < trousse;calzoncillo < Lat. {{sm|calceus + Sp. suffix illo}};
New Year's Eve;réveillon < réveillon;(fiesta de) nochevieja < Lat. {{sm|noctem + vetulus}};
survey, poll, probe;sondagem < sondage;sondeo < Lat. {{sm|subundare}};
upstream/downstream, upwards/downwards, (tide, waterway, financial markets/economic trends, chain-production, etc.);montante/jusante < montant/jusant;(aguas)abajo / (aguas) arriba < Lat. + prefix {{sm|a + bassus / ad + ripam}};
to scold, to nag;ralhar < railler < Old Occitan ralhar;reñir, regañar < Lat. {{sm|ringere}};
train;comboio < convoi;tren < Fr. train Brazilian Portuguese uses trem < train;
tureen, terrine;terrina, terrine < terrine;sopera < Ger + Sp. {{sm|suppa + era}};
toilet;toalete < toilette;servicios, aseos < Lat. {{sm|servit?um}}, {{sm|assedi?re}}, (etc.);
tour;tournée, turné, turnê < tournée;gira < Lat. {{sm|gyrus}};
screening;triagem < triage;selección < Lat. {{sm|selecti?nem}};
vehicle;viatura < voiture;vehículo < Lat. {{sm|vehiculum}};
