Ingres;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{partial}};{{no}};{{no}};{{yes}}[34];
InterBase;{{yes}};{{yes}};{{yes}};{{no}};{{yes}} (Solaris);{{no}};{{no}};{{yes}};{{yes}};{{no}};
Linter SQL RDBMS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Under Linux on z Systems;{{yes}};{{yes}};{{yes}};
LucidDB;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MariaDB;{{yes}};{{yes}}[35];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}}[36];{{no}};
MaxDB;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{partial|Maybe}};{{no}};{{no}};{{no}};
Microsoft Access (JET);{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft Visual Foxpro;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft SQL Server;{{yes}};{{no}};{{yes}}[37];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft SQL Server Compact (Embedded Database);{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Mimer SQL;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
MonetDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
MySQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}}[38];{{no}};
Omnis Studio;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenBase SQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenEdge;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenLink Virtuoso;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Oracle;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
Oracle Rdb;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};
Pervasive PSQL;{{yes}};{{yes}} (OEM only);{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Polyhedra;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
PostgreSQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (MorphOS)[39];Under Linux on z Systems[40];{{no}};{{yes}};{{no}};
R:Base;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Raima Database Manager;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{Yes|color=}};{{no}};
RDM Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
SAP HANA;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
solidDB;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};Under Linux on z Systems;{{no}};{{no}};{{no}};
SQL Anywhere;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
SQLBase;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
SQLite;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Maybe}};{{Yes}};{{Yes}};{{no}};
SQream DB;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Superbase;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Teradata;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Tibero;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
UniData;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
UniVerse;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
;Windows;macOS;Linux;BSD;UNIX;AmigaOS;z/OS;iOS;Android;OpenVMS;
