n-Crypt Pro;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{n/a}}[96];{{no}};{{no}};{{dunno}};{{dunno}};
PGPDisk;{{no}};{{yes}}[97];{{yes}};{{dunno}};{{yes}};{{yes}}[98];{{dunno}};{{yes}};{{dunno}};{{yes}};
Private Disk;{{no}};{{no}};{{n/a}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Any supported by OS}};{{yes}};
ProxyCrypt;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes|Any supported by OS}};{{yes}};
R-Crypto;{{dunno}};{{no}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes|Any supported by OS}};{{dunno}};
SafeGuard Easy;{{no}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}[99];{{yes|Any supported by OS}};{{yes}};
SafeGuard Enterprise;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}[99];{{yes|Any supported by OS}};{{yes}};
SafeGuard PrivateDisk;{{no}};{{no}};{{n/a}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}[100];{{yes|Any supported by OS}};{{yes}};
SafeHouse Professional;{{no}};{{no}};{{n/a}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Any supported by OS}};{{yes}};
Scramdisk;{{yes}};{{no}};{{n/a}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{yes|Last update to web site 2009-07-02}};
Scramdisk 4 Linux;{{yes}}[101];{{no}};{{n/a}};{{no}};{{no}};{{yes}}[101];{{no}};{{no}};{{yes|ext2, ext3, reiserfs, minix, ntfs, vfat/msdos}};{{no}};
SecuBox;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};
SecureDoc;{{no}};{{yes}}[102];{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};
Sentry 2020;{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
Softraid / RAID C;{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes|Any supported by OS}};{{dunno}};
Svnd / Vnconfig;{{no}};{{no}};{{n/a}};{{no}};{{no}};{{yes}}[103];{{yes}};{{dunno}};{{yes|Any supported by OS}};{{dunno}};
Symantec Endpoint Encryption;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|NTFS, FAT32}};{{yes}};
Trend Micro Endpoint Encryption;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[104];{{yes}}[105];{{no}};{{yes|Any supported by OS}};{{yes}}[106];
TrueCrypt {{r|group=Note|TrueCryptMystery}};{{yes}} (limited to one per "outer" container);{{partial|only on Windows}}[107];{{dunno}};{{no}};{{yes|yes with multiple keyfiles}}[74][108];{{yes}};{{yes}};{{no}}[75];{{yes|Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76] }};{{yes}};
VeraCrypt;{{yes}} (limited to one per "outer" container);{{partial|only on Windows}}[109];{{no}};{{no}};{{yes|yes with multiple keyfiles}};{{yes}};{{yes}};{{no}};{{yes|Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged}};{{yes}};
CyberSafe Top Secret;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged}};{{yes}};
Name;Hidden containers;Pre-boot authentication;Single sign-on;Custom authentication;Multiple keys;Passphrase strengthening;Hardware acceleration;TPM;Filesystems;Two-factor authentication;
