{{color|gray|2002[23] cervical cap and spermicide (discontinued in 2008) used by parous}}[24][24][31];Lea's Shield;{{sort|015.00|15}} (1 of 6);{{sort|100.00|no data}};Barrier + spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
{{color|gray|1988 cervical cap and spermicide (discontinued in 2005) used by nulliparous}}[25];Prentif;{{sort|016.00|16}};{{sort|009.00|9}};Barrier + spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Male latex condom[16][28];Condom;{{sort|018.00|18}} (1 of 5);{{sort|002.00|2}};Barrier;Placed on erect penis;{{sort | 00.030 | Every act of intercourse}};
Female condom[16];;{{sort|021.00|21}} (1 of 4.7);{{sort|005.00|5}};Barrier;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Coitus interruptus[16];withdrawal method, pulling out;{{sort|022.00|22}} (1 of 5)[32];{{sort|004.00|4}};Behavioral;Withdrawal;{{sort | 00.030 | Every act of intercourse}};
Symptoms-based fertility awareness ex. symptothermal and calendar-based methods[16][33][34];TwoDay method, Billings ovulation method, Creighton Model;{{sort|024.00|24 }} (1 of 4);{{sort|003.00|3–4}};Behavioral;Observation and charting of basal body temperature, cervical mucus or cervical position;{{sort | 00.006 | Throughout day or daily[35]}};
Calendar-based methods[16];the rhythm method, Knaus-Ogino method, Standard Days method;{{sort|100.00|no data}};{{sort|005.00|5}};Behavioral;Calendar-based;{{sort | 00.010 | Daily}};
Plastic contraceptive sponge with spermicide used by parous[16][31];Today sponge, the sponge;{{sort|024.00|24}} (1 of 4);{{sort|020.00|20}};Barrier & spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Spermicidal gel, foam, suppository, or film[16];;{{sort|028.00|28}} (1 of 4);{{sort|018.00|18}};Spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
{{color|gray|1988 cervical cap and spermicide (discontinued in 2005) used by parous}}ds[31];Prentif;{{sort|032.00|32}};{{sort|026.00|26}};Barrier + spermicide;Vaginal insertion;{{sort | 00.030 | Every act of intercourse}};
Abstinence pledge[36][37]{{Better source|date=December 2017}};;{{sort|050.00|50–57.5}} (estimated) (1 of 2);{{sort|100.00|no data}};Behavioral;Commitment;{{sort | 98.000 | Once}};
None (unprotected intercourse)[16];;{{sort|085.00|85}} (6 of 7);{{sort|085.00|85}};Behavioral;Discontinuing birth control;{{sort | 98.000 | Once}};
Placebo[38];;{{sort|200.00|200}}[39] (all, after about half a year);{{sort|200.00|200}};Placebo;Oral medication;{{sort | 00.010 | Daily}};
Birth control method;Brand/common name;Typical-use failure rate (%);Perfect-use failure rate (%);Type;Implementation;User action required;
