Client;Desktop;Mobile;Other;
Coccinella;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Discord;{{yes}};{{yes}};{{partial}}[12];{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
eBuddy;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
emesene;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Empathy;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Facebook Messenger;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
FaceTime;{{no}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Flock;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Fire;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Gadu-Gadu;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
Gajim;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Google Hangouts;{{partial}}[13];{{partial}}[13];{{partial}}[13][12];{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Hookt;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
Hike;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
IBM Lotus Sametime;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
ICQ;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
IMVU;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Instantbird;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Jitsi;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{partial|Unstable}};{{partial|Unstable}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
KakaoTalk;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Kadu;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Kik;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Kopete;{{yes}}[14][15];{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Line;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Messages;{{no}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MCabber;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Skype for Business;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Miranda IM;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MySpaceIM;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
naim;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Nimbuzz;{{Yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};
Palringo;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Paltalk;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Pidgin;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Psi;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
QIP;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
QuteCom;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ring;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RingID;{{yes}}[16];{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
Riot.im;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Signal;{{yes}}[17];{{yes}}[17];{{partial}}[18][19];{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dropped}}[19];{{no}};
Snapchat;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Surespot;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Skype;{{yes}};{{yes}};{{partial}}[12];{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes|PSP PSV XB1}};
SOMA;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Spark (XMPP client);{{yes}};{{yes}}[20];{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Telegram (standard messages);{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}}[21];{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Telegram (secret chats);{{yes}};{{yes-no}}[22];{{yes-no}}[23];{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Tencent QQ;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Threema;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Tkabber;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Tox;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Trillian;{{yes}};{{yes}};{{partial}}[24][12];{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Tuenti;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Viber;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
WeChat;{{yes}};{{yes}}[25];{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
WhatsApp;{{partial|8+}}[26];{{yes}}[26];{{no}};{{no}};{{no}};{{partial|8.1+}}[27];{{yes}};{{dropped|To be discontinued in 2017}}[28];{{yes}};{{dropped|To be discontinued in 2017}}[28];{{no}};{{no}};{{no}};{{yes}};{{no}};
Wickr;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Windows Live Messenger;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes|Xbox}};
Wire;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Xabber;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Xfire;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Yahoo! Messenger;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Yuilop;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Zephyr;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Client;Windows;OS X;Unix-like;Haiku;Amiga;Windows Phone;Android;BlackBerry OS;iOS;Symbian;MeeGo;Java ME;WebOS;Web;VGCs;
Desktop;Mobile;Other;
