Language;Intended use;Imperative;Object-oriented;Functional;Procedural;Generic;Reflective;Event-driven;Other paradigm(s);Standardized?;
GLBasic;Application, games;{{Yes}};{{Yes}};;{{Yes}};;;;simple object-oriented;{{no}};
Go;Application, web, server-side;{{Yes}};[24];;{{Yes}};;{{Yes}};{{Yes}};concurrent;{{yes|De facto standard}} via Go Language Specification;
Gosu;Application, general, scripting, web;{{Yes}};{{Yes}};;;{{Yes}};{{Yes}};;;{{no}};
GraphTalk;Application;;{{Yes}};;;;;;logic;{{no}};
Groovy;Application, general, scripting, web;{{Yes}};{{Yes}};{{Yes}};;;;;aspect-oriented;{{no|In progress}}, JCP[25];
Harbour;Application, business, data processing, general, web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;declarative;{{no}};
Haskell;Application;;;{{Yes}};;{{Yes}};;;lazy evaluation;{{yes|2010}}, Haskell 2010[26];
Haxe;Application, general, web;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;;{{no}};
HyperNext;Application, education;;;;{{Yes}};;;{{Yes}};weakly typed;{{no}};
HyperTalk;Application, RAD, general;;{{Yes}};;;;;{{Yes}};weakly typed;{{unk}};
Io;Application, host-driven scripting;{{Yes}};{{Yes}};;;;;;;{{no}};
IPL;General;;;{{Yes}};;;;;;{{unk}};
ISLISP;General;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;;;{{yes|1997}}, ISO;
J;Data processing;;;;;;;;array-oriented, function-level, tacit;{{no}};
JADE;Application, distributed;{{Yes}};{{Yes}};;;;;;;{{no}};
Java;Application, business, client-side, general, mobile development, server-side, web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};concurrent;{{yes|De facto standard}} via Java Language Specification;
JavaScript;Client-side, server-side, web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};prototype-based;{{yes|1997}}, ECMA;
Joy;Research;;;{{Yes}};;;;;stack-oriented;{{no}};
Julia;General, technical computing;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed ("cloud");{{No}};
K;Data processing, business;;;;;;;;array-oriented, tacit;{{unk}};
Kotlin;Application, mobile development, server-side, client-side, web;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}}[27];;;{{no}};
LabVIEW (G);Application, industrial instrumentation-automation;{{Yes}};{{Yes}};{{Yes}};;;;{{Yes}};dataflow, visual;{{no}};
Lisp;General;;;{{Yes}};;;;;;{{unk}};
LiveCode;Application, RAD, general;;{{Yes}};;;;;{{Yes}};weakly typed;{{no}};
Logtalk;Artificial intelligence, application;;{{Yes}};;;;{{Yes}};{{Yes}};logic;{{no}};
LSL;Virtual worlds content scripting and animation;{{Yes}};;;{{Yes}};;;{{Yes}};Scripts exist in in-world objects;{{Yes}}[28];
Lua;Application, embedded scripting;{{Yes}};{{Yes}}[29];{{Yes}};{{Yes}};;{{Yes}};;aspect-oriented;{{no}}[30];
Maple;Symbolic computation, numerical computing;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;distributed;{{no}};
Mathematica;Symbolic language;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;logic, distributed;{{no}};
MATLAB;Highly domain-specific, numerical computing;{{Yes}};{{Yes}};;{{Yes}};;;;;{{no}};
Modula-2;Application, system;{{Yes}};;;;{{Yes}};;;;{{yes|1996}}, ISO[31];
Modula-3;Application;{{Yes}};{{Yes}};;;{{Yes}};;;;{{no}};
MUMPS (M);Application, databases;{{Yes}};;;{{Yes}};;;;concurrent, multi-user, NoSQL, transaction processing;{{yes|1977}}, ANSI;
Nim;Application, general, web, scripting, system;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;multiple dispatch, Concurrent, meta;{{no}};
Oberon;Application, system;{{Yes}};{{Yes}};;;;;;;{{no}};
Object Pascal;Application, general, mobile app, web;{{Yes}};{{Yes}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};structured;{{no}};
Objective-C;Application, general;{{Yes}};{{Yes}};;{{Yes}};;{{Yes}};;concurrent;{{no}};
OCaml;Application, general;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;{{no}};
Occam;General;{{Yes}};;;{{Yes}};;;;concurrent, process-oriented;{{no}};
Opa;Web applications;{{Yes}};;{{Yes}};;{{Yes}};;;distributed;{{no}};
OpenLisp;General, Embedded Lisp Engine;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;;;{{yes|Supersedes ISLISP}}, ISO;
Oxygene;Application;{{Yes}};{{Yes}};;;{{Yes}};;;;{{no}};
Oz-Mozart;Application, distribution, education;{{Yes}};{{Yes}};{{Yes}};;;;;concurrent, logic;{{no}};
Pascal;Application, education;{{Yes}};;;{{Yes}};;;;;{{yes|1983}}, ISO[32];
Perl;Application, scripting, text processing, Web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;{{no}};
Perl 6;Scripting, text processing, glue;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming;{{yes}};
PHP;Server-side, web application, web;{{Yes}};{{Yes}}[33];{{Yes}}[34];{{Yes}};;{{Yes}};;;{{yes|"De facto" standard}} via language specification and Requests for Comments (RFCs);
PL/I;Application;{{Yes}};{{Yes}};;{{Yes}};;;;;{{yes|1969}}, ECMA-50 (1976);
Plus;Application, system development;{{Yes}};;;{{Yes}};;;;;{{no}};
PowerShell;Administration, application, general, scripting;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;pipeline;{{no}};
Prolog;Application, artificial intelligence;;;;;;;;logic, declarative;{{yes|1995}}, ISO;
PureBasic;Application;;;;{{Yes}};;;;;{{no}};
Python;Application, general, web, scripting, artificial intelligence, scientific computing;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};aspect-oriented;{{yes|"De facto" standard}} via Python Enhancement Proposals (PEPs);
R;Application, statistics;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;;{{no}};
Racket;Education, general, scripting;;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};;modular, logic, meta;{{no}};
REALbasic;Application;;;;{{Yes}};;;;;{{unk}};
Rebol;Distributed;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};dialected;{{no}};
RPG;Application, system;{{Yes}};;;{{Yes}};;;;;{{no}};
Ruby;Application, scripting, web;{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};;aspect-oriented;{{yes|2011(JIS X 3017), 2012(ISO/IEC 30170)}};
Rust;Application, system;{{Yes}};{{Yes}}[35];{{Yes}};{{Yes}};{{Yes}};;;concurrent;{{no}};
S;Application, statistics;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;;{{no}};
S-Lang;Application, numerical, scripting;{{Yes}};;;{{Yes}};;;;;{{no}};
Scala;Application, distributed, web;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};{{Yes}};;{{yes|De facto standard}} via Scala Language Specification (SLS);
Scheme;Education, general;;;{{Yes}};;;;;extensible syntax;{{yes|1998}}, R6RS;
Seed7;Application, general, scripting, web;{{Yes}};{{Yes}};;;{{Yes}};{{Yes}};;multi-paradigm, extensible, structured;{{no}};
Simula;Education, general;{{Yes}};{{Yes}};;;;;{{Yes}};discrete event simulation, multi-threaded (quasi-parallel) program execution;{{yes|1968}};
Small Basic;Application, education, games;{{Yes}};;;;;;{{Yes}};component-oriented;{{no}};
Smalltalk;Application, general, business, artificial intelligence, education, web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};concurrent, declarative;{{yes|1998}}, [ANSI;
SNOBOL;Text processing;;;;;;;;;{{unk}};
Standard ML;Application;{{Yes}};;{{Yes}};;{{Yes}};;;;{{yes|1997}}, SML '97[36];
Swift;Application, general;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};concurrent, Multi-paradigm;{{no}};
Tcl;Application, scripting, web;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{Yes}};;{{no}};
Visual Basic;Application, RAD, education, business, general, (Includes VBA), office automation;{{Yes}};{{Yes}};;;{{Yes}};;{{Yes}};component-oriented;{{no}};
{{nowrap|Visual Basic .NET}};Application, RAD, education, web, business, general;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};structured, concurrent;{{no}};
Visual FoxPro;Application;;{{Yes}};;;;;;data-centric, logic;{{no}};
Visual Prolog;Application;{{Yes}};{{Yes}};{{Yes}};;;;{{Yes}};declarative, logic;{{no}};
Wolfram Language;Symbolic language;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;logic, distributed;{{no}};
XL;;{{Yes}};{{Yes}};;;;;;concept programming;{{no}};
Xojo;Application, RAD, general, web;{{Yes}};{{Yes}};;{{Yes}};;{{Yes}};{{Yes}};;{{no}};
XPath/XQuery;Databases, data processing, scripting;;;{{Yes}};;;;;tree-oriented;{{yes|W3C}} 1999 XPath 1, 2010 XQuery 1, 2014 XPath/XQuery 3.0;
Caché Object Script;Application Programming;{{Yes}};{{No}};{{Yes}};{{Yes}};;;;Concurrent;{{No}};
