HP 48S;2 MHz Clarke (Saturn 1LT8 core);32 KB RAM, not flashable;131×64 pixel monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit RPL character set;1×4-pin RS-232, HP SIR;3×1.5V (4.5V) AAA;1991–1993[11];HP-28S;HP 48G;
HP 48SX;2 MHz Clarke (Saturn 1LT8 core);32 KB RAM, expandable via 2 card slots of 128 KB RAM/ROM each, not flashable;131×64 pixel monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit RPL character set;1×4-pin RS-232, HP SIR;3×1.5V (4.5V) AAA;1990–1993[11];HP-28S;HP 48GX;
HP 39gII (NW249AA);80 MHz Freescale (formerly SigmaTel) STMP3770 (ARM926EJ-S core);256 KB RAM (ca. 240 KB available to user), 128 MB flash (80-105 MB available to user);256×128 pixel monochrome gray-scale LCD;Algebraic;Dynamic;HP Basic-variant or PPL-predecessor?;No;Unicode;USB-OTG (Micro-AB);1-4×1.5V (1.5V) AAA, USB;2011;HP 39gs;HP Prime;
HP 40gs (F2225A);75 MHz Samsung S3C2410A (ARM920T core, ARMv4T architecture);256 KB RAM, 2 MB flash;131×64 pixel monochrome LCD;Algebraic;Dynamic;HP Basic;Erable-based;8-bit RPL character set (with ?1[12] and euro sign[12]);USB (Mini-B), 1×4-pin 3.3V TTL serial (RS-232 via active converter);4×1.5V (6V) AAA, 1×3V CR2032, USB;2006–2011;HP 40G;HP 39gII, HP Prime;
HP 39gs (F2223A);75 MHz Samsung S3C2410A (ARM920T core, ARMv4T architecture);256 KB RAM, 1 MB flash;131×64 pixel monochrome LCD;Algebraic;Dynamic;HP Basic;No;8-bit RPL character set (with ?1[12] and euro sign[12]);USB (Mini-B), IrDA, 1×4-pin 3.3V TTL serial (RS-232 via active converter);4×1.5V (6V) AAA, 1×3V CR2032, USB;2006–2011;hp 39g+;HP 40gs, HP 39gII;
hp 39g+ (F2224A);75 MHz Samsung S3C2410X (ARM920T core, ARMv4T architecture);256 KB RAM, 1 MB flash;131×64 pixel monochrome LCD;Algebraic;Dynamic;HP Basic;No;8-bit RPL character set (with ?1[12] and euro sign);USB (Mini-B), IrDA;3×1.5V (4.5V) AAA, 1×3V CR2032;2003–2006;HP 39G;HP 39gs;
HP 40G (F1907A);4 MHz Yorke (Saturn 1LT8 core);256 KB RAM, not flashable;131×64 pixel monochrome LCD;Algebraic;Dynamic;HP Basic;Erable-based;8-bit RPL character set (with ?1[12] and euro sign);2×5-pin RS-232;3×1.5V (4.5V) AAA;2000–2003;HP 38G;HP 40gs;
HP 39G (F1906A);4 MHz Yorke (Saturn 1LT8 core);256 KB RAM, not flashable;131×64 pixel monochrome LCD;Algebraic;Dynamic;HP Basic;No;8-bit RPL character set (with ?1[12] and euro sign);IrDA, 2×5-pin RS-232;3×1.5V (4.5V) AAA;2000–2003;HP 38G;hp 39g+;
HP 38G (F1200A, F1892A);4 MHz Yorke (Saturn 1LT8 core);32 KB RAM, not flashable;4-line (131×64 pixel) monochrome LCD;Algebraic;Dynamic;HP Basic;No;8-bit RPL character set[12];HP SIR, 2×5-pin RS-232;3×1.5V (4.5V) AAA;1995;None;HP 39G, HP 40G;
HP-28S;1 MHz Lewis (Saturn 1LT8 core);32 KB RAM, not flashable;4-line (137×32 pixel) monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit HP Roman 8 variant[13][14][15];HP SIR;3×1.5V (4.5V) N;1988–1992;HP-28C;HP 48 series;
HP-28C;640 kHz Saturn (Saturn 1LK7 core);2 KB RAM, 1709? bytes RAM available for user, not flashable;4-line (137×32 pixel) monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit HP Roman 8 variant;HP SIR;3×1.5V (4.5V) N;1987–1988;HP-41C;HP-28S;
HP-42S;1 MHz Lewis (Saturn core);8 KB RAM (extensible to 32 KB), 7200? (or 31553) bytes RAM available for user, not flashable;2-line (131×16 pixel) monochrome LCD;Classical RPN;Fixed (4 level);Keystroke programmable, fully merged (FOCAL variant);None;8-bit proprietary;HP SIR;3×1.5V (4.5V) LR44;1987–1995;HP-41C, (HP-15C);HP-28S;
HP 9g;Sunplus SPLB30A (aka Generalplus GPLB30A);712? bytes RAM available for user, not flashable;35×23 pixel, 1-line 5-digit 5×7 dot matrix, 1-line 10+3-digit 7-segment monochrome LCD;Algebraic;?;Limited, 10 programmable "expression registers" that can reference other functions, registers, and memory;No;?;None;1×3V CR2025;2003;None;None;
Model;Processor;Memory;Display;Input method;Stack;Programming languages;Computer algebra system;Character set;Connectivity;Power supply;Release year;Predecessors;Successors;
