Research Networking Tool;Interoperability with Institutional Enterprise Systems;Interoperability with External Systems;Integration with Add-on Components or Products;Regional, National, International or Federated Connectivity?;
Faculty Scholarly Productivity Index;Unknown;Unknown;Unknown;{{no}};
GENIUS;{{yes}};{{yes}} Only other InfoEd modules (SMARTS: Service that automatically sends notices of funding opportunities via email. You provide keywords that describe your research interests, and SMARTS matches those keywords with present funding programs; SPIN: Enables subscribers to directly search for all sponsored programs, past and present, contained within the InfoEd database);Unknown;{{no}};
Google;{{no}};{{yes}};Possibly;{{no}};
HUBzero;{{no}};{{yes}} PubMed; data is semantic web compliant as of August 2011;Possibly;{{no}};
iamResearcher;Unknown;Unknown;Unknown;Unknown;
iAMscientist;{{no}};{{yes}} PubMed;Unknown;{{no}};
i2iConnect;{{no}};{{no}};Unknown;{{yes}};
InCites;{{yes}} (Institutions have access to Web Services in order to feed data into internal databases.);{{yes}} (Integrates with Converis.);{{yes}} (Web of Science, ResearcherID);{{no}};
INDURE (Indiana Database for University Research Expertise);{{no}};{{no}};Unknown;{{yes}} for 4 Indiana institutions only;
Lattes Database;Unknown;Unknown;Unknown;Unknown;
LatticeGrid;{{yes}} InfoEd, eIRB, Medical School faculty database;{{yes}} (PubMed);{{yes}} (Possible);{{yes}} National federated connectivity through DIRECT2Experts;
LinkedIn;{{no}};{{no}};Unknown;{{no}};
Life Science Network;{{no}};{{yes}} (Pubmed);{{no}};{{no}};
Loki;{{yes}} Possible;{{yes}};Unknown;{{no}};
Lyterati;{{yes}} (Ellucian, PeopleSoft, Workday InfoEd, Coeus);{{yes}} (PubMed, VIVO, Google Scholar, BibTex or CSV Sources);{{yes}} (BibTex and CSV);{{yes}}, capable;
McCormick Collaboration Visualization Tool;{{no}};{{yes}} Only Clarivate Analytics Web of Science;Unknown;{{no}};
MizzouLinks;Maybe;{{no}};Unknown;{{no}};
MyScienceWork;{{no}};Unknown;Unknown;{{yes}};
OSU:pro;{{no}};Unknown;Unknown;{{no}};
Pivot;{{no}};Maybe;Unknown;Unknown;
Profiles Research Networking Software;{{yes}};{{yes}} Pubmed, commercial sources of publication data, semantic web applications via VIVO ontology.;{{yes}};{{yes}} Profiles Users Group has regular conference calls and works on collaborative software development projects. Profiles can perform federated queries across other Profiles instances, and with other products using linked open data (VIVO ontology) and the DIRECT2Experts API.;
REACH NC Life Science Experts Visualization Tool;{{yes}};{{yes}} Through SciVal API;{{no}};{{no}};
Research Accelerator;{{no}};{{no}};Unknown;{{no}};
ResearcherID;{{no}};{{yes}} Through ResearcherID download service, institutions can load data into their internal systems. Also is integrated with other Clarivate Analytics offerings, including Web of Science, EndNote, and Research In View;Unknown;{{no}};
SciENcv;{{yes}} (is possible through open data exchange standards);{{yes}};Unknown;{{no}};
Symplectic Elements;{{yes}} Clients have the ability to integrate with existing web profile management systems, export data for business intelligence solutions and easily submit research outcomes for various government assessment exercises. This includes HR, publications, teaching activities, grants, institutional repositories, and any other system providing or consuming research data.;{{yes}} Elements integrates with a variety of external systems including: Altmetric, figshare, ORCID, SHERPA/RoMEO (licensing information), DOAJ (licensing information);{{yes}} Elements can be linked to all major open repository technologies and an open source VIVO Harvester extension is also available.;{{no}};
VIVO;{{yes}} Data can be ingested from a wide variety of local sources (including HR, grants, course databases, institutional repositories, membership rosters, research interests, and many others) to reflect a complete view of the institution's priorities and efforts.;{{yes}} see mini-grants <http://www.vivoweb.org/blog/2011/01/award-announcement-vivo-collaborative-research-projects-program>; eagle-i; Drupal; many others - any tool that can consume open linked data. Other ongoing collaborations with Wellspring (maintaining VIVO profiles with a focus upon tech transfer and also as a 3rd party implementation service provider) and with Symplectic.;{{yes}} VIVO collaborates with eagle-I on research resources. Future plans include adding many additional data types which are meaningful in the academic research setting. VIVO data are structured using a comprehensive ontology designed for local extension and major ontology "plugins" such as BIBO and eagle-i.;{{yes}} VIVO Consortium received $12.2M NIH ARRA U24 award in 2009 to fully develop software and create national system of federated research expertise directories/research networking systems; All other semantic web-compliant software platforms can be integrated into the consortium (example: Harvard Profiles). Participant in Direct2Experts and VIVO Search;
Yaffle;{{no}};{{no}};Unknown;The Canadian research funding councils as well as knowledge mobilization networks across the country (governments and universities) are working to develop a model to share what Yaffle has built;
